"42-15 Crescent Street, Unit 404F",Long Island City,2317,Studio,1 BA
"46 Center Boulevard, Unit 1705",Upper West Side,7300,3 BD,3 BA
"22-22 Jackson Avenue, Unit 709",Hunters Point,2662,Studio,1 BA
"46-30 Center Boulevard, Unit 501",Hunters Point,6995,3 BD,3 BA
"41-17 Crescent Street, Unit 9D",Long Island City,4950,2 BD,2 BA
"104-22 39th Avenue, Unit 4A",North Corona,1780,1 BD,1 BA
"22-22 Jackson Avenue, Unit 901",Hunters Point,4195,2 BD,2 BA
"42-15 Crescent Street, Unit 606N",Long Island City,2688,1 BD,1 BA
"23-62 38th Street, Unit 1L",Astoria,2650,2 BD,1 BA
"7520 62nd Street, Unit 2",Glendale,2475,3 BD,1 BA
"43-09 47th Avenue, Unit 1M",Sunnyside,2703,2 BD,1 BA
"12-02 Astoria Boulevard, Unit 2A",Astoria,2450,1 BD,1 BA
"65-70 Austin Street, Unit 403",Rego Park,2050,1 BD,1 BA
"17-11 Himrod Street, Unit 3R",Ridgewood,2450,2 BD,1 BA
"65-70 Austin Street, Unit 602",Rego Park,2225,1 BD,1 BA
"61-55 Junction Boulevard, Unit 14Q",Rego Park,2410,Studio,1 BA
"61-55 Junction Boulevard, Unit 20C",Rego Park,3600,2 BD,2 BA
"23-31 33rd Street, Unit 1",Astoria,2350,2 BD,1 BA
"90-02 Queens Boulevard, Unit 7",Elmhurst,4000,2 BD,1 BA
"6080 Myrtle Avenue, Unit 2G",Ridgewood,2500,2 BD,1 BA
"381 Onderdonk Avenue, Unit 3L",Ridgewood,2900,3 BD,1.5 BA
"48-15 11th Street, Unit 4E",Hunters Point,4875,2 BD,2 BA
"98-30 67th Avenue, Unit 1V",Rego Park,2125,1 BD,1 BA
"37-02 31st Avenue, Unit 1R",Astoria,2100,1 BD,1 BA
"31-43 Vernon Boulevard, Unit 609",Astoria,2979,1 BD,1 BA
"31-43 Vernon Boulevard, Unit 614",Astoria,3002,1 BD,1 BA
"111-11 Liberty Avenue, Unit 3",Richmond Hill,1300,1 BD,1 BA
"36-20 Bowne Street, Unit 1N",Downtown Flushing,2690,3 BD,2 BA
"37-14 36th Street, Unit 8F",Long Island City,2284,Studio,1 BA
"48-05 46th Street, Unit 3B",Sunnyside,2150,2 BD,1 BA
"23-22 30th Road, Unit 12",Astoria,2125,Studio,1 BA
"42-12 28th Street, Unit 55A",Long Island City,5000,2 BD,2 BA
"11-02 49th Avenue, Unit 7C",Hunters Point,5700,2 BD,2.5 BA
"61-55 Junction Boulevard, Unit 14Q",Rego Park,2410,Studio,1 BA
"30-85 Vernon Boulevard, Unit 3N",Astoria,3100,2 BD,1.5 BA
"2247 Harman Street, Unit 2",Ridgewood,2600,3 BD,2 BA
"23-01 42nd Road, Unit 38K",Long Island City,3850,1 BD,1 BA
"61-55 Junction Boulevard, Unit 20C",Rego Park,3600,2 BD,2 BA
"28-40 Jackson Avenue, Unit 28D",Long Island City,3918,1 BD,1 BA
"104-60 Queens Boulevard, Unit 18R",Rego Park,2050,Studio,1 BA
"12-10 31st Drive, Unit 2",Astoria,3800,3 BD,1.5 BA
"111-11 Liberty Avenue, Unit 2",Richmond Hill,1600,2 BD,1 BA
"218-84 Hempstead Avenue, Unit 2",Queens Village,1650,2 BD,1 BA
"25-34 Crescent Street, Unit 17",Astoria,1700,Studio,1 BA
"43-22 Queens Street, Unit 3102",Long Island City,3927,1 BD,1 BA
"43-22 Queens Street, Unit 1601",Long Island City,3904,1 BD,1 BA
"43-22 Queens Street, Unit 3105",Long Island City,3813,1 BD,1 BA
"43-22 Queens Street, Unit 4307",Long Island City,3813,1 BD,1 BA
"43-22 Queens Street, Unit 1507",Long Island City,3698,1 BD,1 BA
"43-22 Queens Street, Unit 609",Long Island City,3684,1 BD,1 BA
"43-22 Queens Street, Unit 3101",Long Island City,5357,2 BD,2 BA
"43-22 Queens Street, Unit 357",Long Island City,3375,Studio,1 BA
"30-02 39th Avenue, Unit A111",Long Island City,2893,Studio,1 BA
"41-40 40th Street, Unit A5",Sunnyside,2500,2 BD,1 BA
"45-50 Pearson Street, Unit 14D",Long Island City,2531,Studio,1 BA
"135-21 140th Street, Unit 1",South Jamaica,2300,3 BD,1 BA
"45-50 Pearson Street, Unit 9K",Long Island City,3900,2 BD,1 BA
"45-50 Pearson Street, Unit 8P",Long Island City,2885,1 BD,1 BA
"29-06 21st Avenue, Unit 1J",Ditmars,2400,2 BD,1 BA
"42-12 28th Street, Unit 53A",Long Island City,4960,2 BD,2 BA
"42-12 28th Street, Unit 48E",Long Island City,2705,Studio,1 BA
"42-12 28th Street, Unit 43K",Long Island City,3035,Studio,1 BA
"45-50 Pearson Street, Unit 12R",Long Island City,3023,1 BD,1 BA
"29-06 21st Avenue, Unit 1I",Ditmars,2100,2 BD,1 BA
"45-50 Pearson Street, Unit 4G",Long Island City,2815,1 BD,1 BA
"30-79 32nd Street, Unit 4B",Astoria,2300,1 BD,1 BA
"1881 Troutman Street, Unit 3F",Ridgewood,3100,4 BD,2 BA
"35-61 84th Street, Unit 205",Jackson Heights,2750,2 BD,2 BA
"1881 Troutman Street, Unit 1F",Ridgewood,2600,3 BD,1 BA
"44-27 Purves Street, Unit 6E",Long Island City,2600,Studio,1 BA
"21-17 31st Avenue, Unit 1C",Astoria,2500,1 BD,1 BA
