,Address,Price,Rental_type,Sqfeet,Boro,Agency,Beds,Baths
9124,"120 Thompson Street, 6 - SoHo - Nolita, New York",2400,Rental,Listing ID: 3843366,Manhattan,Elliman,Studio, 1 Bath
9125,"434 East 76th Street, 6 - Upper East Side, New York",2400,Rental,Listing ID: 3895302,Manhattan,Elliman,2 Beds, 1 Bath
9126,"570 Ft Washington Avenue, 55B - Washington Heights, New York",2400,Rental,Listing ID: 3860500,Manhattan,Elliman,1 Bed, 1 Bath
9127,"null, 144 West 109th Street, 4W - Upper West Side, New York",2400,Condo,Listing ID: 3895304,Manhattan,Elliman,2 Beds, 1 Bath
9128,"585 West 214th Street, 4F - Inwood, New York",2400,Cooperative,Listing ID: 3832158,Manhattan,Elliman,2 Beds, 1 Bath
9129,"150 West 47th Street, 5G - Midtown, New York",2400,"Rental, Doorman",Listing ID: 3860480,Manhattan,Elliman,Studio, 1 Bath
9130,"210 West 17th Street, 1C - Chelsea, New York",2400,Cooperative,Listing ID: 3868027,Manhattan,Elliman,Studio, 1 Bath
9131,"27 West 85th Street, A - Upper West Side, New York",2400,Rental,Listing ID: 3898245,Manhattan,Elliman,Studio, 2 Baths
9132,"302 West 87th Street, 3 - Upper West Side, New York",2400,Rental,Listing ID: 3898238,Manhattan,Elliman,1 Bed, 1 Bath
9133,"150 West 47th Street, 11H - Midtown, New York",2400,"Rental, Doorman",Listing ID: 3894622,Manhattan,Elliman,Studio, 1 Bath
9134,"Deleste Village VII Condo, 619 East 11th Street, 4B - East Village, New York",2400,Condo,Approximate Sq. Feet: 482,Manhattan,Elliman,1 Bed, 1 Bath
9135,"209 East 4th Street, A - East Village, New York",2400,Rental,Approximate Sq. Feet: 550,Manhattan,Elliman,Studio, 1 Bath
9136,"445 West 125th Street, 3D - Harlem, New York",2400,Rental,Listing ID: 3894300,Manhattan,Elliman,2 Beds, 1 Bath
9137,"301 East 63rd Street, 15C - Upper East Side, New York",2400,"Cooperative, Doorman",Listing ID: 3869485,Manhattan,Elliman,Studio, 1 Bath
9138,"320 East 42nd Street, 1216 - Turtle Bay, New York",2400,"Cooperative, Doorman",Listing ID: 3846213,Manhattan,Elliman,Studio, 1 Bath
9139,"CHANNEL CLUB, 455 East 86th Street, 8B - , New York",2400,"Condo, Doorman",Listing ID: 3861952,Manhattan,Elliman,Studio, 1 Bath
9140,"5th On The Park, 1485 Fifth Avenue, 11G - Harlem, New York",2400,"Condo, Doorman",Approximate Sq. Feet: 568,Manhattan,Elliman,Studio, 1 Bath
9141,"The Salem House, 520 East 81st Street, 8K - Upper East Side, New York",2400,"Condo, Doorman",Listing ID: 3877459,Manhattan,Elliman,Studio, 1 Bath
9142,"1420 York Avenue, 5F - Upper East Side, New York",2400,Condo,Approximate Sq. Feet: 500,Manhattan,Elliman,Studio, 1 Bath
9143,"WINDSOR TOWER, 5 Tudor City Pl, 2030 - Murray Hill, New York",2400,"Cooperative, Doorman",Listing ID: 3865448,Manhattan,Elliman,Studio, 1 Bath
9144,"THE CHESTERFIELD, 186 West 80th Street, 5C - Upper West Side, New York",2400,"Condo, Doorman",Approximate Sq. Feet: 400,Manhattan,Elliman,Studio, 1 Bath
9145,"814 Tenth Avenue, 3A - Clinton, New York",2400,Rental,Listing ID: 3882774,Manhattan,Elliman,Studio, 1 Bath
9146,"330 West 76th Street, 4B - Upper West Side, New York",2399,Rental,Listing ID: 3885383,Manhattan,Elliman,1 Bed, 1 Bath
9147,"423 East 82nd St, 3D - Upper East Side, New York",2395,Rental,Listing ID: 3756460,Manhattan,Elliman,Studio, 1 Bath
9148,"319 East 50th Street, 10L - Turtle Bay, New York",2395,"Cooperative, Doorman",Approximate Sq. Feet: 500,Manhattan,Elliman,Studio, 1 Bath
9149,"405 East 90th Street, 1B - Upper East Side, New York",2395,Condo,Listing ID: 3886085,Manhattan,Elliman,1 Bed, 1 Bath
9150,"719 West 180th Street, 6 - Hudson Heights, New York",2400,Rental,Approximate Sq. Feet: 850,Manhattan,Elliman,2 Beds, 1 Bath
9151,"null, 504 Manhattan Avenue, 2F - Harlem, New York",2400,Condo,Listing ID: 3880587,Manhattan,Elliman,1 Bed, 1 Bath
9152,"428 East 116th Street, 9 - East Harlem, New York",2400,Rental,Approximate Sq. Feet: 850,Manhattan,Elliman,2 Beds, 1 Bath
9153,"66 Overlook Terrace, 2H - Washington Heights, New York",2400,Cooperative,Listing ID: 3805684,Manhattan,Elliman,1 Bed, 1 Bath
9154,"120 Thompson Street, 6 - SoHo - Nolita, New York",2400,Rental,Listing ID: 3843366,Manhattan,Elliman,Studio, 1 Bath
9155,"434 East 76th Street, 6 - Upper East Side, New York",2400,Rental,Listing ID: 3895302,Manhattan,Elliman,2 Beds, 1 Bath
9156,"570 Ft Washington Avenue, 55B - Washington Heights, New York",2400,Rental,Listing ID: 3860500,Manhattan,Elliman,1 Bed, 1 Bath
9157,"null, 144 West 109th Street, 4W - Upper West Side, New York",2400,Condo,Listing ID: 3895304,Manhattan,Elliman,2 Beds, 1 Bath
9158,"585 West 214th Street, 4F - Inwood, New York",2400,Cooperative,Listing ID: 3832158,Manhattan,Elliman,2 Beds, 1 Bath
9159,"150 West 47th Street, 5G - Midtown, New York",2400,"Rental, Doorman",Listing ID: 3860480,Manhattan,Elliman,Studio, 1 Bath
9160,"210 West 17th Street, 1C - Chelsea, New York",2400,Cooperative,Listing ID: 3868027,Manhattan,Elliman,Studio, 1 Bath
9161,"27 West 85th Street, A - Upper West Side, New York",2400,Rental,Listing ID: 3898245,Manhattan,Elliman,Studio, 2 Baths
9162,"302 West 87th Street, 3 - Upper West Side, New York",2400,Rental,Listing ID: 3898238,Manhattan,Elliman,1 Bed, 1 Bath
9163,"150 West 47th Street, 11H - Midtown, New York",2400,"Rental, Doorman",Listing ID: 3894622,Manhattan,Elliman,Studio, 1 Bath
9164,"Deleste Village VII Condo, 619 East 11th Street, 4B - East Village, New York",2400,Condo,Approximate Sq. Feet: 482,Manhattan,Elliman,1 Bed, 1 Bath
9165,"209 East 4th Street, A - East Village, New York",2400,Rental,Approximate Sq. Feet: 550,Manhattan,Elliman,Studio, 1 Bath
9166,"445 West 125th Street, 3D - Harlem, New York",2400,Rental,Listing ID: 3894300,Manhattan,Elliman,2 Beds, 1 Bath
9167,"301 East 63rd Street, 15C - Upper East Side, New York",2400,"Cooperative, Doorman",Listing ID: 3869485,Manhattan,Elliman,Studio, 1 Bath
9168,"320 East 42nd Street, 1216 - Turtle Bay, New York",2400,"Cooperative, Doorman",Listing ID: 3846213,Manhattan,Elliman,Studio, 1 Bath
9169,"CHANNEL CLUB, 455 East 86th Street, 8B - , New York",2400,"Condo, Doorman",Listing ID: 3861952,Manhattan,Elliman,Studio, 1 Bath
9170,"5th On The Park, 1485 Fifth Avenue, 11G - Harlem, New York",2400,"Condo, Doorman",Approximate Sq. Feet: 568,Manhattan,Elliman,Studio, 1 Bath
9171,"The Salem House, 520 East 81st Street, 8K - Upper East Side, New York",2400,"Condo, Doorman",Listing ID: 3877459,Manhattan,Elliman,Studio, 1 Bath
9172,"1420 York Avenue, 5F - Upper East Side, New York",2400,Condo,Approximate Sq. Feet: 500,Manhattan,Elliman,Studio, 1 Bath
9173,"WINDSOR TOWER, 5 Tudor City Pl, 2030 - Murray Hill, New York",2400,"Cooperative, Doorman",Listing ID: 3865448,Manhattan,Elliman,Studio, 1 Bath
9174,"THE CHESTERFIELD, 186 West 80th Street, 5C - Upper West Side, New York",2400,"Condo, Doorman",Approximate Sq. Feet: 400,Manhattan,Elliman,Studio, 1 Bath
9175,"814 Tenth Avenue, 3A - Clinton, New York",2400,Rental,Listing ID: 3882774,Manhattan,Elliman,Studio, 1 Bath
9176,"330 West 76th Street, 4B - Upper West Side, New York",2399,Rental,Listing ID: 3885383,Manhattan,Elliman,1 Bed, 1 Bath
9177,"423 East 82nd St, 3D - Upper East Side, New York",2395,Rental,Listing ID: 3756460,Manhattan,Elliman,Studio, 1 Bath
9178,"319 East 50th Street, 10L - Turtle Bay, New York",2395,"Cooperative, Doorman",Approximate Sq. Feet: 500,Manhattan,Elliman,Studio, 1 Bath
9179,"405 East 90th Street, 1B - Upper East Side, New York",2395,Condo,Listing ID: 3886085,Manhattan,Elliman,1 Bed, 1 Bath
9180,"343 East 76th Street, 2A - Upper East Side, New York",2395,Rental,Listing ID: 3836114,Manhattan,Elliman,Studio, 1 Bath
9183,"509 East 73rd Street, 17 - Upper East Side, New York",2395,Rental,Listing ID: 3860758,Manhattan,Elliman,2 Beds, 1 Bath
9184,"236 West 52nd Street, C2 - Midtown, New York",2395,Rental,Listing ID: 3829943,Manhattan,Elliman,Studio, 1 Bath
9185,"212 West 16th Street, 1W - Chelsea, New York",2395,Condo,Listing ID: 3886635,Manhattan,Elliman,Studio, 1 Bath
9186,"155 East 38th Street, 4C - Murray Hill, New York",2395,"Condo, Doorman",Listing ID: 3857536,Manhattan,Elliman,Studio, 1 Bath
9187,"238 West 122nd Street, 4A - Harlem, New York",2395,Rental,Approximate Sq. Feet: 701,Manhattan,Elliman,1 Bed, 1 Bath
9188,"224 East 27th Street, 3C - Kips Bay, New York",2395,Rental,Listing ID: 3895918,Manhattan,Elliman,1 Bed, 1 Bath
9189,"221 West 78th Street, 3F - Upper West Side, New York",2395,Multi-Family,Listing ID: 3846700,Manhattan,Elliman,1 Bed, 1 Bath
9190,"155 East 92nd Street, 26 - Upper East Side, New York",2395,Rental,Listing ID: 3892589,Manhattan,Elliman,2 Beds, 1 Bath
9191,"103 West 136th Street, 2R - Harlem, New York",2395,Multi-Family,Listing ID: 3812773,Manhattan,Elliman,1 Bed, 1 Bath
9192,"Sherrie Arts, 341 West 45th Street, 214 - Clinton, New York",2395,"Rental, Doorman",Listing ID: 3892072,Manhattan,Elliman,Studio, 1 Bath
9193,"Prospect Towers, 45 Tudor City Pl, 1009 - Murray Hill, New York",2395,"Cooperative, Doorman",Listing ID: 3892856,Manhattan,Elliman,Studio, 1 Bath
9194,"334 East 82nd Street, 4RE - Upper East Side, New York",2390,Multi-Family,Listing ID: 3857276,Manhattan,Elliman,1 Bed, 1 Bath
9195,"334 East 82nd Street, 4FW - Upper East Side, New York",2390,Multi-Family,Listing ID: 3857209,Manhattan,Elliman,1 Bed, 1 Bath
9196,"334 East 82nd Street, 3RE - Upper East Side, New York",2390,Multi-Family,Listing ID: 3856236,Manhattan,Elliman,1 Bed, 1 Bath
9197,"163 Mulberry Street, 6 - Little Italy - Chinatown, New York",2390,Rental,Listing ID: 3856390,Manhattan,Elliman,Studio, 1 Bath
9198,"26-14 Jackson Avenue, 10C - Long Island City, New York",2385,Rental,Listing ID: 3893179,Manhattan,Elliman,Studio, 1 Bath
9199,"Tower 119, 2183 Third Avenue, 704 - East Harlem, New York",2385,Rental,Listing ID: 3896012,Manhattan,Elliman,Studio, 1 Bath
9200,"324 East 61st Street, 2RE - Upper East Side, New York",2383,Rental,Listing ID: 3848634,Manhattan,Elliman,Studio, 1 Bath
9201,"148 West 17th Street, 5C - Chelsea, New York",2383,Rental,Listing ID: 3885769,Manhattan,Elliman,Studio, 1 Bath
9202,"510 East 88th Street, 4D - Upper East Side, New York",2383,Rental,Listing ID: 3847931,Manhattan,Elliman,1 Bed, 1 Bath
9203,"953 Columbus Avenue, 1N - Upper West Side, New York",2383,,Listing ID: 3862081,Manhattan,Elliman,1 Bed, 1 Bath
9204,"41-42 24th Street, 6246 - Long Island City, New York",2376,"Rental, Doorman",Listing ID: 3890405,Manhattan,Elliman,Studio, 1 Bath
9205,"215 East 117th Street, 22 - East Harlem, New York",2375,Rental,Approximate Sq. Feet: 500,Manhattan,Elliman,2 Beds, 1 Bath
9206,"281 W 132nd Street, 2 - New York, New York",2375,Rental,Listing ID: 4990726,Manhattan,Elliman,1 Bed, 1 Bath
9207,"340 East 87th Street, 5B - Upper East Side, New York",2375,Rental,Listing ID: 3823348,Manhattan,Elliman,1 Bed, 1 Bath
9208,"42 West 72nd Street, 3D - Upper West Side, New York",2375,Rental,Listing ID: 3877876,Manhattan,Elliman,Studio, 1 Bath
9209,"311 East 61st Street, 13 - Upper East Side, New York",2375,Rental,Listing ID: 3877005,Manhattan,Elliman,1 Bed, 1 Bath
9210,"140 West 70th Street, 4F - Upper West Side, New York",2375,Rental,Listing ID: 3890461,Manhattan,Elliman,1 Bed, 1 Bath
9211,"140 West 70th Street, 2F - Upper West Side, New York",2375,Rental,Listing ID: 3858338,Manhattan,Elliman,1 Bed, 1 Bath
9212,"234 West 148th Street, 3E - Harlem, New York",2375,"Condo, Doorman",Approximate Sq. Feet: 750,Manhattan,Elliman,1 Bed, 1 Bath
9213,"5-7 Minetta Street, 3F - Greenwich Village, New York",2360,Condo,Listing ID: 3891338,Manhattan,Elliman,Studio, 1 Bath
9215,139 East 33rd Street,2350,"Cooperative, Doorman","Approximate Sq. Feet: 2,000",Manhattan,Elliman,4 Beds, 2 Baths 
9216,"156 West 123rd Street, 3 - Harlem, New York",2350,Multi-Family,Approximate Sq. Feet: 900,Manhattan,Elliman,2 Beds, 1 Bath
9217,"111 Wadsworth Avenue, 6C - Washington Heights, New York",2350,Rental,Listing ID: 3818084,Manhattan,Elliman,2 Beds, 1 Bath
9218,"111 Wadsworth Avenue, 27C - Washington Heights, New York",2350,Rental,Listing ID: 3797492,Manhattan,Elliman,1 Bed, 1 Bath
9219,"556 West 156th Street, 42 - Washington Heights, New York",2350,Multi-Family,Listing ID: 3731535,Manhattan,Elliman,2 Beds, 1 Bath
9220,"41-15 29th Street, 807 - Long Island City, New York",2350,"Rental, Doorman",Listing ID: 3790237,Manhattan,Elliman,Studio, 1 Bath
9221,"325 East 88th Street, FOUR - Upper East Side, New York",2350,Rental,Listing ID: 3878499,Manhattan,Elliman,1 Bed, 1 Bath
9222,"Oxberry House, 347 East 82nd Street, 202 - Upper East Side, New York",2350,Rental,Listing ID: 3860511,Manhattan,Elliman,1 Bed, 1 Bath
9224,"411 East 118TH Street, 12 - East Harlem, New York",2350,Rental,Approximate Sq. Feet: 625,Manhattan,Elliman,1 Bed, 1 Bath
9225,"1376 First Avenue, 8 - Upper East Side, New York",2350,Rental,Listing ID: 3889746,Manhattan,Elliman,1 Bed, 1 Bath
9226,"1376 First Avenue, 5 - Upper East Side, New York",2350,Rental,Listing ID: 3869947,Manhattan,Elliman,1 Bed, 1 Bath
9227,"250 East 90th Street, 4S - Upper East Side, New York",2350,Rental,Approximate Sq. Feet: 900,Manhattan,Elliman,2 Beds, 1 Bath
9228,"302 West 78th Street, 5A - Upper West Side, New York",2350,Rental,Listing ID: 3833739,Manhattan,Elliman,1 Bed, 1 Bath
9229,"191 Henry Street, APT19 - Lower East Side, New York",2350,Rental,Listing ID: 3871725,Manhattan,Elliman,2 Beds, 1 Bath
9230,"The Iris Condominium, 76 West 85th Street, 5D - Upper West Side, New York",2350,Condo,Approximate Sq. Feet: 675,Manhattan,Elliman,Studio, 1 Bath
9231,"457 W 57th Street - New York, New York",2350,Rental,Approximate Sq. Feet: 400,Manhattan,Elliman,Studio, 1 Bath
9232,"64 West 82nd Street, 5R - Upper West Side, New York",2350,Rental,Listing ID: 3818246,Manhattan,Elliman,1 Bed, 1 Bath
9233,"350 East 62nd Street, 1J - Upper East Side, New York",2350,"Condo, Doorman",Listing ID: 3875273,Manhattan,Elliman,Studio, 1 Bath
9234,"343 West 21st Street, 3D - Chelsea, New York",2350,Rental,Listing ID: 3827727,Manhattan,Elliman,Studio, 1 Bath
9235,"510 East 85th Street, 3B - Upper East Side, New York",2350,"Rental, Doorman",Listing ID: 3590454,Manhattan,Elliman,Studio, 1 Bath
9236,"321 East 115th Street, 4B - East Harlem, New York",2350,Rental,Approximate Sq. Feet: 575,Manhattan,Elliman,1 Bed, 1 Bath
9237,"142 West 123rd Street, 3 - Harlem, New York",2350,Multi-Family,Listing ID: 3863674,Manhattan,Elliman,1 Bed, 1 Bath
9238,"43 West 69TH Street, 3B - Upper West Side, New York",2350,Rental,Listing ID: 3894216,Manhattan,Elliman,Studio, 1 Bath
9239,"85 Fairview Avenue, D - Hudson Heights, New York",2350,Rental,Listing ID: 3865560,Manhattan,Elliman,2 Beds, 1 Bath
9240,"150 West 47th Street, 12D - Midtown, New York",2350,"Rental, Doorman",Listing ID: 3818593,Manhattan,Elliman,Studio, 1 Bath
9241,"67 West 69th Street, 3D - Upper West Side, New York",2350,Rental,Listing ID: 3896830,Manhattan,Elliman,1 Bed, 1 Bath
9242,"14 Avenue A, 7 - East Village, New York",2350,Rental,Listing ID: 3893707,Manhattan,Elliman,Studio, 1 Bath
9243,"265 East 78th Street, 2C - Upper East Side, New York",2350,Rental,Listing ID: 3895963,Manhattan,Elliman,2 Beds, 1 Bath
9244,"308 W 105th Street, 4A - New York, New York",2350,Rental,Listing ID: 5009598,Manhattan,Elliman,1 Bed, 1 Bath
9245,"308 West 105th Street, 4A - Upper West Side, New York",2350,Rental,Listing ID: 3895566,Manhattan,Elliman,1 Bed, 1 Bath
9246,"440 St nicholas Avenue, 2A - Harlem, New York",2350,Rental,Listing ID: 3887655,Manhattan,Elliman,2 Beds, 1 Bath
9247,"129 West 89th Street, 61 - Upper West Side, New York",2350,Condo,Listing ID: 3879742,Manhattan,Elliman,Studio, 1 Bath
9248,"44 East 63rd Street, 4A - Upper East Side, New York",2350,Rental,Listing ID: 3853699,Manhattan,Elliman,Studio, 1 Bath
9249,"205 Columbus Avenue, 4B - Upper West Side, New York",2350,Rental,Listing ID: 3853702,Manhattan,Elliman,1 Bed, 1 Bath
9250,"509 East 77th Street, 4M - Upper East Side, New York",2350,Cooperative,Listing ID: 3687316,Manhattan,Elliman,1 Bed, 1 Bath
9251,"Sherrie Arts, 341 West 45th Street, 507 - Clinton, New York",2350,"Rental, Doorman",Listing ID: 3892212,Manhattan,Elliman,Studio, 1 Bath
9252,"ADDISON HALL, 457 West 57th Street, 715 - Clinton, New York",2350,"Cooperative, Doorman",Approximate Sq. Feet: 400,Manhattan,Elliman,Studio, 1 Bath
9253,"1420 York Avenue, 7D - Upper East Side, New York",2350,Condo,Listing ID: 3865461,Manhattan,Elliman,Studio, 1 Bath
9254,"THE ANSONIA, 2109 Broadway, 12/142 - Upper West Side, New York",2350,"Condo, Doorman",Approximate Sq. Feet: 300,Manhattan,Elliman,Studio,
9255,"814 Tenth Avenue, 6C - Clinton, New York",2350,Rental,Listing ID: 3899558,Manhattan,Elliman,Studio, 1 Bath
9256,"144 West 139th Street, 13 - Harlem, New York",2347,Rental,Listing ID: 3808696,Manhattan,Elliman,2 Beds, 1 Bath
9257,"1567 LEXINGTON Avenue, 1 - Harlem, New York",2345,Rental,Approximate Sq. Feet: 525,Manhattan,Elliman,1 Bed, 1 Bath
9258,"120 Orchard Street, 2A - Lower East Side, New York",2344,Rental,Approximate Sq. Feet: 1,Manhattan,Elliman,Studio, 1 Bath
9259,"225 East 82nd Street, 2A - Upper East Side, New York",2343,Rental,Listing ID: 3885620,Manhattan,Elliman,1 Bed, 1 Bath
9260,"470 West 141st Street, 1B - Hamilton Heights, New York",2338,Rental,Listing ID: 3885918,Manhattan,Elliman,1 Bed, 1 Bath
9261,"139 Waverly Pl, 3C - Greenwich Village, New York",2325,Rental,Listing ID: 3890459,Manhattan,Elliman,Studio, 1 Bath
9262,"265 West 87th Street, 5B - Upper West Side, New York",2325,Rental,Listing ID: 3882775,Manhattan,Elliman,Studio, 1 Bath
9263,"577 Isham Street, 4C - Inwood, New York",2325,Rental,Listing ID: 3892827,Manhattan,Elliman,1 Bed, 1 Bath
9264,"273 West 138th Street, 4D - Harlem, New York",2325,Rental,Listing ID: 3821500,Manhattan,Elliman,1 Bed, 1 Bath
9265,"Luna, 42-15 Crescent Street, 404F - Long Island City, New York",2317,Condo,Listing ID: 3896009,Manhattan,Elliman,Studio, 1 Bath
9266,"28 King Street, 18 - SoHo - Nolita, New York",2310,Rental,Listing ID: 3861536,Manhattan,Elliman,Studio, 1 Bath
9267,"273 West 138th St, 2C - Harlem, New York",2300,Rental,Listing ID: 3763064,Manhattan,Elliman,1 Bed, 1 Bath
9268,"404 East 117th Street, 4 - East Harlem, New York",2300,Multi-Family,"Approximate Sq. Feet: 1,000",Manhattan,Elliman,2 Beds, 1 Bath
9269,"660 Riverside Drive, 3A - Hamilton Heights, New York",2300,Condo,Approximate Sq. Feet: 289,Manhattan,Elliman,1 Bed, 1 Bath
9270,"47 West 71st Street, 4R - Upper West Side, New York",2300,Rental,Approximate Sq. Feet: 265,Manhattan,Elliman,1 Bed, 1 Bath
9271,"503 West 47th Street, 2RW - Clinton, New York",2300,Rental,Approximate Sq. Feet: 500,Manhattan,Elliman,Studio, 1 Bath
9272,"229 East 28th Street, 1F - Kips Bay, New York",2300,Cooperative,Listing ID: 3871143,Manhattan,Elliman,Studio, 1 Bath
9273,"304 West 92nd Street, 3G - Upper West Side, New York",2300,"Rental, Doorman",Listing ID: 3868982,Manhattan,Elliman,Studio, 1 Bath
9274,"204 East 7th Street, 4 - Lower East Side, New York",2300,Cooperative,Listing ID: 3854888,Manhattan,Elliman,1 Bed, 1 Bath
9275,"508 East 78th Street, 3A - Upper East Side, New York",2300,Cooperative,Approximate Sq. Feet: 589,Manhattan,Elliman,1 Bed, 1 Bath
9276,"47 West 90th Street, 7 - Upper West Side, New York",2300,Rental,Listing ID: 3885363,Manhattan,Elliman,Studio, 1 Bath
9277,"The Sedona, 346 East 119th Street, 3A - East Harlem, New York",2300,,Approximate Sq. Feet: 730,Manhattan,Elliman,1 Bed, 1 Bath
9278,"504 West 167TH Street, 3A - Washington Heights, New York",2300,Rental,Listing ID: 3890807,Manhattan,Elliman,2 Beds, 1 Bath
9280,"506 West 169th Street, 1 - Washington Heights, New York",2300,Condo,Listing ID: 3892263,Manhattan,Elliman,1 Bed, 1 Bath
9281,"623 West 207TH Street, 17 - Washington Heights, New York",2300,Rental,Listing ID: 3891577,Manhattan,Elliman,2 Beds, 1 Bath
9282,"40 East 64th Street, 12 - Upper East Side, New York",2300,Rental,Listing ID: 3887016,Manhattan,Elliman,Studio, 1 Bath
9283,"238 East 24th Street, 5D - Murray Hill, New York",2300,Rental,Listing ID: 3878133,Manhattan,Elliman,1 Bed, 1 Bath
9284,"206 West 96th Street, 4C - Upper West Side, New York",2300,Rental,Listing ID: 3837729,Manhattan,Elliman,1 Bed, 1 Bath
9285,"206 West 106th Street, 59 - Morningside Heights, New York",2300,Rental,Listing ID: 3878980,Manhattan,Elliman,1 Bed, 1 Bath
9287,"13-11 Jackson Avenue, 4C - Long Island City, New York",2300,"Condo, Doorman",Approximate Sq. Feet: 503,Manhattan,Elliman,Studio, 1 Bath
9288,"213 East 88th Street, 4B - Upper East Side, New York",2300,Cooperative,Listing ID: 3878505,Manhattan,Elliman,1 Bed, 1 Bath
9289,"14 Orchard Street, 3F - Lower East Side, New York",2300,"Condo, Doorman",Listing ID: 3864999,Manhattan,Elliman,1 Bed, 1 Bath
9290,"243 East 120th Street, 3F - East Harlem, New York",2300,Multi-Family,Listing ID: 3876949,Manhattan,Elliman,2 Beds, 1 Bath
9291,"940 St Nicholas Avenue, 1G - Hamilton Heights, New York",2300,Rental,Approximate Sq. Feet: 800,Manhattan,Elliman,2 Beds, 1 Bath
9292,"225 West 146th Street, B21 - Harlem, New York",2300,Multi-Family,Listing ID: 3866139,Manhattan,Elliman,2 Beds, 1 Bath
9293,"238 East 82nd Street, 2A - Upper East Side, New York",2300,Rental,Listing ID: 3874716,Manhattan,Elliman,Studio, 1 Bath
9294,"107-111 East 102nd Street, 3A - East Harlem, New York",2300,Rental,Listing ID: 3880932,Manhattan,Elliman,1 Bed, 1 Bath
9295,"107-111 East 102nd Street, 6F - East Harlem, New York",2300,Rental,Listing ID: 3880926,Manhattan,Elliman,1 Bed, 1 Bath
9296,"437 West 43rd Street, 4R - Clinton, New York",2300,Condo,Approximate Sq. Feet: 500,Manhattan,Elliman,1 Bed, 1 Bath
9297,"242 East 77th Street, 3RE - Upper East Side, New York",2300,Rental,Listing ID: 3892773,Manhattan,Elliman,1 Bed, 1 Bath
9298,"301 West 105th Street, 2F - Upper West Side, New York",2300,Rental,Listing ID: 3895620,Manhattan,Elliman,Loft, 1 Bath
9299,"150 West 47th Street, 4E - Midtown, New York",2300,"Rental, Doorman",Listing ID: 3894623,Manhattan,Elliman,Studio, 1 Bath
9300,"107-111 East 102nd Street, 3A - East Harlem, New York",2300,Rental,Listing ID: 3880932,Manhattan,Elliman,1 Bed, 1 Bath
9301,"107-111 East 102nd Street, 6F - East Harlem, New York",2300,Rental,Listing ID: 3880926,Manhattan,Elliman,1 Bed, 1 Bath
9302,"437 West 43rd Street, 4R - Clinton, New York",2300,Condo,Approximate Sq. Feet: 500,Manhattan,Elliman,1 Bed, 1 Bath
9303,"242 East 77th Street, 3RE - Upper East Side, New York",2300,Rental,Listing ID: 3892773,Manhattan,Elliman,1 Bed, 1 Bath
9304,"Prospect Towers, 45 Tudor City Pl, 1903 - Murray Hill, New York",2300,"Cooperative, Doorman",Listing ID: 3871964,Manhattan,Elliman,Studio, 1 Bath
9305,"330 East 70th Street, 3K - Upper East Side, New York",2300,"Cooperative, Doorman",Approximate Sq. Feet: 400,Manhattan,Elliman,Studio, 1 Bath
9306,"The Salem House, 520 East 81st Street, 4D - Upper East Side, New York",2300,"Condo, Doorman",Approximate Sq. Feet: 470,Manhattan,Elliman,Studio, 1 Bath
9307,"245 East 124th Street, 10L - East Harlem, New York",2300,"Rental, Doorman",Listing ID: 3873830,Manhattan,Elliman,Studio, 1 Bath
9308,"639 Tenth Avenue, 3A - Midtown, New York",2299,Rental,Listing ID: 3829766,Manhattan,Elliman,Studio, 1 Bath
9309,"294 Manhattan Avenue, 3L - Harlem, New York",2299,Multi-Family,Listing ID: 3874519,Manhattan,Elliman,2 Beds, 1 Bath
9310,"246 East 71st St - Upper East Side, New York",2295,Rental,Listing ID: 3533565,Manhattan,Elliman,Studio,
9311,"41-15 29th Street, 1207 - Long Island City, New York",2295,"Rental, Doorman",Listing ID: 3790120,Manhattan,Elliman,Studio, 1 Bath
9312,"160 EAST 91 STREET, 160 East 91st Street, 3F - Upper East Side, New York",2295,"Cooperative, Doorman",Listing ID: 3829626,Manhattan,Elliman,1 Bed, 1 Bath
9313,"282 West End Avenue, 1R - Upper West Side, New York",2295,Rental,Listing ID: 3872969,Manhattan,Elliman,Studio, 1 Bath
9314,"248 East 90th Street, 4C - Upper East Side, New York",2295,Cooperative,Listing ID: 3887923,Manhattan,Elliman,1 Bed, 1 Bath
9315,"1966 ADAM C POWELL Boulevard, 6 - Harlem, New York",2295,Rental,Listing ID: 3859564,Manhattan,Elliman,2 Beds, 1 Bath
9316,"211 West 53rd Street, 2J - Midtown, New York",2295,Rental,Listing ID: 3877428,Manhattan,Elliman,Studio, 1 Bath
9317,"333 East 108th Street, 3D - East Harlem, New York",2295,Rental,Listing ID: 3883706,Manhattan,Elliman,2 Beds, 1 Bath
9318,"703 NINTH Avenue, 3D - Clinton, New York",2295,Rental,Listing ID: 3861378,Manhattan,Elliman,1 Bed, 1 Bath
9319,"703 NINTH Avenue, 4C - Clinton, New York",2295,Rental,Listing ID: 3878179,Manhattan,Elliman,1 Bed, 1 Bath
9320,"244 East 71st Street, 3D - Upper East Side, New York",2295,Rental,Listing ID: 3876450,Manhattan,Elliman,1 Bed, 1 Bath
9321,"140 40 Tenants Corp, 140 East 40th Street, 2C - Murray Hill, New York",2295,Cooperative,Listing ID: 3850153,Manhattan,Elliman,Studio, 1 Bath
9322,"The Hannah, 607 West 161st Street, 7F - Washington Heights, New York",2295,Rental,Listing ID: 3825794,Manhattan,Elliman,Studio, 1 Bath
