,Address,Price,Rental_type,Sqfeet,Boro,Agency,Beds,Baths
136,"173 St Marks Avenue, 3 - Prospect Heights, New York",3700,Rental,Listing ID: 3892403,Brooklyn,Elliman,2 Beds, 1 Bath
137,"150 Columbia Hts, 4R - Brooklyn Heights, New York",3700,Rental,Listing ID: 3866721,Brooklyn,Elliman,1 Bed, 1 Bath
138,"Berry Street - Williamsburg, New York",3695,"Rental, Doorman",Approximate Sq. Feet: 647,Brooklyn,Elliman,1 Bed, 1 Bath
139,"185 Prospect Park West, 2R - Windsor Terrace, New York",3686,Rental,Approximate Sq. Feet: 978,Brooklyn,Elliman,2 Beds, 1 Bath
140,"395 Leonard Street, 309 - Williamsburg, New York",3680,Rental,Approximate Sq. Feet: 655,Brooklyn,Elliman,1 Bed, 1 Bath
141,"107 Greenpoint Avenue, A4 - Greenpoint, New York",3666,Rental,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,1 Bed, 1 Bath 
142,"363 Bond Street, 712 - Gowanus, New York",3660,"Rental, Doorman",Listing ID: 3865110,Brooklyn,Elliman,1 Bed, 1 Bath
143,"620 6th Street, GARDEN - Park Slope, New York",3650,Rental,Listing ID: 3878614,Brooklyn,Elliman,2 Beds, 1 Bath
144,"Caton Pl - Windsor Terrace, New York",3625,"Rental, Doorman",Approximate Sq. Feet: 871,Brooklyn,Elliman,2 Beds, 2 Baths
145,"333 Schermerhorn Street, 29Q - Fort Greene, New York",3618,"Rental, Doorman",Listing ID: 3805520,Brooklyn,Elliman,1 Bed, 1 Bath
146,"320 Atlantic Avenue, 3 - Boerum Hill, New York",3600,Rental,Listing ID: 3886662,Brooklyn,Elliman,2 Beds, 1 Bath
147,"111 Greenpoint Avenue, 1A - Greenpoint, New York",3600,Rental,Listing ID: 3712860,Brooklyn,Elliman,2 Beds, 1 Bath 
148,"Berry Street - Williamsburg, New York",3595,"Rental, Doorman",Listing ID: 3752494,Brooklyn,Elliman,1 Bed, 1 Bath
149,"501 Atlantic Avenue, 8 - Boerum Hill, New York",3550,Rental,Listing ID: 3868483,Brooklyn,Elliman,3 Beds, 1 Bath
150,"395 Leonard Street, 430 - Williamsburg, New York",3535,Rental,Approximate Sq. Feet: 596,Brooklyn,Elliman,1 Bed, 1 Bath
151,"Das Haus, 90 Clermont Avenue, 6 - Fort Greene, New York",3500,Condo,Approximate Sq. Feet: 910,Brooklyn,Elliman,2 Beds, 2 Baths
152,"5 Monroe Street, 1 - Clinton Hill, New York",3500,Rental,Listing ID: 3869940,Brooklyn,Elliman,3 Beds, 2 Baths
153,"567 Warren Street, 602 - Boerum Hill, New York",3500,Rental,Listing ID: 3891773,Brooklyn,Elliman,2 Beds, 1 Bath
154,"567 Warren Street, 404 - Boerum Hill, New York",3500,Rental,Listing ID: 3891767,Brooklyn,Elliman,2 Beds, 1 Bath
155,"32 Fifth Avenue, 1A - Park Slope, New York",3500,,Listing ID: 3847587,Brooklyn,Elliman,1 Bed, 1 Bath
157,"1255 Bushwick Avenue, 6E - Bushwick, New York",3500,Condo,Approximate Sq. Feet: 797,Brooklyn,Elliman,2 Beds, 2 Baths
158,"189 Schermerhorn Street, 4P - Boerum Hill, New York",3500,"Condo, Doorman",Approximate Sq. Feet: 618,Brooklyn,Elliman,1 Bed, 1 Bath
160,"895 Pacific Street, 4B - Prospect Heights, New York",3500,Rental,Approximate Sq. Feet: 900,Brooklyn,Elliman,2 Beds, 1 Bath
161,"616 President Street, 3 - Park Slope, New York",3500,Multi-Family,Approximate Sq. Feet: 800,Brooklyn,Elliman,2 Beds, 1 Bath
162,"171 Monroe Street, 1 - Bedford - Stuyvesant, New York",3499,Multi-Family,Listing ID: 3826261,Brooklyn,Elliman,2 Beds, 3 Baths
163,"340 14th Street, 2 - Park Slope, New York",3483,Condo,Listing ID: 3886341,Brooklyn,Elliman,1 Bed, 1 Bath
164,"340 14th Street, 2R - Park Slope, New York",3483,Condo,Listing ID: 3799565,Brooklyn,Elliman,1 Bed, 1 Bath
165,"501 Atlantic Avenue, 4 - Boerum Hill, New York",3475,Rental,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,3 Beds, 1 Bath
166,"null, 1153 PRESIDENT Street, 4E - Crown Heights, New York",3450,Condo,Approximate Sq. Feet: 753,Brooklyn,Elliman,3 Beds, 1 Bath
167,"363 Bond Street, 702 - Gowanus, New York",3450,"Rental, Doorman",Listing ID: 3879769,Brooklyn,Elliman,1 Bed, 1 Bath
168,"1 Blue Slip, 7P - Greenpoint, New York",3441,Rental,Listing ID: 3891679,Brooklyn,Elliman,1 Bed, 1 Bath
169,"Berry Street - Williamsburg, New York",3415,"Rental, Doorman",Listing ID: 3644193,Brooklyn,Elliman,Studio, 1 Bath
170,"100 Maspeth Avenue, 3H - Williamsburg, New York",3400,"Condo, Doorman",Listing ID: 3846233,Brooklyn,Elliman,2 Beds, 2 Baths
