Address,Price,Description,Neighborhood,Boro
East 35th Street,3100,1 Bed / 1 Bath / Co-op,Murray Hill,Manhattan
Jane Street,6995,"1 Bed / 1 Bath / 1,220 Sq. Ft. / Condo",West Village,Manhattan
East 119th Street,3950,"3 Beds / 2 Baths / 1,800 Sq. Ft. / Rental",East Harlem,Manhattan
Greene Street,18000,"2 Beds / 3 Baths / 2,771 Sq. Ft. / Condo",Soho/Nolita,Manhattan
Saint Nicholas Place,2150,1 Bed / 1 Bath / Rental,Hamilton Heights,Manhattan
7TH Avenue,2700,2 Beds / 1 Bath / 1 Sq. Ft. / Rental,Harlem,Manhattan
"239 Third Avenue, Apt. 3",3800,2 Beds / 1 Bath / Rental,Gramercy,Manhattan
West 15th Street,2725,Studio / 1 Bath / 400 Sq. Ft. / Rental,Chelsea/Hudson Yards,Manhattan
Sullivan Street,3100,1 Bed / 1 Bath / 600 Sq. Ft. / Co-op,Greenwich Village,Manhattan
West 48th Street,340,2 Beds / 1 Bath / Rental,Clinton,Manhattan
West 9th Street,50000,"4 Floors / 6,029 Sq. Ft. / Single Family Townhouse",Greenwich Village,Manhattan
West 172nd Street,2085,1 Bed / 1 Bath / Rental,Washington Heights,Manhattan
Hillside Avenue,1775,Studio / 1 Bath / Rental,Washington Heights,Manhattan
Haven Avenue,3325,3 Beds / 1 Bath / Rental,Washington Heights,Manhattan
"30 Morningside Drive, Apt. 309",9841,"3 Beds / 2 Baths / 1,389 Sq. Ft. / Condo",Morningside Heights,Manhattan
East 54th Street,14000,3 Beds / 2 Baths / Rental,Sutton Area,Manhattan
"663 Lexington Avenue, Apt. 3FLR",5500,"3 Beds / 2 Baths / 1,500 Sq. Ft. / Rental",Upper East Side,Manhattan
West 54th Street,2995,2 Beds / 1 Bath / Rental,Midtown West,Manhattan
"171 East 117th Street, Apt. 3",3200,"3 Beds / 1 Bath / 1,100 Sq. Ft. / Rental",East Harlem,Manhattan
"65 East 54th Street, Apt. 5F",3000,Studio / 1 Bath / Rental,Midtown East,Manhattan
"130 East 62nd Street, Apt. 1F",3950,5 Units / 5 Floors / Multi-Family Townhouse,Upper East Side,Manhattan
First Avenue,4850,2 Units / 3 Floors / Multi-Family Townhouse,Gramercy,Manhattan
"257 Water Street, Apt. 4E",7500,"5 Beds / 2 Baths / 1,100 Sq. Ft. / Rental",Financial District,Manhattan
East 11th Street,2400,1 Bed / 1 Bath / 500 Sq. Ft. / Condo,East Village,Manhattan
Washington Street,7950,2 Beds / 2 Baths / Condo,Tribeca,Manhattan
"658 West 188th Street, Apt. 1-B",2450,88 Units / 6 Floors / Townhouse,Washington Heights,Manhattan
"475 Greenwich Street, Apt. PHN",25000,"3 Beds / 2 Baths / 2,633 Sq. Ft. / Condo",Tribeca,Manhattan
West 55th Street,3495,1 Bed / 1 Bath / 635 Sq. Ft. / Rental,Midtown West,Manhattan
West 49th Street,3495,1 Bed / 1 Bath / 673 Sq. Ft. / Condo,Clinton,Manhattan
1ST Avenue,7784,2 Beds / 2 Baths / Condo/Co-op,Midtown East,Manhattan
"20 West Street, Apt. 38B",2800,Studio / 1 Bath / Condo,Financial District,Manhattan
West 55th Street,3495,1 Bed / 1 Bath / 635 Sq. Ft. / Rental,Midtown West,Manhattan
West 49th Street,3495,1 Bed / 1 Bath / 673 Sq. Ft. / Condo,Clinton,Manhattan
1ST Avenue,7784,2 Beds / 2 Baths / Condo/Co-op,Midtown East,Manhattan
"342 Manhattan Avenue, Apt. 2S",3995,4 Beds / 2 Baths / Rental,Harlem,Manhattan
"20 West Street, Apt. 38B",2800,Studio / 1 Bath / Condo,Financial District,Manhattan
"423 East 83rd Street, Apt. 3A",2527,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"1601 Third Avenue, Apt. 5H",6000,"3 Beds / 2 Baths / 1,200 Sq. Ft. / Condo",Carnegie Hill,Manhattan
"10 Madison Square West, Apt. 6B",18500,"3 Beds / 2 Baths / 2,021 Sq. Ft. / Condo",Flatiron,Manhattan
"163 Saint Nicholas Avenue, Apt. 6F",3975,2 Beds / 2 Baths / 963 Sq. Ft. / Condo,Harlem,Manhattan
East 110th Street,2500,1 Bed / 1 Bath / 645 Sq. Ft. / Condo,Upper East Side,Manhattan
"200 Chambers Street, Apt. 5F",4900,1 Bed / 1 Bath / 752 Sq. Ft. / Condo,Tribeca,Manhattan
Central Park South,3895,1 Bed / 1 Bath / 882 Sq. Ft. / Co-op,Central Park South,Manhattan
"75 Baxter Street, Apt. 25",4900,3 Beds / 1 Bath / Rental,Chinatown,Manhattan
"75 Baxter Street, Apt. 3",3812,2 Beds / 1 Bath / Rental,Chinatown,Manhattan
"441 West 48th Street, Apt. W-ONE",4495,3 Beds / 1 Bath / Condo,Clinton,Manhattan
"338 East 13th Street, Apt. 2C",4300,1 Bed / 1 Bath / Rental,East Village,Manhattan
East 63rd Street,4500,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
West End Avenue,6000,2 Beds / 1 Bath / 825 Sq. Ft. / Rental,Upper West Side,Manhattan
Broadway,1846,Studio / 1 Bath / Rental,Inwood,Manhattan
"33 West 56th Street, Apt. 14B",14800,"3 Beds / 3 Baths / 2,023 Sq. Ft. / Condo",Midtown West,Manhattan
"33 West 56th Street, Apt. PH-C",23500,"3 Beds / 3 Baths / 2,947 Sq. Ft. / Condo",Midtown West,Manhattan
"60 West 142nd Street, Apt. 04K",1923,Studio / 1 Bath / Rental,Harlem,Manhattan
"342 Manhattan Avenue, Apt. 3N",3300,3 Beds / 1 Bath / Rental,Harlem,Manhattan
"196 Orchard Street, Apt. 9F",10000,"2 Beds / 2 Baths / 1,217 Sq. Ft. / Condo",Lower East Side,Manhattan
"62 West 62nd Street, Apt. 16-A",6750,"2 Beds / 3 Baths / 1,380 Sq. Ft. / Condo",Upper West Side,Manhattan
"555 West 152nd Street, Apt. 3A",1775,8 Units / 4 Floors / 550 Sq. Ft. / Multi-Family Townhouse,Hamilton Heights,Manhattan
"210 West 138th Street, Apt. 2FLR",4295,3 Beds / 2 Baths / Rental,Harlem,Manhattan
"40 Sutton Place, Apt. 5-D",2200,Studio / 1 Bath / 461 Sq. Ft. / Condo,Sutton Area,Manhattan
"107 Saint Marks Place, Apt. 3-G",4095,2 Beds / 1 Bath / Rental,East Village,Manhattan
"235 West 146th Street, Apt. A11",1875,1 Bed / 1 Bath / Rental,Harlem,Manhattan
West 131st Street,2100,4 Units / 4 Floors / 600 Sq. Ft. / Multi-Family Townhouse,Harlem,Manhattan
Frederick Douglass Boulevard,3500,1 Bed / 1 Bath / 891 Sq. Ft. / Condo,Harlem,Manhattan
West 53rd Street,16000,"2 Beds / 2 Baths / 1,625 Sq. Ft. / Condo",Midtown West,Manhattan
Christopher Street,3495,Studio / 1 Bath / 550 Sq. Ft. / Rental,Greenwich Village,Manhattan
Eighth Avenue,2500,1 Bed / 1 Bath / 523 Sq. Ft. / Condo,Harlem,Manhattan
"515 East 72nd Street, Apt. 16D",3950,1 Bed / 1 Bath / 687 Sq. Ft. / Condo,Upper East Side,Manhattan
"123 Washington Street, Apt. 27C",3650,Studio / 1 Bath / 394 Sq. Ft. / Condo,Financial District,Manhattan
"80 Park Avenue, Apt. 2A",2450,Studio / 1 Bath / 452 Sq. Ft. / Condo,Murray Hill,Manhattan
Fifth Avenue,6500,"2 Beds / 2 Baths / 1,203 Sq. Ft. / Condo",Midtown West,Manhattan
West 12th Street,5595,4 Units / 5 Floors / Multi-Family Townhouse,Greenwich Village,Manhattan
"8 Centre Market Place, Apt. 4",4500,3 Beds / 1 Bath / Rental,Soho/Nolita,Manhattan
"534 West 50th Street, Apt. 5B",2750,2 Beds / 1 Bath / Rental,Midtown West,Manhattan
"242 West 53rd Street, Apt. 21B",3850,Studio / 1 Bath / Rental,Midtown West,Manhattan
Hudson Street,10000,4 Beds / 2 Baths / Rental,West Village,Manhattan
West End Avenue,4500,Studio / 1 Bath / 522 Sq. Ft. / Rental,Upper West Side,Manhattan
"210 West 138th Street, Apt. 3FLR",4395,3 Beds / 2 Baths / Rental,Harlem,Manhattan
2546 Adam Clayton Powell Boulevar...,2150,2 Beds / 1 Bath / Rental,Harlem,Manhattan
"207 Madison Street, Apt. 22",3400,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
"207 Madison Street, Apt. 22",3400,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
Bradhurst Avenue,4500,"3 Beds / 2 Baths / 1,170 Sq. Ft. / Condo",Harlem,Manhattan
"4300 Broadway, Apt. 2E",2534,2 Beds / 1 Bath / Rental,Washington Heights,Manhattan
"540 Main Street, Apt. 450",3600,2 Beds / 1 Bath / Rental,Roosevelt Island,Manhattan
"510 West 110th Street, Apt. 3E",2950,1 Bed / 1 Bath / 688 Sq. Ft. / Condo,Upper West Side,Manhattan
"121 West 19th Street, Apt. 3D",5700,"1 Bed / 1 Bath / 1,038 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
Mott Street,6395,4 Beds / 2 Baths / Rental,Soho/Nolita,Manhattan
"88 Greenwich Street, Apt. 329",3200,Studio / 1 Bath / 618 Sq. Ft. / Condo,Financial District,Manhattan
"136 West Houston Street, Apt. PH",19000,"3 Beds / 2 Baths / 2,250 Sq. Ft. / Rental",Greenwich Village,Manhattan
"380 Rector Place, Apt. 18E",3995,1 Bed / 1 Bath / Condo,Battery Park City,Manhattan
East 53rd Street,4400,1 Bed / 1 Bath / 823 Sq. Ft. / Condo,Midtown East,Manhattan
"90 West Street, Apt. 21L",4050,1 Bed / 1 Bath / 825 Sq. Ft. / Rental,Financial District,Manhattan
East 29th Street,5995,1 Bed / 1 Bath / 826 Sq. Ft. / Condo,Flatiron,Manhattan
East 95th Street,2950,1 Bed / 1 Bath / 650 Sq. Ft. / Co-op,Upper East Side,Manhattan
"233 East 86th Street, Apt. 2A",3200,1 Bed / 1 Bath / Co-op,Upper East Side,Manhattan
"117 West 21st Street, Apt. PH-A",35000,"4 Beds / 3 Baths / 4,451 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"10 Downing Street, Apt. 4-G",6490,121 Units / 6 Floors / 850 Sq. Ft. / Townhouse,Greenwich Village,Manhattan
West 94th Street,4375,1 Bed / 1 Bath / 710 Sq. Ft. / Rental,Upper West Side,Manhattan
"123 Washington Street, Apt. 30D",4295,1 Bed / 1 Bath / 667 Sq. Ft. / Condo,Financial District,Manhattan
"16 West 19th Street, Apt. 7E",6000,1 Bed / 1 Bath / 904 Sq. Ft. / Condo,Flatiron,Manhattan
West 112th Street,3100,1 Bed / 1 Bath / 750 Sq. Ft. / Condo,Morningside Heights,Manhattan
East 82nd Street,2350,71 Units / 5 Floors / Townhouse,Upper East Side,Manhattan
East 79th Street,7500,"3 Beds / 3 Baths / 1,800 Sq. Ft. / Rental",Upper East Side,Manhattan
Riverside Drive,7250,"2 Beds / 1 Bath / 1,041 Sq. Ft. / Rental",Upper West Side,Manhattan
"420 East 54th Street, Apt. 1408",6000,1 Bed / 2 Baths / Rental,Sutton Area,Manhattan
East 54th Street,8700,2 Beds / 2 Baths / Rental,Sutton Area,Manhattan
Washington Street,11500,"2 Beds / 1 Bath / 1,445 Sq. Ft. / Condo",Tribeca,Manhattan
West 88th Street,4895,"3 Units / 4 Floors / 1,000 Sq. Ft. / Multi-Family Townhouse",Upper West Side,Manhattan
"460 West 20th Street, Apt. 4J",5800,2 Beds / 2 Baths / Rental,Chelsea/Hudson Yards,Manhattan
"433 East 115th Street, Apt. 5-O",2300,1 Bed / 1 Bath / Rental,East Harlem,Manhattan
"4300 Broadway, Apt. 6C",1695,Studio / 1 Bath / Rental,Washington Heights,Manhattan
"4 West 108th Street, Apt. 13",5750,5 Beds / 2 Baths / Rental,Upper West Side,Manhattan
"196 Orchard Street, Apt. 7L",10000,"2 Beds / 2 Baths / 1,162 Sq. Ft. / Condo",Lower East Side,Manhattan
"126 Elizabeth Street, Apt. 12",3070,2 Beds / 1 Bath / Rental,Chinatown,Manhattan
East 71st Street,1850,Studio / 1 Bath / Rental,Upper East Side,Manhattan
West 58th Street,3995,2 Beds / 1 Bath / 800 Sq. Ft. / Condo,Midtown West,Manhattan
Christopher Street,5450,"2 Beds / 1 Bath / 1,000 Sq. Ft. / Rental",Greenwich Village,Manhattan
West 33rd Street,6461,2 Beds / 2 Baths / Rental,Midtown West,Manhattan
"40 Central Park South, Apt. PHD",29500,"2 Beds / 2 Baths / 1,985 Sq. Ft. / Rental",Central Park South,Manhattan
Dutch Street,4720,1 Bed / 1 Bath / Condo,Financial District,Manhattan
West 184th Street,1800,Studio / 1 Bath / 800 Sq. Ft. / Rental,Washington Heights,Manhattan
East 52nd Street,10625,"Studio / 1 Bath / 1,700 Sq. Ft. / Rental",Midtown East,Manhattan
"228 West 15th Street, Apt. 3A",3395,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"75 Baxter Street, Apt. 4",2820,1 Bed / 1 Bath / Rental,Chinatown,Manhattan
"311 West 84th Street, Apt. 2F",2400,11 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"183 East 3RD Street, Apt. 5E",5200,3 Beds / 1 Bath / Rental,East Village,Manhattan
"212 East 47th Street, Apt. 31E",3700,1 Bed / 1 Bath / 685 Sq. Ft. / Condo,Midtown East,Manhattan
"16 East 118th Street, Apt. 2",3500,3 Units / 4 Floors / Multi-Family Townhouse,East Harlem,Manhattan
"20 Avenue A, Apt. 4D",2842,1 Bed / 1 Bath / Rental,East Village,Manhattan
"342 East 8th Street, Apt. 4C",3804,2 Beds / 1 Bath / Rental,East Village,Manhattan
"590 West 204th Street, Apt. A-45",2200,2 Beds / 1 Bath / Rental,Inwood,Manhattan
"446 West 47th Street, Apt. 2-B",4450,"2 Beds / 2 Baths / 1,100 Sq. Ft. / Condo",Clinton,Manhattan
"1462 2ND Avenue, Apt. APT-3S",3500,2 Beds / 1 Bath / Rental,Upper East Side,Manhattan
"196 Orchard Street, Apt. 9C",15000,"3 Beds / 3 Baths / 1,831 Sq. Ft. / Condo",Lower East Side,Manhattan
"115 Fourth Avenue, Apt. 3F",12000,"2 Beds / 2 Baths / 1,800 Sq. Ft. / Condo",Greenwich Village,Manhattan
Ellwood Street,1975,1 Bed / 1 Bath / Rental,Inwood,Manhattan
West 98th Street,2750,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
West 98th Street,4250,2 Beds / 1 Bath / 900 Sq. Ft. / Rental,Upper West Side,Manhattan
"325 West 93rd Street, Apt. 2D",6000,3 Beds / 2 Baths / Rental,Upper West Side,Manhattan
2285 Adam Clayton Powell Boulevar...,4200,4 Beds / 2 Baths / Rental,Harlem,Manhattan
Bradhurst Avenue,2000,1 Bed / 1 Bath / Co-op,Harlem,Manhattan
"1153 Third Avenue, Apt. 5",1950,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
East 66th Street,4095,2 Beds / 1 Bath / Rental,Upper East Side,Manhattan
"421 West 22nd Street, Apt. 3F",3000,Studio / 1 Bath / 470 Sq. Ft. / Condo,Chelsea/Hudson Yards,Manhattan
"151 East 43rd Street, Apt. 5A",1800,Studio / 1 Bath / Rental,Midtown East,Manhattan
"2144 Fifth Avenue, Apt. 2B",2700,2 Beds / 1 Bath / Rental,East Harlem,Manhattan
Water Street,4695,1 Bed / 1 Bath / Rental,Financial District,Manhattan
"51 West 81st Street, Apt. 8D",5750,"2 Beds / 2 Baths / 1,100 Sq. Ft. / Co-op",Upper West Side,Manhattan
"504 Manhattan Avenue, Apt. 2-F",2400,1 Bed / 1 Bath / Rental,Harlem,Manhattan
"454 Saint Nicholas Avenue, Apt. 2S",2950,"2 Beds / 1 Bath / 1,000 Sq. Ft. / Condo",Harlem,Manhattan
"229 East 84th Street, Apt. 3D",3200,2 Beds / 1 Bath / Rental,Upper East Side,Manhattan
"238 West 108th Street, Apt. 3",7500,"3 Beds / 2 Baths / 1,857 Sq. Ft. / Condo",Upper West Side,Manhattan
"332 Bowery, Apt. 2R",6500,4 Units / 4 Floors / Multi-Family Townhouse,East Village,Manhattan
32 East 74th Street,13000,5 Floors / Single Family Townhouse,Upper East Side,Manhattan
"40 East 78th Street, Apt. 15C",8900,"2 Beds / 2 Baths / 1,300 Sq. Ft. / Condo",Upper East Side,Manhattan
"10 Manhattan Avenue, Apt. 6-A",6500,6 Beds / 3 Baths / Rental,Upper West Side,Manhattan
"14 West 14th Street, Apt. 8B",10795,"2 Beds / 2 Baths / 1,234 Sq. Ft. / Condo",Greenwich Village,Manhattan
"2300 5TH Avenue, Apt. 5R",1905,Studio / 1 Bath / Rental,Harlem,Manhattan
"55 West 95th Street, Apt. 65",4950,"3 Beds / 1 Bath / 2,000 Sq. Ft. / Co-op",Upper West Side,Manhattan
"510 Amsterdam Avenue, Apt. 6B",3387,2 Beds / 1 Bath / 700 Sq. Ft. / Rental,Upper West Side,Manhattan
West 19th Street,6800,"1 Bed / 2 Baths / 1,374 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"236 West 26th Street, Apt. 5SW",6395,2 Beds / 1 Bath / Co-op,Chelsea/Hudson Yards,Manhattan
East 63rd Street,2850,Studio / 1 Bath / 550 Sq. Ft. / Co-op,Upper East Side,Manhattan
"10 Hanover Square, Apt. 19R",3180,2 Beds / 1 Bath / 550 Sq. Ft. / Rental,Financial District,Manhattan
"229 Chrystie Street, Apt. 720",4880,1 Bed / 1 Bath / Rental,East Village,Manhattan
"40 West 116th Street, Apt. A917",3000,1 Bed / 1 Bath / 742 Sq. Ft. / Condo,Harlem,Manhattan
East 72nd Street,3795,1 Bed / 1 Bath / 685 Sq. Ft. / Condo,Upper East Side,Manhattan
South Street,3900,1 Bed / 1 Bath / 693 Sq. Ft. / Condo,Lower East Side,Manhattan
East 91ST Street,4140,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"137 East 36th Street, Apt. 23E",3200,1 Bed / 1 Bath / Co-op,Murray Hill,Manhattan
"1436 Lexington Avenue, Apt. 3-C",2108,Studio / 1 Bath / Rental,Upper East Side,Manhattan
"251 West 109th Street, Apt. 3-C",2995,2 Beds / 1 Bath / 650 Sq. Ft. / Rental,Upper West Side,Manhattan
West 86th Street,5795,"2 Beds / 2 Baths / 1,150 Sq. Ft. / Rental",Upper West Side,Manhattan
"606 West 148th Street, Apt. 3",3300,4 Units / 5 Floors / Multi-Family Townhouse,Hamilton Heights,Manhattan
"41 Avenue B, Apt. 6D",3495,1 Bed / 1 Bath / Rental,East Village,Manhattan
West 23rd Street,3750,1 Bed / 1 Bath / 850 Sq. Ft. / Co-op,Chelsea/Hudson Yards,Manhattan
"130 Water Street, Apt. 9O",3495,Studio / 1 Bath / 600 Sq. Ft. / Condo,Financial District,Manhattan
"1050 Sixth Avenue, Apt. 24-A",13200,"2 Beds / 2 Baths / 1,533 Sq. Ft. / Rental",Midtown West,Manhattan
"243 Henry Street, Apt. 22",4000,3 Beds / 1 Bath / Rental,Lower East Side,Manhattan
"65 Ludlow Street, Apt. 8",3300,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
"521 West 158th Street, Apt. 3",3450,3 Units / 3 Floors / Multi-Family Townhouse,Washington Heights,Manhattan
"16 MAIDEN Lane, Apt. 4",4800,3 Beds / 1 Bath / 1 Sq. Ft. / Rental,Financial District,Manhattan
"4 West 103rd Street, Apt. 5A",3987,3 Beds / 1 Bath / Rental,Upper West Side,Manhattan
3RD Avenue,5678,1 Bed / 1 Bath / Rental,Gramercy,Manhattan
"250 East 90th Street, Apt. 2-S",2400,2 Beds / 1 Bath / 800 Sq. Ft. / Rental,Upper East Side,Manhattan
"425 East 13th Street, Apt. 3C",7000,2 Beds / 2 Baths / 994 Sq. Ft. / Condo,East Village,Manhattan
"630 Lenox Avenue, Apt. 17N",3089,3 Beds / 2 Baths / Rental,Harlem,Manhattan
"300 East 46th Street, Apt. 3K",2725,Studio / 1 Bath / Rental,Midtown East,Manhattan
"199 Second Avenue, Apt. 3",6750,"3 Beds / 1 Bath / 1,428 Sq. Ft. / Rental",East Village,Manhattan
"109 First Avenue, Apt. 5R",2675,1 Bed / 1 Bath / 600 Sq. Ft. / Rental,East Village,Manhattan
"394 East 8th Street, Apt. 4C",2245,Studio / 1 Bath / Rental,East Village,Manhattan
"394 East 8th Street, Apt. 1G",3500,2 Beds / 1 Bath / Rental,East Village,Manhattan
Eighth Avenue,4200,"2 Beds / 2 Baths / 1,100 Sq. Ft. / Condo",Harlem,Manhattan
"235 East 40th Street, Apt. 20J",2700,Studio / 1 Bath / Condo,Murray Hill,Manhattan
"333 East 43rd Street, Apt. 508",3350,1 Bed / 1 Bath / Co-op,Midtown East,Manhattan
"20 West 64th Street, Apt. 29R",8500,"2 Beds / 2 Baths / 1,052 Sq. Ft. / Condo",Upper West Side,Manhattan
East 5th Street,2100,Studio / 1 Bath / Rental,East Village,Manhattan
Sullivan Street,4125,2 Beds / 1 Bath / Rental,Soho/Nolita,Manhattan
"600 West 187th Street, Apt. 24",2550,3 Beds / 1 Bath / Rental,Washington Heights,Manhattan
"337 East 77th Street, Apt. PHB",5683,"2 Beds / 2 Baths / 1,200 Sq. Ft. / Rental",Upper East Side,Manhattan
East 54th Street,5600,2 Beds / 1 Bath / Rental,Sutton Area,Manhattan
West 46th Street,2700,1 Bed / 1 Bath / Rental,Clinton,Manhattan
East 11th Street,3650,2 Beds / 1 Bath / Rental,East Village,Manhattan
Christopher Street,6250,1 Bed / 1 Bath / 903 Sq. Ft. / Condo,West Village,Manhattan
"311 East 25th Street, Apt. 1F",2450,Studio / 1 Bath / Co-op,Murray Hill,Manhattan
"257 East 61st Street, Apt. 4G",2000,Studio / 1 Bath / Rental,Upper East Side,Manhattan
West 33rd Street,3650,1 Bed / 1 Bath / Condo,Chelsea/Hudson Yards,Manhattan
"15 Essex Street, Apt. 21",3200,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
"79 West 127th Street, Apt. 2D",2250,1 Bed / 1 Bath / Rental,Harlem,Manhattan
"97 Lexington Avenue, Apt. 2B",2000,Studio / 1 Bath / Rental,Murray Hill,Manhattan
"27 Bethune Street, Apt. 3",5395,3 Units / 4 Floors / 900 Sq. Ft. / Multi-Family Townhouse,West Village,Manhattan
"626 1ST Avenue, Apt. E41C",9920,2 Beds / 2 Baths / Condo/Co-op,Midtown East,Manhattan
"111 Mercer Street, Apt. 2",17500,"2 Beds / 2 Baths / 2,024 Sq. Ft. / Condo",Soho/Nolita,Manhattan
West 55th Street,5650,2 Beds / 2 Baths / Rental,Midtown West,Manhattan
East 81st Street,1950,1 Bed / 1 Bath / 300 Sq. Ft. / Rental,Upper East Side,Manhattan
"225 West 25th Street, Apt. 2C",3900,1 Bed / 1 Bath / 750 Sq. Ft. / Co-op,Chelsea/Hudson Yards,Manhattan
"184 Nagle Avenue, Apt. 2I",2250,2 Beds / 1 Bath / Rental,Inwood,Manhattan
"301 West 57th Street, Apt. 17B",4700,1 Bed / 1 Bath / 780 Sq. Ft. / Condo,Midtown West,Manhattan
"251 West 19th Street, Apt. 3D",10500,"2 Beds / 2 Baths / 1,771 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
2300 Frederick Douglass Boulevard...,3800,1 Bed / 1 Bath / 850 Sq. Ft. / Condo,Harlem,Manhattan
Columbus Avenue,10727,"3 Beds / 2 Baths / 1,418 Sq. Ft. / Rental",Upper West Side,Manhattan
"212 East 47th Street, Apt. 17H",3600,1 Bed / 1 Bath / 642 Sq. Ft. / Condo,Midtown East,Manhattan
West 15th Street,4198,Studio / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"254 Park Avenue South, Apt. 6B",5500,1 Bed / 2 Baths / 897 Sq. Ft. / Condo,Gramercy,Manhattan
"200 Riverside Boulevard, Apt. 14H",3800,1 Bed / 1 Bath / 800 Sq. Ft. / Condo,Upper West Side,Manhattan
West 17th Street,9500,"2 Beds / 2 Baths / 1,488 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
Central Park West,39500,4 Beds / 4 Baths / Rental,Upper West Side,Manhattan
"111 Wooster Street, Apt. 5D",14500,"3 Beds / 2 Baths / 2,107 Sq. Ft. / Condo",Soho/Nolita,Manhattan
"41 West 24th Street, Apt. 6-R",7200,3 Beds / 2 Baths / Rental,Flatiron,Manhattan
"5 Tudor City Place, Apt. 1801",3450,1 Bed / 1 Bath / 475 Sq. Ft. / Co-op,Murray Hill,Manhattan
"150 West 119th Street, Apt. PARLOR",2500,4 Units / 4 Floors / 800 Sq. Ft. / Multi-Family Townhouse,Harlem,Manhattan
"16 East 77th Street, Apt. 3",12775,"2 Beds / 2 Baths / 2,000 Sq. Ft. / Rental",Upper East Side,Manhattan
"209 East 10th Street, Apt. SIX",3600,2 Beds / 1 Bath / Rental,East Village,Manhattan
"437 West 46th Street, Apt. 2FE",2795,1 Bed / 1 Bath / Rental,Clinton,Manhattan
West 82nd Street,11750,"3 Beds / 2 Baths / 2,300 Sq. Ft. / Rental",Upper West Side,Manhattan
"718 West 178th Street, Apt. 4",2450,2 Beds / 1 Bath / 830 Sq. Ft. / Rental,Washington Heights,Manhattan
"235 West 132nd Street, Apt. 2",4500,"3 Units / 4 Floors / 1,600 Sq. Ft. / Multi-Family Townhouse",Harlem,Manhattan
"932 Amsterdam Avenue, Apt. 5-S",3850,3 Beds / 1 Bath / Rental,Upper West Side,Manhattan
"55 Walker Street, Apt. 4A",7995,"2 Beds / 2 Baths / 1,900 Sq. Ft. / Condo/Co-op",Tribeca,Manhattan
"309 West 30th Street, Apt. 2B",3069,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"309 West 30th Street, Apt. 7B",3140,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"21 East 81st Street, Apt. PH5/6",12500,"2 Units / 5 Floors / 2,000 Sq. Ft. / Multi-Family Townhouse",Upper East Side,Manhattan
"281 Grand Street, Apt. 4R",6000,8 Units / 5 Floors / Townhouse,Lower East Side,Manhattan
