Address,Price,Description,Neighborhood,Boro
"211 East 13th Street, Apt. 5K",8500,2 Beds / 2 Baths / Condo,East Village,Manhattan
"370 West 116th Street, Apt. 2B",2550,3 Beds / 1 Bath / Rental,Harlem,Manhattan
"329 West 51st Street, Apt. 1",1900,Studio / 1 Bath / Rental,Clinton,Manhattan
"280 Park Avenue South, Apt. 12G",4585,1 Bed / 1 Bath / Condo,Flatiron,Manhattan
"210 East 21st Street, Apt. 6D",2250,Studio / 1 Bath / Co-op,Gramercy,Manhattan
"259 West 85th Street, Apt. 4",4000,1 Bed / 1 Bath / 856 Sq. Ft. / Condo,Upper West Side,Manhattan
"159 West 82nd Street, Apt. 2",4995,2 Beds / 1 Bath / Rental,Upper West Side,Manhattan
"310 East 46th Street, Apt. 12G",3850,1 Bed / 1 Bath / Condo/Co-op,Midtown East,Manhattan
"7 East 14th Street, Apt. 1024",2900,Studio / 1 Bath / 450 Sq. Ft. / Co-op,Flatiron,Manhattan
"200 East 94th Street, Apt. 505",3150,1 Bed / 1 Bath / Condo,Upper East Side,Manhattan
"524 West 149th Street, Apt. 3",2300,4 Units / 4 Floors / Multi-Family Townhouse,Hamilton Heights,Manhattan
"235 East 40th Street, Apt. 30G",3850,1 Bed / 1 Bath / Condo,Murray Hill,Manhattan
"216 East 47th Street, Apt. 3B",3700,1 Bed / 1 Bath / Condo,Midtown East,Manhattan
"400 Central Park West, Apt. 8Y",3200,1 Bed / 1 Bath / 650 Sq. Ft. / Condo,Upper West Side,Manhattan
"242 East 10th Street, Apt. 6",3500,2 Beds / 1 Bath / Rental,East Village,Manhattan
"77 Sullivan Street, Apt. 4",5500,"8 Units / 5 Floors / 1,100 Sq. Ft. / Multi-Family Townhouse",Soho/Nolita,Manhattan
"157 West 57th Street, Apt. 39C",23000,"2 Beds / 2 Baths / 1,985 Sq. Ft. / Condo",Central Park South,Manhattan
"52 East End Avenue, Apt. 16BC",12000,"3 Beds / 2 Baths / 1,900 Sq. Ft. / Condo",Upper East Side,Manhattan
"855 Ninth Avenue, Apt. 2A",2500,1 Bed / 1 Bath / Co-op,Midtown West,Manhattan
"530 West 148th Street, Apt. 2",2895,3 Units / 4 Floors / Multi-Family Townhouse,Hamilton Heights,Manhattan
"200 Cabrini Boulevard, Apt. 9",2900,2 Beds / 1 Bath / Co-op,Washington Heights,Manhattan
"142 East 49th Street, Apt. 3D",2650,Studio / 1 Bath / Condo/Co-op,Midtown East,Manhattan
"350 West 50th Street, Apt. 16I",3200,1 Bed / 1 Bath / 601 Sq. Ft. / Condo,Clinton,Manhattan
"219 West 81st Street, Apt. 3J",3450,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
"165 Hudson Street, Apt. 5C",6000,"2 Beds / 1 Bath / 1,650 Sq. Ft. / Co-op",Tribeca,Manhattan
"240 East 10th Street, Apt. 5c",7900,"2 Beds / 2 Baths / 1,176 Sq. Ft. / Condo",East Village,Manhattan
"341 West 122nd Street, Apt. 1",2350,2 Units / 4 Floors / Multi-Family Townhouse,Morningside Heights,Manhattan
"161 West 61st Street, Apt. 14G",6250,2 Beds / 2 Baths / Condo,Upper West Side,Manhattan
"45 East 25th Street, Apt. 16B",4700,1 Bed / 1 Bath / 750 Sq. Ft. / Condo,Flatiron,Manhattan
"80 Riverside Boulevard, Apt. 24A",12000,3 Beds / 3 Baths / Condo,Upper West Side,Manhattan
"7 Lexington Avenue, Apt. 7F",3450,Studio / 1 Bath / Condo/Co-op,Gramercy,Manhattan
"150 Nassau Street, Apt. 20A",9500,"2 Beds / 2 Baths / 1,723 Sq. Ft. / Condo",Financial District,Manhattan
"56 Leonard Street, Apt. 47 WEST",38500,"4 Beds / 4 Baths / 3,576 Sq. Ft. / Condo",Tribeca,Manhattan
"270 Broadway, Apt. 19A",14500,"3 Beds / 2 Baths / 2,780 Sq. Ft. / Condo",Tribeca,Manhattan
