,Address,Price,Boro,Bed,Bath,Rental,Agency,Neighborhood
115,"211 East 13th Street, Apt. 5K",8500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,East Village
116,"370 West 116th Street, Apt. 2B",2550,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Harlem
117,"329 West 51st Street, Apt. 1",1900,Manhattan,Studio, 1 Bath , Rental,Corcoran,Clinton
118,"280 Park Avenue South, Apt. 12G",4585,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Flatiron
119,"210 East 21st Street, Apt. 6D",2250,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Gramercy
120,"259 West 85th Street, Apt. 4",4000,Manhattan,1 Bed, 1 Bath , 856 Sq. Ft. / Condo,Corcoran,Upper West Side
121,"159 West 82nd Street, Apt. 2",4995,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Upper West Side
122,"310 East 46th Street, Apt. 12G",3850,Manhattan,1 Bed, 1 Bath , Condo/Co-op,Corcoran,Midtown East
123,"7 East 14th Street, Apt. 1024",2900,Manhattan,Studio, 1 Bath , 450 Sq. Ft. / Co-op,Corcoran,Flatiron
124,"200 East 94th Street, Apt. 505",3150,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper East Side
126,"235 East 40th Street, Apt. 30G",3850,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Murray Hill
127,"216 East 47th Street, Apt. 3B",3700,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Midtown East
128,"400 Central Park West, Apt. 8Y",3200,Manhattan,1 Bed, 1 Bath , 650 Sq. Ft. / Condo,Corcoran,Upper West Side
129,"242 East 10th Street, Apt. 6",3500,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,East Village
131,"157 West 57th Street, Apt. 39C",23000,Manhattan,2 Beds, 2 Baths ," 1,985 Sq. Ft. / Condo",Corcoran,Central Park South
132,"52 East End Avenue, Apt. 16BC",12000,Manhattan,3 Beds, 2 Baths ," 1,900 Sq. Ft. / Condo",Corcoran,Upper East Side
133,"855 Ninth Avenue, Apt. 2A",2500,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Midtown West
135,"200 Cabrini Boulevard, Apt. 9",2900,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,Washington Heights
136,"142 East 49th Street, Apt. 3D",2650,Manhattan,Studio, 1 Bath , Condo/Co-op,Corcoran,Midtown East
137,"350 West 50th Street, Apt. 16I",3200,Manhattan,1 Bed, 1 Bath , 601 Sq. Ft. / Condo,Corcoran,Clinton
138,"219 West 81st Street, Apt. 3J",3450,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper West Side
139,"165 Hudson Street, Apt. 5C",6000,Manhattan,2 Beds, 1 Bath ," 1,650 Sq. Ft. / Co-op",Corcoran,Tribeca
140,"240 East 10th Street, Apt. 5c",7900,Manhattan,2 Beds, 2 Baths ," 1,176 Sq. Ft. / Condo",Corcoran,East Village
142,"161 West 61st Street, Apt. 14G",6250,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Upper West Side
143,"45 East 25th Street, Apt. 16B",4700,Manhattan,1 Bed, 1 Bath , 750 Sq. Ft. / Condo,Corcoran,Flatiron
144,"80 Riverside Boulevard, Apt. 24A",12000,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Upper West Side
145,"7 Lexington Avenue, Apt. 7F",3450,Manhattan,Studio, 1 Bath , Condo/Co-op,Corcoran,Gramercy
146,"150 Nassau Street, Apt. 20A",9500,Manhattan,2 Beds, 2 Baths ," 1,723 Sq. Ft. / Condo",Corcoran,Financial District
147,"56 Leonard Street, Apt. 47 WEST",38500,Manhattan,4 Beds, 4 Baths ," 3,576 Sq. Ft. / Condo",Corcoran,Tribeca
148,"270 Broadway, Apt. 19A",14500,Manhattan,3 Beds, 2 Baths ," 2,780 Sq. Ft. / Condo",Corcoran,Tribeca
149,"20 Pine Street, Apt. 1104",6150,Manhattan,2 Beds, 2 Baths ," 1,280 Sq. Ft. / Condo",Corcoran,Financial District
150,"516 West 47th Street, Apt. N4K",2800,Manhattan,Studio, 1 Bath , 471 Sq. Ft. / Condo,Corcoran,Clinton
151,"222 Park Avenue South, Apt. 11E",29950,Manhattan,5 Beds, 4 Baths ," 3,500 Sq. Ft. / Co-op",Corcoran,Gramercy
153,"77 East 12th Street, Apt. 17B",3400,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Greenwich Village
154,"404 East 66th Street, Apt. 4B",2600,Manhattan,Studio, 1 Bath , 560 Sq. Ft. / Condo,Corcoran,Upper East Side
155,"401 East 60th Street, Apt. 23B",7295,Manhattan,2 Beds, 2 Baths ," 1,300 Sq. Ft. / Condo",Corcoran,Upper East Side
156,"258 Riverside Drive, Apt. 3B",7750,Manhattan,3 Beds, 2 Baths , Co-op,Corcoran,Upper West Side
157,"15 Rivington Street, Apt. PH",22000,Manhattan,2 Beds, 3 Baths ," 2,100 Sq. Ft. / Condo",Corcoran,Lower East Side
158,"52 East End Avenue, Apt. 22B",4000,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper East Side
159,"588 West End Avenue, Apt. 10B",6500,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,Upper West Side
160,"240 Riverside Boulevard, Apt. 19B",12995,Manhattan,3 Beds, 3 Baths ," 2,147 Sq. Ft. / Condo",Corcoran,Upper West Side
161,"11 East 36th Street, Apt. 602",4250,Manhattan,1 Bed, 1 Bath , 819 Sq. Ft. / Condo,Corcoran,Murray Hill
163,"285 West 110th Street, Apt. 2A",7995,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Upper West Side
164,"416 East 83rd Street, Apt. D5",1850,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Upper East Side
166,"301 East 95th Street, Apt. 4B",2225,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
167,"251 East 13th Street, Apt. 2",4000,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,East Village
168,"422 West 20th Street, Apt. PARLOR A",11000,Manhattan,3 Beds, 2 Baths , Condo,Corcoran,Chelsea
168,"422 West 20th Street, Apt. PARLOR A",11000,Manhattan,3 Beds, 2 Baths , Condo,Corcoran,Hudson Yards
169,"17 Convent Avenue, Apt. 5D",3350,Manhattan,1 Bed, 1 Bath , 743 Sq. Ft. / Condo,Corcoran,Harlem
170,"157 West 57th Street, Apt. 56C",59000,Manhattan,4 Beds, 4 Baths ," 3,466 Sq. Ft. / Condo",Corcoran,Central Park South
171,"25 Charles Street, Apt. 5A",6200,Manhattan,2 Beds, 1 Bath , 810 Sq. Ft. / Co-op,Corcoran,West Village
172,"17 West 67th Street, Apt. 3B",4000,Manhattan,1 Bed, 1 Bath , 750 Sq. Ft. / Co-op,Corcoran,Upper West Side
173,"350 West 50th Street, Apt. 3II",2900,Manhattan,Studio, 1 Bath , 522 Sq. Ft. / Condo,Corcoran,Clinton
174,"116 Central Park South, Apt. 3A",4799,Manhattan,1 Bed, 1 Bath , 915 Sq. Ft. / Condo,Corcoran,Central Park South
177,"105 West 77th Street, Apt. 3B",2500,Manhattan,Studio, 1 Bath , Condo,Corcoran,Upper West Side
178,"380 Lenox Avenue, Apt. PHG",9000,Manhattan,3 Beds, 2 Baths ," 2,116 Sq. Ft. / Condo",Corcoran,Harlem
180,"50 Riverside Boulevard, Apt. 9N",8000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Upper West Side
181,"150 West 51st Street, Apt. 1609",3900,Manhattan,2 Beds, 1 Bath , Condo,Corcoran,Midtown West
182,"343 East 76th Street, Apt. 5D",2495,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
183,"105 West 77th Street, Apt. 3F",2800,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper West Side
184,"540 West 149th Street, Apt. 4",4500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Hamilton Heights
185,"243 West 60th Street, Apt. 2C",4350,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper West Side
186,"130 West 30th Street, Apt. 9A",7900,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Chelsea
186,"130 West 30th Street, Apt. 9A",7900,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Hudson Yards
187,"22 Renwick Street, Apt. 8A",7200,Manhattan,2 Beds, 2 Baths ," 1,101 Sq. Ft. / Condo",Corcoran,Soho
187,"22 Renwick Street, Apt. 8A",7200,Manhattan,2 Beds, 2 Baths ," 1,101 Sq. Ft. / Condo",Corcoran,Nolita
188,"455 Central Park West, Apt. 23B",6995,Manhattan,2 Beds, 2 Baths ," 1,333 Sq. Ft. / Condo",Corcoran,Upper West Side
189,"447 West 18th Street, Apt. 3C",8200,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Chelsea
189,"447 West 18th Street, Apt. 3C",8200,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Hudson Yards
190,"141 Fifth Avenue, Apt. 4AB",23000,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Flatiron
191,"540 West 28th Street, Apt. 7F",4500,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Chelsea
191,"540 West 28th Street, Apt. 7F",4500,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Hudson Yards
192,"204 East 7th Street, Apt. 4",2300,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,East Village
193,"106 Waverly Place, Apt. 3",10000,Manhattan,3 Beds, 2 Baths ," 1,520 Sq. Ft. / Condo",Corcoran,Greenwich Village
194,"1 Irving Place, Apt. G9A",6000,Manhattan,1 Bed, 1 Bath , 741 Sq. Ft. / Condo,Corcoran,Gramercy
195,"50 West 34th Street, Apt. 16B",2950,Manhattan,Studio, 1 Bath , Rental,Corcoran,Midtown West
196,"20 Pine Street, Apt. 502",4800,Manhattan,1 Bed, 1 Bath ," 1,100 Sq. Ft. / Condo",Corcoran,Financial District
197,"92 Perry Street, Apt. 16",4500,Manhattan,1 Bed, 1 Bath , 546 Sq. Ft. / Condo,Corcoran,West Village
198,"130 West 79th Street, Apt. 9C",3595,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper West Side
199,"135 East 54th Street, Apt. 7L",3200,Manhattan,1 Bed, 1 Bath , 725 Sq. Ft. / Condo,Corcoran,Midtown East
200,"200 RSB, Apt. 19G",5950,Manhattan,2 Beds, 2 Baths ," 1,200 Sq. Ft. / Condo",Corcoran,Upper West Side
202,"2098 Frederick Douglass Blvd, Apt...",4000,Manhattan,2 Beds, 2 Baths , 950 Sq. Ft. / Condo,Corcoran,Harlem
203,"88 Greenwich Street, Apt. 1602",2995,Manhattan,Studio, 1 Bath , Condo,Corcoran,Financial District
204,"450 East 83rd Street, Apt. 21A",8500,Manhattan,2 Beds, 2 Baths ," 1,613 Sq. Ft. / Condo",Corcoran,Upper East Side
205,"40 Mercer Street, Apt. 27",14500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Soho
205,"40 Mercer Street, Apt. 27",14500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Nolita
206,"315 Seventh Avenue, Apt. 5B",3700,Manhattan,1 Bed, 1 Bath , 750 Sq. Ft. / Condo,Corcoran,Chelsea
206,"315 Seventh Avenue, Apt. 5B",3700,Manhattan,1 Bed, 1 Bath , 750 Sq. Ft. / Condo,Corcoran,Hudson Yards
207,"1 Central Park South, Apt. 1907",14000,Manhattan,2 Beds, 2 Baths ," 1,378 Sq. Ft. / Condo",Corcoran,Central Park South
208,"143 Reade Street, Apt. 9A",24500,Manhattan,4 Beds, 3 Baths ," 2,760 Sq. Ft. / Condo",Corcoran,Tribeca
209,"41 West 72nd Street, Apt. 10B",3500,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper West Side
210,"200 East 66th Street, Apt. A1905",6750,Manhattan,1 Bed, 1 Bath , 919 Sq. Ft. / Condo,Corcoran,Upper East Side
211,"242 East 3rd Street, Apt. 13",3100,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,East Village
212,"101 Warren Street, Apt. 2930",12000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Tribeca
213,"22 East 66th Street, Apt. 3",4950,Manhattan,1 Bed, 1 Bath , Mixed Use Townhouse,Corcoran,Upper East Side
214,"21 East 12th Street, Apt. 8D",8495,Manhattan,1 Bed, 1 Bath ," 1,006 Sq. Ft. / Condo",Corcoran,Greenwich Village
