"28-30 Jackson Avenue, Apt. 10-H",3340,1 Bed / 1 Bath / Rental,Long Island City,Queens
"58-19 60th Place, Apt. 2",2100,1 Bed / 2 Baths / House,Woodside,Queens
"42-51 Hunter Street, Apt. 2D",4500,"2 Beds / 2 Baths / 1,210 Sq. Ft. / Condo",Long Island City,Queens
"4610 Center Boulevard, Apt. 2404",2600,Studio / 1 Bath / Rental,Long Island City,Queens
"40-28 College Pt Boulevard, Apt. 915",2700,"1 Bed / 1 Bath / 1,136 Sq. Ft. / Condo/Co-op",Flushing,Queens
"21-57 33rd Street, Apt. 5-H",2195,2 Beds / 1 Bath / Co-op,Astoria,Queens
"43-25 Hunter Street, Apt. PH-34E",2923,1 Bed / 1 Bath / Rental,Long Island City,Queens
"28-10 Jackson Avenue, Apt. 14-T",3470,1 Bed / 1 Bath / Rental,Long Island City,Queens
Dalny Road,1695,Studio / 1 Bath / Rental,Jamaica,Queens
"38-53 12th Street, Apt. 2",2750,2 Beds / 2 Baths / 875 Sq. Ft. / Rental,Long Island City,Queens
"41-18 Crescent Street, Apt. 10-J",3575,2 Beds / 1 Bath / Rental,Long Island City,Queens
"44-28 Purves Street, Apt. 5-J",2755,Studio / 1 Bath / Rental,Long Island City,Queens
"40-26 College Pt Boulevard, Apt. 10A",2300,"1 Bed / 1 Bath / 1,029 Sq. Ft. / Condo/Co-op",Flushing,Queens
"41-18 Crescent Street, Apt. 9-J",3575,2 Beds / 1 Bath / Rental,Long Island City,Queens
"47-37 45th Street, Apt. 5K",1790,1 Bed / 1 Bath / 670 Sq. Ft. / Co-op,Woodside,Queens
47TH Road,4200,"2 Beds / 1 Bath / 1,200 Sq. Ft. / Condo/Co-op",Long Island City,Queens
"29-06 21st Avenue, Apt. 4H",1900,1 Bed / 1 Bath / 650 Sq. Ft. / Rental,Astoria,Queens
73rd Street,2295,1 Bed / 1 Bath / Co-op,Jackson Heights,Queens
31st Avenue,4200,"3 Beds / 2 Baths / 2,000 Sq. Ft. / Rental",Astoria,Queens
"1715 Bleecker Street, Apt. 1-R",2100,2 Beds / 1 Bath / Rental,Ridgewood,Queens
"31-57 31st Street, Apt. PHJ",4499,2 Beds / 2 Baths / Rental,Astoria,Queens
"46-30 Center Boulevard, Apt. PH3",6250,"2 Beds / 3 Baths / 1,499 Sq. Ft. / Condo",Long Island City,Queens
47TH Road,4200,"2 Beds / 1 Bath / 1,200 Sq. Ft. / Condo/Co-op",Long Island City,Queens
33rd Street,2600,1 Bed / 1 Bath / 510 Sq. Ft. / Condo,Astoria,Queens
"46-09 11th Street, Apt. 6D",4140,2 Beds / 2 Baths / Rental,Long Island City,Queens
"31-14 35th Street, Apt. 4A",1900,1 Bed / 1 Bath / Rental,Astoria,Queens
"29-08 31st Avenue, Apt. E-14",3100,3 Beds / 1 Bath / Rental,Astoria,Queens
"112-01 Queens Boulevard, Apt. 9G",3900,"2 Beds / 2 Baths / 1,175 Sq. Ft. / Condo",Forest Hills,Queens
"37-14 36th Street, Apt. 11D",4085,2 Beds / 2 Baths / Rental,Astoria,Queens
"11-15 Broadway, Apt. 5-K",2410,1 Bed / 1 Bath / Rental,Astoria,Queens
"41-58 74th Street, Apt. 1",1700,1 Bed / 1 Bath / 550 Sq. Ft. / Rental,Jackson Heights,Queens
"31-57 31st Street, Apt. 6211",2425,Studio / 1 Bath / Rental,Astoria,Queens
"30-44 32nd Street, Apt. B-4",3369,3 Beds / 1 Bath / Rental,Astoria,Queens
"30-44 32nd Street, Apt. B-1",2686,3 Beds / 1 Bath / Rental,Astoria,Queens
"31-57 31st Street, Apt. 4022",2399,Studio / 1 Bath / Rental,Astoria,Queens
"14-43 28th Avenue, Apt. 5B",1750,Studio / 1 Bath / 400 Sq. Ft. / Condo,Astoria,Queens
"25-16 Crescent Street, Apt. 1",3800,"3 Beds / 2 Baths / 1,000 Sq. Ft. / House",Astoria,Queens
"31-57 31st Street, Apt. PH-B",4075,2 Beds / 2 Baths / Rental,Astoria,Queens
"21-12 33rd Avenue, Apt. 2",3300,3 Beds / 2 Baths / Rental,Astoria,Queens
11-07 Welling Court,3300,1 Bed / 1 Bath / Rental,Astoria,Queens
35th Street,2400,2 Beds / 1 Bath / Condo/Co-op,Astoria,Queens
11-07 Welling Court,2933,1 Bed / 1 Bath / Rental,Astoria,Queens
35th Street,2400,2 Beds / 1 Bath / Condo/Co-op,Astoria,Queens
Broadway,4000,"3 Beds / 1 Bath / 1,500 Sq. Ft. / Mixed Use Townhouse",Astoria,Queens
"28-30 Jackson Avenue, Apt. 8-F",2929,Studio / 1 Bath / Rental,Long Island City,Queens
"2-40 51st Avenue, Apt. 4B",3600,"1 Bed / 1 Bath / 1,200 Sq. Ft. / Condo",Long Island City,Queens
"40-07 73rd Street, Apt. 4",2566,2 Beds / 2 Baths / 825 Sq. Ft. / Rental,Jackson Heights,Queens
"5-11 47th Avenue, Apt. PH-D",3259,Studio / 1 Bath / Rental,Long Island City,Queens
"34-09 83rd Street, Apt. D42",2000,40 Units / 4 Floors / 735 Sq. Ft. / Multi-Family Townhouse,Jackson Heights,Queens
"43-23 40th Street, Apt. 4F",2000,1 Bed / 1 Bath / Rental,Sunnyside,Queens
"43-08 40th Street, Apt. 1H",1850,Studio / 1 Bath / 400 Sq. Ft. / Rental,Sunnyside,Queens
"31-72 31st Street, Apt. 4A",2150,1 Bed / 1 Bath / Rental,Astoria,Queens
"73-12 35th Avenue, Apt. C-56",2595,1 Bed / 1 Bath / 800 Sq. Ft. / Co-op,Jackson Heights,Queens
"35-16 34th Street, Apt. 6A",1855,Studio / 1 Bath / Rental,Astoria,Queens
27th Avenue,2360,1 Bed / 1 Bath / 762 Sq. Ft. / Rental,Astoria,Queens
31st Avenue,1450,1 Bed / 1 Bath / Rental,Jackson Heights,Queens
33rd Street,3995,1 Bed / 1 Bath / 885 Sq. Ft. / Condo,Astoria,Queens
"40-07 73rd Street, Apt. 6D",4400,2 Beds / 2 Baths / 812 Sq. Ft. / Rental,Jackson Heights,Queens
44th Street,2750,2 Beds / 1 Bath / Rental,Astoria,Queens
"21-17 22ND Road, Apt. 2",2550,3 Beds / 1 Bath / Rental,Astoria,Queens
"33-53 82nd Street, Apt. E210",3000,3 Beds / 1 Bath / 980 Sq. Ft. / Rental,Jackson Heights,Queens
"1625 Putnam Avenue, Apt. 5-H",2750,3 Beds / 1 Bath / Rental,Ridgewood,Queens
33-58 14th Street,2950,3 Beds / 1 Bath / House,Astoria,Queens
"42-22 Ketcham Street, Apt. F8",2800,3 Beds / 2 Baths / Co-op,Elmhurst,Queens
"41-26 27th Street, Apt. 2F",2500,1 Bed / 1 Bath / 732 Sq. Ft. / Condo,Long Island City,Queens
"1738 Harman Street, Apt. 1R",2700,1 Bed / 1 Bath / Rental,Ridgewood,Queens
"41-22 24th Street, Apt. 9C",3812,2 Beds / 2 Baths / Rental,Long Island City,Queens
"474 48th Avenue, Apt. 34G",2900,1 Bed / 1 Bath / Condo,Long Island City,Queens
48th Avenue,4800,"2 Beds / 2 Baths / 1,150 Sq. Ft. / Condo",Long Island City,Queens
84th Street,1700,2 Beds / 1 Bath / 650 Sq. Ft. / Rental,East Elmhurst,Queens
"47-55 39th Place, Apt. 4B",2100,1 Bed / 1 Bath / 875 Sq. Ft. / Condo,Sunnyside,Queens
"41-18 Crescent Street, Apt. 9-B",3300,1 Bed / 1 Bath / Rental,Long Island City,Queens
Crescent Street,4200,"2 Beds / 2 Baths / 1,088 Sq. Ft. / Condo",Long Island City,Queens
"37-14 36th Street, Apt. 11E",4329,2 Beds / 2 Baths / Rental,Astoria,Queens
"20-42 STEINWAY Street, Apt. 1A",3200,"3 Beds / 1 Bath / 1,200 Sq. Ft. / Rental",Astoria,Queens
"64-09 102nd Street, Apt. THREE",2200,"2 Beds / 1 Bath / 1,100 Sq. Ft. / Rental",Forest Hills,Queens
"36-08 30th Avenue, Apt. 2R",1900,1 Bed / 1 Bath / 601 Sq. Ft. / Rental,Astoria,Queens
"25-10 38th Avenue, Apt. 4A",2290,Studio / 1 Bath / Rental,Long Island City,Queens
"48-16 46th Street, Apt. C-3",1750,1 Bed / 1 Bath / Rental,Woodside,Queens
"143-40 41st Avenue, Apt. 2",1790,1 Bed / 1 Bath / Rental,Flushing,Queens
"1736 HARMAN Street, Apt. 4",2700,2 Beds / 1 Bath / Rental,Ridgewood,Queens
"41-26 73rd Street, Apt. D43",2000,59 Units / 4 Floors / Multi-Family Townhouse,Woodside,Queens
Crescent Street,2300,"4 Units / 3 Floors / 1,000 Sq. Ft. / Multi-Family Townhouse",Astoria,Queens
