"1102 East 31st Street, Apt. B3",1595,1 Bed / 1 Bath / Rental,Midwood,Brooklyn
"2738 East 19th Street, Apt. C2",1500,1 Bed / 1 Bath / Co-op,Sheepshead Bay,Brooklyn
"1328 Fulton Street, Apt. P202",4675,"2 Beds / 2 Baths / 1,275 Sq. Ft. / Rental",Bedford-Stuyvesant,Brooklyn
"377A Atlantic Avenue, Apt. 3",3700,1 Bed / 1 Bath / Rental,Boerum Hill,Brooklyn
1233 Fulton Street,6500,4 Units / 4 Floors / Townhouse,Bedford-Stuyvesant,Brooklyn
"211 8th Avenue, Apt. B2",2995,18 Units / 4 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
"51 Jay Street, Apt. PHD",13500,"3 Beds / 4 Baths / 2,058 Sq. Ft. / Condo",DUMBO/Vinegar Hill,Brooklyn
"1328 Fulton Street, Apt. P102",2640,Studio / 1 Bath / 640 Sq. Ft. / Rental,Bedford-Stuyvesant,Brooklyn
"452 Gates Avenue, Apt. COMM",3500,"Studio / 1,560 Sq. Ft. / Mixed Use Townhouse",Bedford-Stuyvesant,Brooklyn
"175 Bergen Street, Apt. Triplex",8000,"2 Units / 3 Floors / 1,600 Sq. Ft. / Multi-Family Townhouse",Boerum Hill,Brooklyn
"184 Eagle Street, Apt. medical space",5000,"Studio / 1,200 Sq. Ft. / Rental",Greenpoint,Brooklyn
"125 Court Street, Apt. 3NP",3060,Studio / 1 Bath / 473 Sq. Ft. / Rental,Brooklyn Heights,Brooklyn
"204 26th Street, Apt. 1",1725,1 Bed / 1 Bath / Rental,Greenwood,Brooklyn
9312 Foster Avenue,2250,2 Beds / 1 Bath / House,empty neighborhood,Brooklyn
"243 91st street, Apt. 1",2750,House,Bay Ridge,Brooklyn
"1372 East 85th Street, Apt. 1",2100,2 Units / 2 Floors / House,empty neighborhood,Brooklyn
"1162A Putnam Avenue, Apt. 3",2300,3 Units / 3 Floors / Multi-Family Townhouse,Bushwick,Brooklyn
"848 Carroll Street, Apt. HOUSE",13950,"3 Units / 4 Floors / 3,555 Sq. Ft. / Multi-Family Townhouse",Park Slope,Brooklyn
"46 Fort Greene Place, Apt. 1",8750,2 Units / 3 Floors / Multi-Family Townhouse,Fort Greene,Brooklyn
"360 Furman Street, Apt. 1126",24000,"5 Beds / 4 Baths / 5,000 Sq. Ft. / Condo",Brooklyn Heights,Brooklyn
"3 Pierrepont Place, Apt. TOP FLOOR",12500,8 Units / 4 Floors / Multi-Family Townhouse,Brooklyn Heights,Brooklyn
