Address,Neighborhood,Price,Beds,Baths,Boro
"212 West 91st Street, Unit 818",Upper West Side,2750,Studio,1 BA,Manhattan
"63 Wall Street, Unit 905",Financial District,5094,2 BD,1 BA,Manhattan
"212 West 91st Street, Unit 538",Upper West Side,2650,Studio,1 BA,Manhattan
"56 West 65th Street, Unit 3E",Upper West Side,3795,2 BD,1 BA,Manhattan
"224 West 13th Street, Unit 5R",West Village,3100,1 BD,1 BA,Manhattan
"233 East 12th Street, Unit 5B",East Village,2595,1 BD,1 BA,Manhattan
"624 East 9th Street, Unit 1",East Village,4085,1 BD,1.5 BA,Manhattan
"40 West 135th Street, Unit 17EF",Harlem,5599,3 BD,2.5 BA,Manhattan
"600 Washington Street, Unit 701",West Village,3527,Studio,1 BA,Manhattan
"48 Grove Street, Unit 3",West Village,6000,1 BD,1 BA,Manhattan
"777 6th Avenue, Unit 15D",Chelsea,4636,1 BD,1 BA,Manhattan
"500 West 56th Street, Unit 1201",Hell's Kitchen,4390,1 BD,1 BA,Manhattan
"500 West 56th Street, Unit 1416",Hell's Kitchen,4810,1 BD,1 BA,Manhattan
"500 West 56th Street, Unit 1802",Hell's Kitchen,5485,1 BD,2 BA,Manhattan
"500 West 56th Street, Unit 1808",Hell's Kitchen,4575,1 BD,1 BA,Manhattan
"601 West 137th Street, Unit 22",Hamilton Heights,3500,2 BD,2 BA,Manhattan
"347 East 105th Street, Unit 2E",East Harlem,2650,2 BD,1 BA,Manhattan
"347 East 105th Street, Unit 5N",East Harlem,3395,2 BD,1 BA,Manhattan
"68 East 79th Street, Unit 3R",Upper East Side,8500,2 BD,1 BA,Manhattan
"561 10th Avenue, Unit 6N",Hudson Yards,3163,Studio,1 BA,Manhattan
"30 West Street, Unit 11B",Battery Park City,7500,2 BD,2.5 BA,Manhattan
"555 3rd Avenue, Unit 3",Murray Hill,8200,4 BD,2 BA,Manhattan
"86 East 4th Street, Unit 10",East Village,3795,2 BD,1 BA,Manhattan
"555 10th Avenue, Unit 22I",Hudson Yards,4638,1 BD,1 BA,Manhattan
"555 10th Avenue, Unit 22I",Hudson Yards,5025,1 BD,1 BA,Manhattan
"444 West 49th Street, Unit 1B",Hell's Kitchen,1949,Studio,1 BA,Manhattan
"1309 5th Avenue, Unit 9G",East Harlem,3495,2 BD,1 BA,Manhattan
"1309 5th Avenue, Unit 9G",East Harlem,3350,2 BD,1 BA,Manhattan
"330 East 49th Street, Unit 10A",Midtown East,2700,Studio,1 BA,Manhattan
"77 West 24th Street, Unit 6K",NoMad,6100,1 BD,1 BA,Manhattan
"77 West 24th Street, Unit 5M",NoMad,3550,Studio,1 BA,Manhattan
"68 Thompson Street, Unit PHD",SoHo,6350,1 BD,1 BA,Manhattan
"111 West 113th Street, Unit 4BN",Harlem,2475,1 BD,1 BA,Manhattan
"547 West 152nd Street, Unit 2R",Hamilton Heights,1325,Studio,1 BA,Manhattan
"1132 1st Avenue, Unit 3C",Upper East Side,1950,Studio,1 BA,Manhattan
"167 Mott Street, Unit 4A",Little Italy,3000,Studio,1 BA,Manhattan
"30 West 63rd Street, Unit 19U",Upper West Side,5025,1 BD,1 BA,Manhattan
"308 East 38th Street, Unit 20D",Murray Hill,6000,2 BD,2 BA,Manhattan
"245 East 44th Street, Unit 10A",Midtown East,5595,2 BD,2 BA,Manhattan
"245 East 44th Street, Unit 10A",Midtown East,5595,2 BD,2 BA,Manhattan
"271 West 47th Street, Unit 32L",Theater District,3864,1 BD,1 BA,Manhattan
"271 West 47th Street, Unit 11G",Theater District,3254,Studio,1 BA,Manhattan
"341 East 85th Street, Unit 8",Upper East Side,2100,Studio,1 BA,Manhattan
"200 East 72nd Street, Unit 17K",Upper East Side,6850,3 BD,2.5 BA,Manhattan
"300 East 39th Street, Unit 18A",Murray Hill,4358,1 BD,1 BA,Manhattan
"240 East 27th Street, Unit 12E",Kips Bay,3773,1 BD,1 BA,Manhattan
"43 West 85th Street, Unit B",Upper West Side,3400,1 BD,1 BA,Manhattan
"108 East 38th Street, Unit 802",Murray Hill,2600,Studio,1 BA,Manhattan
"108 East 38th Street, Unit 206",Murray Hill,2600,Studio,1 BA,Manhattan
"108 East 38th Street, Unit 411",Murray Hill,3550,1 BD,1 BA,Manhattan
"150 East 39th Street, Unit PHB",Murray Hill,3250,1 BD,1 BA,Manhattan
"500 Fort Washington Avenue, Unit A42",Washington Heights,3300,3 BD,1 BA,Manhattan
"329 Lenox Avenue, Unit 3B",Harlem,1850,Studio,1 BA,Manhattan
"95 Wall Street, Unit 925",Financial District,3500,Studio,1 BA,Manhattan
"2647 8th Avenue, Unit 5C",Harlem,2000,1 BD,1 BA,Manhattan
"2647 8th Avenue, Unit 5C",Harlem,2000,1 BD,1 BA,Manhattan
"7 West 21st Street, Unit 1701",Flatiron,11168,2 BD,2 BA,Manhattan
"235 West 48th Street, Unit 17N",Theater District,3621,1 BD,1 BA,Manhattan
"235 West 48th Street, Unit 11A",Theater District,2865,Studio,1 BA,Manhattan
"1370 St Nicholas Avenue, Unit 24M",Washington Heights,2016,1 BD,1 BA,Manhattan
"124 West 23rd Street, Unit 5C",Chelsea,3850,Studio,1 BA,Manhattan
"245 East 63rd Street, Unit 21A",Upper East Side,6450,2 BD,2 BA,Manhattan
"88 Greenwich Street, Unit 428",Financial District,2650,Studio,1 BA,Manhattan
"1065 2nd Avenue, Unit 1031",Midtown East,5497,1 BD,1 BA,Manhattan
"205 East 22nd Street, Unit 6J",Gramercy,4100,2 BD,1 BA,Manhattan
"311 East 38th Street, Unit 5A",Murray Hill,2600,Studio,1 BA,Manhattan
"202 Mott Street, Unit 22",NoLita,2695,2 BD,1 BA,Manhattan
"424 West 46th Street, Unit 5C",Hell's Kitchen,2700,Studio,1 BA,Manhattan
"301 Elizabeth Street, Unit 613",NoHo,3350,Studio,1 BA,Manhattan
"227 West 77th Street, Unit 20D",Upper West Side,13284,2 BD,2 BA,Manhattan
"215 East 117th Street, Unit 12",East Harlem,2195,2 BD,1 BA,Manhattan
"84 Madison Street, Unit 17",Lower East Side,2195,1 BD,1 BA,Manhattan
"108 East 38th Street, Unit 206",Murray Hill,2600,Studio,1 BA,Manhattan
"108 East 38th Street, Unit 411",Murray Hill,3550,1 BD,1 BA,Manhattan
"150 East 39th Street, Unit PHB",Murray Hill,3250,1 BD,1 BA,Manhattan
"500 Fort Washington Avenue, Unit A42",Washington Heights,3300,3 BD,1 BA,Manhattan
"329 Lenox Avenue, Unit 3B",Harlem,1850,Studio,1 BA,Manhattan
"95 Wall Street, Unit 925",Financial District,3500,Studio,1 BA,Manhattan
"2647 8th Avenue, Unit 5C",Harlem,2000,1 BD,1 BA,Manhattan
"2647 8th Avenue, Unit 5C",Harlem,2000,1 BD,1 BA,Manhattan
"7 West 21st Street, Unit 1701",Flatiron,11168,2 BD,2 BA,Manhattan
"235 West 48th Street, Unit 17N",Theater District,3621,1 BD,1 BA,Manhattan
"235 West 48th Street, Unit 11A",Theater District,2865,Studio,1 BA,Manhattan
"1370 St Nicholas Avenue, Unit 24M",Washington Heights,2016,1 BD,1 BA,Manhattan
"124 West 23rd Street, Unit 5C",Chelsea,3850,Studio,1 BA,Manhattan
"245 East 63rd Street, Unit 21A",Upper East Side,6450,2 BD,2 BA,Manhattan
"88 Greenwich Street, Unit 428",Financial District,2650,Studio,1 BA,Manhattan
"1065 2nd Avenue, Unit 1031",Midtown East,5497,1 BD,1 BA,Manhattan
"205 East 22nd Street, Unit 6J",Gramercy,4100,2 BD,1 BA,Manhattan
"311 East 38th Street, Unit 5A",Murray Hill,2600,Studio,1 BA,Manhattan
"202 Mott Street, Unit 22",NoLita,2695,2 BD,1 BA,Manhattan
"424 West 46th Street, Unit 5C",Hell's Kitchen,2700,Studio,1 BA,Manhattan
"301 Elizabeth Street, Unit 613",NoHo,3350,Studio,1 BA,Manhattan
"227 West 77th Street, Unit 20D",Upper West Side,13284,2 BD,2 BA,Manhattan
"215 East 117th Street, Unit 12",East Harlem,2195,2 BD,1 BA,Manhattan
"84 Madison Street, Unit 17",Lower East Side,2195,1 BD,1 BA,Manhattan
"338 East 13th Street, Unit 2C",East Village,4300,1 BD,1 BA,Manhattan
"424 East 52nd Street, Unit 3G",Midtown East,2950,1 BD,1 BA,Manhattan
"249 East 77th Street, Unit 1RW",Upper East Side,3300,2 BD,1.5 BA,Manhattan
"19 Dutch Street, Unit 62G",Financial District,7740,2 BD,1 BA,Manhattan
"235 West 75th Street, Unit 1020",Upper West Side,17000,3 BD,3 BA,Manhattan
"392 Central Park West, Unit 10F",Upper West Side,2695,Studio,1 BA,Manhattan
"211 West 56th Street, Unit 14M",Theater District,3450,1 BD,1 BA,Manhattan
"252 South Street, Unit 50J",Lower East Side,4900,1 BD,1 BA,Manhattan
"1 Central Park South, Unit 1411",Central Park South,11000,1 BD,1.5 BA,Manhattan
"245 East 94th Street, Unit 4E",Upper East Side,1850,Studio,1 BA,Manhattan
"465 West 23rd Street, Unit 8G",Chelsea,3200,Studio,1 BA,Manhattan
"124 East 103rd Street, Unit 15",East Harlem,2795,2 BD,1 BA,Manhattan
"237 Lafayette Street, Unit 9W",NoLita,9500,2 BD,1 BA,Manhattan
"19 Dutch Street, Unit 58E",Financial District,4875,1 BD,1 BA,Manhattan
"202 Mott Street, Unit 3",NoLita,2795,2 BD,1 BA,Manhattan
"70 La Salle Street, Unit 14G",Morningside Heights,3500,2 BD,1 BA,Manhattan
"114 Liberty Street, Unit 8",Financial District,22500,5 BD,4.5 BA,Manhattan
1 Irving Place,Gramercy,8900,3 BD,2 BA,Manhattan
"411 East 118th Street, Unit 12",East Harlem,2350,1 BD,1 BA,Manhattan
"410 West 25th Street, Unit 4A",Chelsea,3995,1 BD,1.5 BA,Manhattan
"149 West 12th Street, Unit 62",West Village,2195,Studio,1 BA,Manhattan
"527 West 149th Street, Unit 2",Hamilton Heights,2500,1 BD,1 BA,Manhattan
"210 East 47th Street, Unit 10J",Midtown East,3950,2 BD,1 BA,Manhattan
"125 West 138th Street, Unit 2A",Harlem,3800,4 BD,2 BA,Manhattan
"101 West 79th Street, Unit 11E",Upper West Side,4850,1 BD,2 BA,Manhattan
"1 Bank Street, Unit 3K",West Village,4225,1 BD,1 BA,Manhattan
"200 East 89th Street, Unit 31C",Upper East Side,3500,1 BD,1 BA,Manhattan
"220 Riverside Boulevard, Unit 7W",Upper West Side,2800,Studio,1 BA,Manhattan
"85-95 Lexington Avenue, Unit 3H",Kips Bay,3700,1 BD,1 BA,Manhattan
"222 East 44th Street, Unit 39E",Midtown East,11350,2 BD,2 BA,Manhattan
230 East 62nd Street,Upper East Side,19750,4 BD,5 BA,Manhattan
"514 West 110th Street, Unit 5B",Upper West Side,3200,2 BD,1.5 BA,Manhattan
"105 East 15th Street, Unit 74",Gramercy,3750,1 BD,1 BA,Manhattan
1 Irving Place,Gramercy,4500,1 BD,1 BA,Manhattan
"230 East 52nd Street, Unit 3C",Midtown East,3499,1 BD,1 BA,Manhattan
"212 East 47th Street, Unit 32H",Midtown East,4000,1 BD,1 BA,Manhattan
"350 West 43rd Street, Unit 30H",Hell's Kitchen,3100,Studio,1 BA,Manhattan
"242 West 53rd Street, Unit 45D",Theater District,7450,2 BD,2 BA,Manhattan
"303 East 77th Street, Unit 6A",Upper East Side,7250,2 BD,2.5 BA,Manhattan
"421 Hudson Street, Unit 501",West Village,7500,1 BD,1.5 BA,Manhattan
"245 West 107th Street, Unit 6C",Upper West Side,7800,3 BD,2 BA,Manhattan
"121 East 31st Street, Unit 7E",Kips Bay,3400,1 BD,1 BA,Manhattan
"17 Greene Street, Unit 3",SoHo,5800,1 BD,1 BA,Manhattan
"229 West 60th Street, Unit 5K",Upper West Side,3695,1 BD,1 BA,Manhattan
"11 East 29th Street, Unit 7A",NoMad,9000,2 BD,2.5 BA,Manhattan
"591 3rd Avenue, Unit 18A",Murray Hill,9500,3 BD,2 BA,Manhattan
123 East 64th Street,Upper East Side,2000,Studio,1 BA,Manhattan
"242 West 53rd Street, Unit 26J",Theater District,5295,1 BD,1 BA,Manhattan
"239 East 58th Street, Unit 2F",Midtown East,3150,2 BD,1 BA,Manhattan
"204 East 7th Street, Unit 1719",East Village,3995,2 BD,1 BA,Manhattan
"7 West 21st Street, Unit 1701",Flatiron,11168,2 BD,2 BA,Manhattan
"270 West 19th Street, Unit 5A",Chelsea,7500,2 BD,2 BA,Manhattan
"222 West 135th Street, Unit 3B",Harlem,3300,2 BD,2 BA,Manhattan
"303 East 10th Street, Unit 1",East Village,2850,1 BD,1 BA,Manhattan
"42 West 72nd Street, Unit 3D",Upper West Side,2375,Studio,1 BA,Manhattan
"242 West 53rd Street, Unit 32D",Theater District,4600,1 BD,1 BA,Manhattan
"600 West 115th Street, Unit 31",Morningside Heights,3950,2 BD,1 BA,Manhattan
"440 West 45th Street, Unit 2R",Hell's Kitchen,4500,3 BD,1 BA,Manhattan
"150 East 85th Street, Unit 9E",Upper East Side,3400,1 BD,1 BA,Manhattan
"230 West 78th Street, Unit 2B",Upper West Side,7999,2 BD,2 BA,Manhattan
"235 East 40th Street, Unit 11B",Murray Hill,4500,1 BD,1.5 BA,Manhattan
"117 East 37th Street, Unit 8D",Murray Hill,3300,2 BD,1 BA,Manhattan
"90 West Street, Unit 10P",Financial District,2800,Studio,1 BA,Manhattan
"46 West 89th Street, Unit 4",Upper West Side,6995,2 BD,1.5 BA,Manhattan
"380 Rector Place, Unit 18E",Battery Park City,3995,1 BD,1 BA,Manhattan
"164 Henry Street, Unit 5B",Lower East Side,1995,1 BD,1 BA,Manhattan
"462 West 58th Street, Unit 7E",Hell's Kitchen,4600,1 BD,2 BA,Manhattan
"344 East 63rd Street, Unit 15C",Upper East Side,3621,1 BD,1 BA,Manhattan
"303 East 10th Street, Unit 2RB",East Village,2150,1 BD,1 BA,Manhattan
"325 5th Avenue, Unit 15A",Midtown South,6295,2 BD,2 BA,Manhattan
"107 St Marks Place, Unit 3G",East Village,4095,2 BD,1 BA,Manhattan
"211 North End Avenue, Unit 9G",Battery Park City,7450,2 BD,2 BA,Manhattan
"75 Horatio Street, Unit 1A",West Village,10000,2 BD,2 BA,Manhattan
"300 East 23rd Street, Unit 11B",Gramercy,4600,1 BD,1 BA,Manhattan
"242 West 53rd Street, Unit 28H",Theater District,4195,1 BD,1 BA,Manhattan
"150 West 51st Street, Unit 1417",Theater District,3700,1 BD,1 BA,Manhattan
"245 East 63rd Street, Unit 815",Upper East Side,3100,Studio,1 BA,Manhattan
"2156 2nd Avenue, Unit 4C",East Harlem,2595,2 BD,1 BA,Manhattan
"245 West 109th Street, Unit 5",Upper West Side,2995,2 BD,1 BA,Manhattan
"63 West 107th Street, Unit 51",Upper West Side,3200,2 BD,1 BA,Manhattan
"318 East 90th Street, Unit 4W",Upper East Side,2995,2 BD,1 BA,Manhattan
"505 West 54th Street, Unit 1212",Hell's Kitchen,3982,1 BD,1 BA,Manhattan
"505 West 54th Street, Unit 918",Hell's Kitchen,3741,1 BD,1 BA,Manhattan
"303 East 83rd Street, Unit 28F",Upper East Side,4424,1 BD,1 BA,Manhattan
"105 West 29th Street, Unit 30C",Chelsea,5098,1 BD,1 BA,Manhattan
"160 Riverside Boulevard, Unit 17E",Upper West Side,4042,1 BD,1 BA,Manhattan
"140 Riverside Boulevard, Unit 1208",Upper West Side,3931,1 BD,1 BA,Manhattan
"777 6th Avenue, Unit 29C",Chelsea,6648,2 BD,2 BA,Manhattan
"25 West 19th Street, Unit 5R",Flatiron,4200,2 BD,1 BA,Manhattan
"203 West 81st Street, Unit 5E",Upper West Side,4550,2 BD,1 BA,Manhattan
"129 West 56th Street, Unit 5R",Theater District,4308,3 BD,1 BA,Manhattan
"1065 2nd Avenue, Unit 1031",Midtown East,5497,1 BD,1 BA,Manhattan
125 Delancey Street,Lower East Side,6495,2 BD,1 BA,Manhattan
626 1st Avenue,Murray Hill,8104,2 BD,2 BA,Manhattan
"237 East 34th Street, Unit 1406",Murray Hill,4495,1 BD,1 BA,Manhattan
"237 East 34th Street, Unit 1406",Murray Hill,4495,1 BD,1 BA,Manhattan
"125 Riverside Drive, Unit 12A",Upper West Side,8000,3 BD,2 BA,Manhattan
"125 Riverside Drive, Unit 12A",Upper West Side,7333,3 BD,2 BA,Manhattan
"0 East 12th Street, Unit 5B",Greenwich Village,2595,1 BD,1 BA,Manhattan
2054 7th Avenue,Harlem,2350,2 BD,1 BA,Manhattan
"305 West 50th Street, Unit 25D",Hell's Kitchen,4183,1 BD,1 BA,Manhattan
"456 Washington Street, Unit 6D",TriBeCa,20225,3 BD,3 BA,Manhattan
"15 Hudson Yards, Unit 30D",Hudson Yards,11500,2 BD,2.5 BA,Manhattan
"510 East 14th Street, Unit 506",East Village,8895,2 BD,2 BA,Manhattan
"510 East 14th Street, Unit 506",East Village,8211,2 BD,2 BA,Manhattan
"128 Macdougal Street, Unit 3B",Greenwich Village,3290,1 BD,1 BA,Manhattan
"145 East 16th Street, Unit 4F",Gramercy,3250,Studio,1 BA,Manhattan
"245 East 44th Street, Unit 24A",Midtown East,5650,2 BD,2 BA,Manhattan
"245 East 44th Street, Unit 24A",Midtown East,5650,2 BD,2 BA,Manhattan
"300 Mercer Street, Unit 12N",Greenwich Village,6095,2 BD,1.5 BA,Manhattan
"135 Rivington Street, Unit 8",Lower East Side,3500,1 BD,1 BA,Manhattan
"21 East 9th Street, Unit 4A",Greenwich Village,2495,Studio,1 BA,Manhattan
"160 Riverside Boulevard, Unit 8F",Upper West Side,2923,Studio,1 BA,Manhattan
"200 West 67th Street, Unit 38A",Upper West Side,11900,3 BD,3.5 BA,Manhattan
"205 East 92nd Street, Unit 27B",Upper East Side,5108,1 BD,1 BA,Manhattan
"Th West 91st Street, Unit 2",Upper West Side,16995,4 BD,3 BA,Manhattan
"1640 York Avenue, Unit 3AC",Upper East Side,2650,2 BD,1 BA,Manhattan
"1640 York Avenue, Unit 3AC",Upper East Side,2650,2 BD,1 BA,Manhattan
"304 East 83rd Street, Unit 5C",Upper East Side,2250,1 BD,1 BA,Manhattan
"1214 5th Avenue, Unit 22C",East Harlem,5928,1 BD,1 BA,Manhattan
"125 Riverside Drive, Unit 12A",Upper West Side,8000,3 BD,2 BA,Manhattan
"125 Riverside Drive, Unit 12A",Upper West Side,7333,3 BD,2 BA,Manhattan
"0 East 12th Street, Unit 5B",Greenwich Village,2595,1 BD,1 BA,Manhattan
2054 7th Avenue,Harlem,2350,2 BD,1 BA,Manhattan
"305 West 50th Street, Unit 25D",Hell's Kitchen,4183,1 BD,1 BA,Manhattan
"456 Washington Street, Unit 6D",TriBeCa,20225,3 BD,3 BA,Manhattan
"15 Hudson Yards, Unit 30D",Hudson Yards,11500,2 BD,2.5 BA,Manhattan
"510 East 14th Street, Unit 506",East Village,8895,2 BD,2 BA,Manhattan
"510 East 14th Street, Unit 506",East Village,8211,2 BD,2 BA,Manhattan
"128 Macdougal Street, Unit 3B",Greenwich Village,3290,1 BD,1 BA,Manhattan
"145 East 16th Street, Unit 4F",Gramercy,3250,Studio,1 BA,Manhattan
"245 East 44th Street, Unit 24A",Midtown East,5650,2 BD,2 BA,Manhattan
"245 East 44th Street, Unit 24A",Midtown East,5650,2 BD,2 BA,Manhattan
"300 Mercer Street, Unit 12N",Greenwich Village,6095,2 BD,1.5 BA,Manhattan
"135 Rivington Street, Unit 8",Lower East Side,3500,1 BD,1 BA,Manhattan
"21 East 9th Street, Unit 4A",Greenwich Village,2495,Studio,1 BA,Manhattan
"160 Riverside Boulevard, Unit 8F",Upper West Side,2923,Studio,1 BA,Manhattan
"200 West 67th Street, Unit 38A",Upper West Side,11900,3 BD,3.5 BA,Manhattan
"205 East 92nd Street, Unit 27B",Upper East Side,5108,1 BD,1 BA,Manhattan
"Th West 91st Street, Unit 2",Upper West Side,16995,4 BD,3 BA,Manhattan
"1640 York Avenue, Unit 3AC",Upper East Side,2650,2 BD,1 BA,Manhattan
"1640 York Avenue, Unit 3AC",Upper East Side,2650,2 BD,1 BA,Manhattan
"304 East 83rd Street, Unit 5C",Upper East Side,2250,1 BD,1 BA,Manhattan
"1214 5th Avenue, Unit 22C",East Harlem,5928,1 BD,1 BA,Manhattan
"1214 5th Avenue, Unit 22C",East Harlem,5928,1 BD,1 BA,Manhattan
"1214 5th Avenue, Unit 33F",East Harlem,3725,Studio,1 BA,Manhattan
"118 West 109th Street, Unit 3W",Upper West Side,2900,2 BD,1 BA,Manhattan
"369 West 126th Street, Unit 1",Morningside Heights,2600,Studio,1 BA,Manhattan
"707 St Nicholas Avenue, Unit 2E",Hamilton Heights,1925,Studio,1 BA,Manhattan
"482 Broome Street, Unit 4",SoHo,8750,2 BD,2 BA,Manhattan
"356 West 21st Street, Unit 3",Chelsea,6181,3 BD,2 BA,Manhattan
"356 West 21st Street, Unit 2",Chelsea,6085,3 BD,2 BA,Manhattan
"1290 1st Avenue, Unit 13",Upper East Side,3392,2 BD,1 BA,Manhattan
"150 East 82nd Street, Unit F",Upper East Side,8938,3 BD,2.5 BA,Manhattan
"236 East 33rd Street, Unit 3B",Kips Bay,3650,2 BD,1 BA,Manhattan
"320 Manhattan Avenue, Unit 9",Harlem,3758,3 BD,1 BA,Manhattan
"1085 Park Avenue, Unit PHA",Upper East Side,35000,3 BD,4 BA,Manhattan
"1085 Park Avenue, Unit PHA",Upper East Side,35000,3 BD,4 BA,Manhattan
"300 East 3rd Street, Unit 2B",East Village,3200,1 BD,1 BA,Manhattan
"245 East 124th Street, Unit 10L",East Harlem,2300,Studio,1 BA,Manhattan
"326 East 4th Street, Unit LL",East Village,4900,3 BD,1 BA,Manhattan
"1485 5th Avenue, Unit 11C",East Harlem,6000,3 BD,2 BA,Manhattan
"1 West Street, Unit 2034",Financial District,2550,Studio,1 BA,Manhattan
"80 East 2nd Street, Unit 34",East Village,5000,2 BD,2 BA,Manhattan
"37 West 89th, Unit 1",Upper West Side,2338,Studio,1 BA,Manhattan
"21 West 87th Street, Unit A",Upper West Side,2338,Studio,1 BA,Manhattan
"11 East 1st Street, Unit 1423",East Village,7300,2 BD,2 BA,Manhattan
"1377 Lexington Avenue, Unit 4B",Upper East Side,3300,1 BD,1 BA,Manhattan
"513 East 82nd Street, Unit 1B",Upper East Side,2842,Studio,1 BA,Manhattan
"945 5th Avenue, Unit 14C",Upper East Side,16250,3 BD,3 BA,Manhattan
"945 5th Avenue, Unit 14C",Upper East Side,16250,3 BD,3 BA,Manhattan
"323 East 78th Street, Unit 2C",Upper East Side,3350,1 BD,1 BA,Manhattan
"242 East 75th Street, Unit 4A",Upper East Side,2750,1 BD,1 BA,Manhattan
"605 West 137th Street, Unit 25",Hamilton Heights,3950,3 BD,1 BA,Manhattan
"666 Greenwich Street, Unit 343",West Village,6725,1 BD,2 BA,Manhattan
"263 West 113th Street, Unit 1F",Harlem,1995,Studio,1 BA,Manhattan
"242 East 75th Street, Unit 3D",Upper East Side,2383,Studio,1 BA,Manhattan
"322 East 74th Street, Unit 2C",Upper East Side,2704,1 BD,1 BA,Manhattan
"400 East 74th Street, Unit 21",Upper East Side,3025,1 BD,1 BA,Manhattan
"160 Central Park South, Unit 1009",Central Park South,15000,2 BD,2.5 BA,Manhattan
"1382 1st Avenue, Unit 7",Upper East Side,2475,1 BD,1 BA,Manhattan
"502 East 73rd Street, Unit 2C",Upper East Side,3483,2 BD,1 BA,Manhattan
"1755 York Avenue, Unit 12E",Upper East Side,4995,2 BD,2 BA,Manhattan
151-155 East 31st Street,Kips Bay,4385,1 BD,1 BA,Manhattan
"266 West 11th Street, Unit BFW",West Village,2700,1 BD,1 BA,Manhattan
"317 West 29th Street, Unit 1C",Chelsea,2150,Studio,1 BA,Manhattan
"238 East 58th Street, Unit 17",Midtown East,2338,1 BD,1 BA,Manhattan
"20 5th Avenue, Unit 13E",Greenwich Village,6500,1 BD,1 BA,Manhattan
"490 2nd Avenue, Unit 2D",Kips Bay,3865,Studio,1 BA,Manhattan
"1876 3rd Avenue, Unit 6A",East Harlem,2500,1 BD,1 BA,Manhattan
"65 West 55th Street, Unit 8A",Theater District,2900,Studio,1 BA,Manhattan
"562 West End Avenue, Unit 9D",Upper West Side,3295,1 BD,1 BA,Manhattan
"562 West End Avenue, Unit 9D",Upper West Side,3295,1 BD,1 BA,Manhattan
"1876 3rd Avenue, Unit 4A",East Harlem,2500,1 BD,1 BA,Manhattan
"160 Claremont Avenue, Unit 2K",Morningside Heights,2100,1 BD,1 BA,Manhattan
30 Park Place,TriBeCa,19000,2 BD,2.5 BA,Manhattan
"211 East 13th Street, Unit 5K",East Village,8500,2 BD,2 BA,Manhattan
"310 East 46th Street, Unit 12G",Midtown East,3850,1 BD,1 BA,Manhattan
"465 West 23rd Street, Unit 5J",Chelsea,3350,Studio,1 BA,Manhattan
"410 West 24th Street, Unit 2B",Chelsea,3250,Studio,1 BA,Manhattan
"220 East 60th Street, Unit 10G",Upper East Side,2300,Studio,1 BA,Manhattan
"2231 7th Avenue, Unit 316",Harlem,2650,1 BD,1 BA,Manhattan
"461 West 44th Street, Unit 4D",Hell's Kitchen,2100,Studio,1 BA,Manhattan
"350 East 62nd Street, Unit 1J",Upper East Side,2350,Studio,1 BA,Manhattan
"343 West 46th Street, Unit 3",Hell's Kitchen,4800,3 BD,1 BA,Manhattan
"9 West 95th Street, Unit F",Upper West Side,2650,Studio,1 BA,Manhattan
"1630 2nd Avenue, Unit 2RS",Upper East Side,2050,Studio,1 BA,Manhattan
"105 East 15th Street, Unit 62",Gramercy,3600,1 BD,1 BA,Manhattan
"403 East 62nd Street, Unit 10C",Upper East Side,3300,1 BD,1 BA,Manhattan
"222 East 61st Street, Unit 1",Upper East Side,2500,Studio,1 BA,Manhattan
"60 East 96th Street, Unit 1B",Upper East Side,8700,3 BD,2 BA,Manhattan
"1 West End Avenue, Unit 8E",Upper West Side,5900,1 BD,1.5 BA,Manhattan
"111 Murray Street, Unit 48E",TriBeCa,28000,3 BD,4.5 BA,Manhattan
"150 East 85th Street, Unit 6G",Upper East Side,3500,1 BD,1 BA,Manhattan
"22 Central Park South, Unit 3",Central Park South,18000,2 BD,3 BA,Manhattan
"300 East 23rd Street, Unit 18B",Gramercy,10500,3 BD,2 BA,Manhattan
"100 Suffolk Street, Unit 4B",Lower East Side,4350,3 BD,2 BA,Manhattan
"432 East 11th Street, Unit 2F",East Village,3350,2 BD,1 BA,Manhattan
"41 Warren Street, Unit PH",TriBeCa,25000,4 BD,4 BA,Manhattan
"1876 3rd Avenue, Unit 5A",East Harlem,2500,1 BD,1 BA,Manhattan
"30 West Street, Unit 21F",Battery Park City,13000,3 BD,3.5 BA,Manhattan
"199 Bowery, Unit 2F",Lower East Side,4500,1 BD,1 BA,Manhattan
"430 East 11th Street, Unit 22",East Village,2585,1 BD,1 BA,Manhattan
"88 Greenwich Street, Unit 411",Financial District,2950,Studio,1 BA,Manhattan
"340 East 52nd Street, Unit 2H",Midtown East,3500,1 BD,1 BA,Manhattan
"60 East 8th Street, Unit 10C",Greenwich Village,5600,1 BD,1 BA,Manhattan
"345 East 80th Street, Unit 28A",Upper East Side,3395,1 BD,1 BA,Manhattan
"15 West 53rd Street, Unit 42C",Theater District,5500,1 BD,1.5 BA,Manhattan
"54 West 71st Street, Unit 2F",Upper West Side,3750,1 BD,1 BA,Manhattan
"20 West Street, Unit 32D",Financial District,3595,1 BD,1 BA,Manhattan
"2211 3rd Avenue, Unit 11E",East Harlem,3160,1 BD,1 BA,Manhattan
"123 Washington Street, Unit 39H",Financial District,4100,1 BD,1 BA,Manhattan
"329 Pleasant Avenue, Unit 2C",East Harlem,2297,Studio,1 BA,Manhattan
"159 West 82nd Street, Unit 2",Upper West Side,4995,2 BD,1 BA,Manhattan
