"126 Herkimer Street, Unit 9",Bedford-Stuyvesant,2755,2 BD,1 BA,Brooklyn
"355 Myrtle Avenue, Unit 2",Fort Greene,3800,3 BD,1 BA,Brooklyn
"53 Boerum Place, Unit 9G",Downtown Brooklyn,4500,2 BD,2 BA,Brooklyn
"126 Herkimer Street, Unit B1",Bedford-Stuyvesant,3391,4 BD,2 BA,Brooklyn
"951 Madison Street, Unit 2F",Bushwick,2150,1 BD,1 BA,Brooklyn
"195 Clarkson Avenue, Unit 6B",Prospect Lefferts Gardens,2600,1 BD,1 BA,Brooklyn
63 Adelphi Street,Fort Greene,7000,Studio,0.5 BA,Brooklyn
"318 Knickerbocker Avenue, Unit 3D",Bushwick,2500,1 BD,1 BA,Brooklyn
"267 6th Street, Unit 4G",Central Slope,2667,Alcove,1 BA,Brooklyn
"364 Lewis Avenue, Unit STOREFRONT",Bedford-Stuyvesant,5000,empty Beds,2 BA,Brooklyn
"894 Greene Avenue, Unit 2",Bedford-Stuyvesant,2550,2 BD,1 BA,Brooklyn
"1115 Hancock Street, Unit 3E",Bushwick,2850,1 BD,1 BA,Brooklyn
"352 South 1st Street, Unit 4F",Williamsburg,3250,1 BD,1 BA,Brooklyn
"2 Northside Piers, Unit 4X",Williamsburg,8750,3 BD,2 BA,Brooklyn
"961 Madison Street, Unit 4R",Bushwick,2355,1 BD,3 BA,Brooklyn
"5 4th Place, Unit 4R",Carroll Gardens,2566,1 BD,1 BA,Brooklyn
"70 Berry Street, Unit 2G",Williamsburg,4250,1 BD,1 BA,Brooklyn
"352 76th Street, Unit 2",Bay Ridge,2200,1 BD,1 BA,Brooklyn
"55 Duffield Street, Unit 1",Downtown Brooklyn,2175,Studio,1 BA,Brooklyn
"651 New York Avenue, Unit PH",Wingate,5076,3 BD,2 BA,Brooklyn
"319 South 5th Street, Unit 4",Williamsburg,4350,3 BD,2 BA,Brooklyn
"39 East 21st Street, Unit 1B",Flatbush,2262,Studio,empty Bath,Brooklyn
682 Rockaway Avenue,Brownsville,2600,3 BD,2 BA,Brooklyn
"272 21st Street, Unit 2",Greenwood Heights,4250,2 BD,2 BA,Brooklyn
"591 Myrtle Avenue, Unit 3R",Clinton Hill,2100,1 BD,1 BA,Brooklyn
"100 Sterling Place, Unit 1F",Park Slope,5800,2 BD,2 BA,Brooklyn
"4112 4th Avenue, Unit Retail",Sunset Park,9500,empty Beds,2 BA,Brooklyn
"154 1/2 Washington Avenue, Unit PH1",Clinton Hill,2275,1 BD,1 BA,Brooklyn
"429 Kent Avenue, Unit 835",Williamsburg,4300,1 BD,1.5 BA,Brooklyn
"18 East 7th Street, Unit 1",Windsor Terrace,2900,2 BD,1 BA,Brooklyn
"114 South 2nd Street, Unit 2",Williamsburg,9500,3 BD,2.5 BA,Brooklyn
"150 Myrtle Avenue, Unit 2102",Downtown Brooklyn,2599,Studio,1 BA,Brooklyn
"524 Metropolitan Avenue, Unit 6",East Williamsburg,2999,2 BD,1 BA,Brooklyn
"1280 Dean Street, Unit 2H",Crown Heights,2500,2 BD,1 BA,Brooklyn
"720 Marcy Avenue, Unit 1",Bedford-Stuyvesant,2995,3 BD,2 BA,Brooklyn
"144 Decatur Street, Unit B6",Bedford-Stuyvesant,2300,2 BD,1 BA,Brooklyn
"17 East 17th Street, Unit A3",Prospect Park South,2100,1 BD,1 BA,Brooklyn
"205 Water Street, Unit 4L",DUMBO,3350,Studio,1 BA,Brooklyn
"553 Henry Street, Unit 1",Carroll Gardens,4400,empty Beds,1 BA,Brooklyn
"110 India Street, Unit 1",Greenpoint,7500,2 BD,2 BA,Brooklyn
"15 Westminster Road, Unit 3D",Prospect Park South,3050,3 BD,1 BA,Brooklyn
"2328 Newkirk Avenue, Unit 2C",Ditmas Park,2300,3 BD,1 BA,Brooklyn
"1 Hanson Place, Unit 13M",Fort Greene,5700,2 BD,2 BA,Brooklyn
"613 Baltic Street, Unit 6C",Park Slope,5750,2 BD,2 BA,Brooklyn
"78 Linden Street, Unit 1",Bushwick,3300,3 BD,2 BA,Brooklyn
33 Carroll Street,Columbia Street Waterfront,11000,4 BD,3.5 BA,Brooklyn
"660 St Marks Avenue, Unit 2",Crown Heights,5500,3 BD,2.5 BA,Brooklyn
"1702 11th Avenue, Unit 2F",Windsor Terrace,2500,1 BD,1 BA,Brooklyn
"166 Hoyt Street, Unit 3R",Boerum Hill,2250,Alcove,1 BA,Brooklyn
"57 Rapelye Street, Unit 2S",Columbia Street Waterfront,2975,1 BD,1 BA,Brooklyn
"405 Church Avenue, Unit 2",Kensington,2100,2 BD,1 BA,Brooklyn
"413 50th Street, Unit 3",Sunset Park,2250,3 BD,1 BA,Brooklyn
"88 Withers Street, Unit 6D",Williamsburg,5200,2 BD,1 BA,Brooklyn
"400 6th Avenue, Unit 2C",Central Slope,3116,1 BD,1 BA,Brooklyn
"39 East 21st Street, Unit 6C",Flatbush,2723,2 BD,empty Bath,Brooklyn
"429 Kent Avenue, Unit 730",Williamsburg,3700,1 BD,1 BA,Brooklyn
"446 Kent Avenue, Unit 4C",Williamsburg,3500,1 BD,1.5 BA,Brooklyn
"5 4th Place, Unit 1L",Carroll Gardens,2756,1 BD,1 BA,Brooklyn
"552 53rd Street, Unit 2",Sunset Park,2325,2 BD,1 BA,Brooklyn
"195 Clarkson Avenue, Unit 4E",Prospect Lefferts Gardens,2375,1 BD,1 BA,Brooklyn
"1 Main Street, Unit 8K",DUMBO,6995,1 BD,2 BA,Brooklyn
"205 Van Buren Street, Unit GARDEN",Bedford-Stuyvesant,3250,3 BD,empty Bath,Brooklyn
434 Dewitt Avenue,East New York,6000,empty Beds,5 BA,Brooklyn
"100 Jay Street, Unit 4J",DUMBO,2950,Alcove,1 BA,Brooklyn
"25 Lexington Avenue, Unit PH1",Clinton Hill,5750,2 BD,2 BA,Brooklyn
"2104 East 65th Street, Unit 1",Mill Basin,3750,4 BD,2.5 BA,Brooklyn
"901 Grand Street, Unit 2A",East Williamsburg,2998,2 BD,1 BA,Brooklyn
"408 8th Avenue, Unit 4A",Central Slope,3600,2 BD,1 BA,Brooklyn
"429 Kent Avenue, Unit 804",Williamsburg,5200,2 BD,2 BA,Brooklyn
"200 Prospect Park West, Unit 3R",South Slope,6485,3 BD,2 BA,Brooklyn
"45 Putnam Avenue, Unit 1",Clinton Hill,3450,2 BD,1.5 BA,Brooklyn
"130 8th Avenue, Unit 2D",North Slope,1950,Studio,1 BA,Brooklyn
"885 Lafayette Avenue, Unit 2",Bedford-Stuyvesant,2750,2 BD,1 BA,Brooklyn
"110 India Street, Unit DUPLEX1",Greenpoint,8750,3 BD,2.5 BA,Brooklyn
"892 Bergen Street, Unit 6B",Crown Heights,3100,1 BD,1 BA,Brooklyn
"145 President Street, Unit 4B",Carroll Gardens,9500,3 BD,2.5 BA,Brooklyn
"1 Macdonough Street, Unit 2N",Bedford-Stuyvesant,4350,4 BD,2 BA,Brooklyn
"2417 Albemarle Road, Unit 10A",Flatbush,3069,2 BD,1 BA,Brooklyn
"117 Thomas S Boyland Street, Unit 1B",Bedford-Stuyvesant,2650,2 BD,1 BA,Brooklyn
"25 Lexington Avenue, Unit 403",Clinton Hill,3210,1 BD,1 BA,Brooklyn
"82 Irving Place, Unit 3A",Clinton Hill,2500,1 BD,1 BA,Brooklyn
"150 Myrtle Avenue, Unit 2301",Downtown Brooklyn,5300,2 BD,2 BA,Brooklyn
"888 Lorimer Street Ground Commercial, Unit Ground",Greenpoint,15000,empty Beds,2 BA,Brooklyn
"2422 Snyder Avenue, Unit 2",Flatbush,3000,3 BD,1 BA,Brooklyn
"2422 Snyder Avenue, Unit 4",Flatbush,3300,3 BD,1 BA,Brooklyn
"2417 Albemarle Road, Unit 11C",Flatbush,2650,1 BD,1 BA,Brooklyn
"414 Elmwood Avenue, Unit 3L",Midwood,1725,1 BD,1 BA,Brooklyn
"550 Vanderbilt Avenue, Unit 901",Prospect Heights,7500,2 BD,2 BA,Brooklyn
"88 Meserole Avenue, Unit 3A",Greenpoint,3895,2 BD,1 BA,Brooklyn
Glenwood Road,Fiske Terrace,2600,2 BD,2 BA,Brooklyn
"825 Ocean Parkway, Unit 3C",Kensington,1495,Studio,1 BA,Brooklyn
"158 6th Avenue, Unit 4",Park Slope,2000,1 BD,1 BA,Brooklyn
"90 East 18th Street, Unit 4B",Prospect Park South,2999,3 BD,1 BA,Brooklyn
"10 City Point, Unit 28S",Downtown Brooklyn,2825,Studio,1 BA,Brooklyn
"12399 Flatlands Avenue, Unit 2C",East New York,2350,2 BD,1 BA,Brooklyn
"388 Bridge Street, Unit PH48D",Downtown Brooklyn,6700,3 BD,2 BA,Brooklyn
"588 Madison Street, Unit Garden",Bedford-Stuyvesant,2800,1 BD,1 BA,Brooklyn
"762 Park Place, Unit 4B",Crown Heights,4200,3 BD,2 BA,Brooklyn
"50 Greenpoint Avenue, Unit 5C",Greenpoint,6300,3 BD,2 BA,Brooklyn
"39 East 21st Street, Unit 5C",Flatbush,2769,2 BD,empty Bath,Brooklyn
"154 1/2 Washington Avenue, Unit PH2",Clinton Hill,2300,1 BD,1 BA,Brooklyn
"227 67th Street, Unit 1",Bay Ridge,1900,Studio,1 BA,Brooklyn
"138 Beadel Street, Unit 2",Williamsburg,2650,2 BD,1 BA,Brooklyn
"100 Congress Street, Unit 206",Columbia Street Waterfront,6500,3 BD,2 BA,Brooklyn
"35 Clifton Place, Unit 2",Clinton Hill,5995,3 BD,2.5 BA,Brooklyn
"550 55th Street, Unit 20",Sunset Park,2000,2 BD,1 BA,Brooklyn
"1338 Sterling Place, Unit 3B",Crown Heights,1750,1 BD,1 BA,Brooklyn
"267 6th Street, Unit 12A",Park Slope,2980,1 BD,1 BA,Brooklyn
"141 Gelston Avenue, Unit 2",Bay Ridge,2100,1 BD,1 BA,Brooklyn
"117 Thomas S Boyland Street, Unit 4B",Bedford-Stuyvesant,2500,2 BD,1 BA,Brooklyn
586 11th Street,Park Slope,11000,4 BD,3.5 BA,Brooklyn
"618 Dean Street, Unit 1E",Prospect Heights,5000,2 BD,3 BA,Brooklyn
"293 Stuyvesant Avenue, Unit 4L",Bedford-Stuyvesant,3300,3 BD,1 BA,Brooklyn
"195 Clarkson Avenue, Unit 4B",Prospect Lefferts Gardens,2550,1 BD,1 BA,Brooklyn
"443 Bainbridge Street, Unit 3A",Bedford-Stuyvesant,2250,1 BD,1 BA,Brooklyn
"227 Hancock Street, Unit 2",Bedford-Stuyvesant,2895,2 BD,2 BA,Brooklyn
"641 Hancock Street, Unit 3B",Bedford-Stuyvesant,2150,2 BD,1 BA,Brooklyn
"181 Powers Street, Unit B",East Williamsburg,3050,2 BD,1 BA,Brooklyn
"22 North 6th Street, Unit PH1C",Williamsburg,14750,2 BD,2 BA,Brooklyn
"800 Bergen Street, Unit 7A",Crown Heights,1900,Studio,1 BA,Brooklyn
"195 Clarkson Avenue, Unit 2A",Prospect Lefferts Gardens,2450,1 BD,1 BA,Brooklyn
"429 Kent Avenue, Unit TH5",Williamsburg,14250,4 BD,4.5 BA,Brooklyn
"171 Eagle Street, Unit 1A",Griffin Farm,4895,2 BD,2 BA,Brooklyn
"99 Atlantic Avenue, Unit 4",Brooklyn Heights,4650,3 BD,1 BA,Brooklyn
"180 Nassau Street, Unit 10B",Downtown Brooklyn,3000,1 BD,1 BA,Brooklyn
"215 North 7th Street, Unit 5",Williamsburg,2299,1 BD,1 BA,Brooklyn
"641 East 4th Street, Unit 2",Kensington,2000,2 BD,1 BA,Brooklyn
"135 Ocean Parkway, Unit 17J",Kensington,2000,Alcove,1 BA,Brooklyn
"607 Flatbush Avenue, Unit 4B",Prospect Lefferts Gardens,3849,3 BD,2 BA,Brooklyn
"202 West 9th Street, Unit 4A",Carroll Gardens,2700,1 BD,1 BA,Brooklyn
"145 President Street, Unit 6A",Carroll Gardens,13000,4 BD,3.5 BA,Brooklyn
"950 Bergen Street, Unit 2B",Crown Heights,1850,Studio,1 BA,Brooklyn
"25 Lexington Avenue, Unit 504",Clinton Hill,5900,2 BD,3 BA,Brooklyn
"75 Poplar Street, Unit 2J",Brooklyn Heights,5000,2 BD,1.5 BA,Brooklyn
"76 North 4th Street, Unit D",Williamsburg,12645,Studio,1 BA,Brooklyn
"42 South Oxford Street, Unit 5",Fort Greene,2500,1 BD,1 BA,Brooklyn
"429 Kent Avenue, Unit D317",Williamsburg,8250,3 BD,3.5 BA,Brooklyn
"217 Greenwood Avenue, Unit 2",Windsor Terrace,2650,2 BD,1 BA,Brooklyn
"261 Devoe Street, Unit 1L",East Williamsburg,2050,1 BD,1 BA,Brooklyn
"950 Bergen Street, Unit 1A",Crown Heights,2150,1 BD,1 BA,Brooklyn
"112 Berkeley Place, Unit 1",Park Slope,6750,2 BD,2.5 BA,Brooklyn
"214 North 11th Street, Unit 4J",Williamsburg,3195,1 BD,1 BA,Brooklyn
"103 Atlantic Avenue, Unit COMMERICAL",Brooklyn Heights,8250,empty Beds,1 BA,Brooklyn
2150 Bedford Avenue,Flatbush,1608,1 BD,1 BA,Brooklyn
"76 North 4th Street, Unit F",Williamsburg,15629,Studio,2 BA,Brooklyn
"39 East 21st Street, Unit 5B",Flatbush,2446,1 BD,empty Bath,Brooklyn
"291 Sterling Place, Unit 2",Prospect Heights,8500,4 BD,2 BA,Brooklyn
