Address,Neighborhood,Price,Beds,Baths,Boro,Agency
"1610 New York Avenue, Unit 4A",Flatbush,2750,3 Beds,2 Baths,Brooklyn,Compass
"2048 Coyle Street, Unit 2",Madison,1925,2 Beds,1 Bath,Brooklyn,Compass
"60 Water Street, Unit 301",DUMBO,6004,2 Beds,2 Baths,Brooklyn,Compass
"319 99th Street, Unit 2",Bay Ridge,2400,2 Beds,1 Bath,Brooklyn,Compass
"60 Water Street, Unit 506",DUMBO,3295,Studio,1 Bath,Brooklyn,Compass
"343 Gold Street, Unit 3009",Downtown Brooklyn,3669,1 Bed,1 Bath,Brooklyn,Compass
"372 Dekalb Avenue, Unit 4F",Clinton Hill,4775,2 Beds,2 Baths,Brooklyn,Compass
"60 Broadway, Unit 6N",Williamsburg,4995,1 Bed,1.5 Baths,Brooklyn,Compass
"231 Brightwater Court, Unit E6",Brighton Beach,2200,2 Beds,1 Bath,Brooklyn,Compass
"670 Pacific Street, Unit 701",Prospect Heights,4400,2 Beds,2 Baths,Brooklyn,Compass
"97 Bond Street, Unit 1",Boerum Hill,3000,Studio,1 Bath,Brooklyn,Compass
"343 Gold Street, Unit 3505",Downtown Brooklyn,3890,1 Bed,1 Bath,Brooklyn,Compass
"151 Sackett Street, Unit 2",Columbia Street Waterfront,3450,3 Beds,1 Bath,Brooklyn,Compass
"120 Garfield Place, Unit B9",Central Slope,2125,1 Bed,1 Bath,Brooklyn,Compass
"670 Pacific Street, Unit 806",Prospect Heights,5271,2 Beds,2 Baths,Brooklyn,Compass
"360 Furman Street, Unit 1126",Brooklyn Heights,24000,5 Beds,4.5 Baths,Brooklyn,Compass
"46 Fort Greene Place, Unit 1",Fort Greene,8750,4 Beds,2 Baths,Brooklyn,Compass
"80 East 2nd Street, Unit 6",East Village,5800,2 Beds,1 Bath,Brooklyn,Compass
"1307 42nd Street, Unit 2",Borough Park,1900,2 Beds,1 Bath,Brooklyn,Compass
"45 Hoyt Street, Unit 15W",Downtown Brooklyn,3410,Studio,1 Bath,Brooklyn,Compass
"125 Court Street, Unit 5NE",Downtown Brooklyn,5179,2 Beds,2 Baths,Brooklyn,Compass
"657 Greene Avenue, Unit D",Bedford-Stuyvesant,2250,2 Beds,1 Bath,Brooklyn,Compass
"657 Greene Avenue, Unit C",Bedford-Stuyvesant,2250,2 Beds,1 Bath,Brooklyn,Compass
"518 Bainbridge Street, Unit 3B",Bedford-Stuyvesant,1900,1 Bed,1 Bath,Brooklyn,Compass
"235 74th Street, Unit 1",Bay Ridge,2500,2 Beds,1.5 Baths,Brooklyn,Compass
"3 Pierrepont Place, Unit TOP",Brooklyn Heights,12500,2 Beds,2 Baths,Brooklyn,Compass
"70 Washington Street, Unit 7B",DUMBO,5950,2 Beds,2 Baths,Brooklyn,Compass
"1663 Lincoln Place, Unit 1",Crown Heights,2100,2 Beds,1 Bath,Brooklyn,Compass
"100 Willoughby Street, Unit 22V",Downtown Brooklyn,5240,2 Beds,2 Baths,Brooklyn,Compass
"213 31st Street, Unit 1",Greenwood Heights,2150,1 Bed,1 Bath,Brooklyn,Compass
"1651 West 1st Street, Unit 2",Gravesend,2798,3 Beds,1.5 Baths,Brooklyn,Compass
"8837 18th Avenue, Unit 1",Bath Beach,2600,3 Beds,1.5 Baths,Brooklyn,Compass
"2826 Bragg Street, Unit 1F",Sheepshead Bay,2300,3 Beds,1.5 Baths,Brooklyn,Compass
"1 Flatbush Avenue, Unit 913",Fort Greene,3075,Studio,1 Bath,Brooklyn,Compass
"1 Flatbush Avenue, Unit 1504",Fort Greene,4500,1 Bed,1 Bath,Brooklyn,Compass
1068 Carroll Street,Crown Heights,3400,3 Beds,1 Bath,Brooklyn,Compass
"343 Gold Street, Unit 3604",Downtown Brooklyn,3990,1 Bed,1 Bath,Brooklyn,Compass
"9 Old Fulton Street, Unit 3",DUMBO,4350,2 Beds,1 Bath,Brooklyn,Compass
"1285 Fulton Street, Unit 2L",Bedford-Stuyvesant,2800,2 Beds,1 Bath,Brooklyn,Compass
"133 Bay Ridge Avenue, Unit B",Bay Ridge,1900,3 Beds,1 Bath,Brooklyn,Compass
"357 Dahill Road, Unit 2",Kensington,3300,3 Beds,2 Baths,Brooklyn,Compass
"626 Flatbush Avenue, Unit 8C",Prospect Lefferts Gardens,2866,1 Bed,1 Bath,Brooklyn,Compass
"138 Court Street, Unit 2N",Cobble Hill,3387,1 Bed,1 Bath,Brooklyn,Compass
"151 Leonard Street, Unit 2",East Williamsburg,3500,2 Beds,1 Bath,Brooklyn,Compass
"412 Herkimer Street, Unit 3B",Bedford-Stuyvesant,3400,2 Beds,2 Baths,Brooklyn,Compass
"51 Jay Street, Unit 5I",DUMBO,10000,3 Beds,3.5 Baths,Brooklyn,Compass
"412 Herkimer Street, Unit 6F",Bedford-Stuyvesant,3400,2 Beds,2 Baths,Brooklyn,Compass
"412 Herkimer Street, Unit 3B",Bedford-Stuyvesant,3451,2 Beds,2 Baths,Brooklyn,Compass
848 Carroll Street,North Slope,13950,4 Beds,3 Baths,Brooklyn,Compass
"550 Mac Donough Street, Unit 2",Bedford-Stuyvesant,4250,3 Beds,1 Bath,Brooklyn,Compass
"1381 Herkimer Street, Unit 2",Bedford-Stuyvesant,1695,1 Bed,1 Bath,Brooklyn,Compass
"1 Flatbush Avenue, Unit 2007",Fort Greene,5775,2 Beds,2 Baths,Brooklyn,Compass
"365 Bond Street, Unit A514",Gowanus,2465,Studio,1 Bath,Brooklyn,Compass
834 Herkimer Street,Bedford-Stuyvesant,2950,3 Beds,2 Baths,Brooklyn,Compass
"29 Willow Street, Unit 1R",Brooklyn Heights,7000,2 Beds,1 Bath,Brooklyn,Compass
"47 Monitor Street, Unit 3",Williamsburg,2995,2 Beds,1 Bath,Brooklyn,Compass
"1358 64th Street, Unit A4",Borough Park,1450,1 Bed,1 Bath,Brooklyn,Compass
"6802 Ridge Boulevard, Unit 4N",Bay Ridge,2000,2 Beds,1 Bath,Brooklyn,Compass
"1934 Bath Avenue, Unit 3R",Bath Beach,1500,1 Bed,1 Bath,Brooklyn,Compass
"474 Sackett Street, Unit 1",Carroll Gardens,3000,1 Bed,1 Bath,Brooklyn,Compass
"1695 Albany Avenue, Unit 2",East Flatbush,4500,4 Beds,3 Baths,Brooklyn,Compass
"3917 Laurel Avenue, Unit 1R",Seagate,1300,Studio,1 Bath,Brooklyn,Compass
"4022 12th Avenue, Unit 2",Borough Park,2800,2 Beds,1 Bath,Brooklyn,Compass
"245 Bergen Street, Unit 2",Boerum Hill,7500,3 Beds,2 Baths,Brooklyn,Compass
"146 Pierrepont Street, Unit 9A",Brooklyn Heights,11446,3 Beds,2 Baths,Brooklyn,Compass
223 4th Avenue,North Slope,3850,1 Bed,1 Bath,Brooklyn,Compass
"295 Columbia Street, Unit 3",Columbia Street Waterfront,3900,2 Beds,2 Baths,Brooklyn,Compass
"150 Myrtle Avenue, Unit 1606",Downtown Brooklyn,3950,2 Beds,2 Baths,Brooklyn,Compass
"181 Front Street, Unit 8C",DUMBO,6232,2 Beds,2 Baths,Brooklyn,Compass
"457 Grand Street, Unit 1",East Williamsburg,11000,Studio,2 Baths,Brooklyn,Compass
"80 Green Street, Unit 3",Greenpoint,5600,4 Beds,3 Baths,Brooklyn,Compass
"15 Greene Avenue, Unit C2",Fort Greene,2500,1 Bed,1 Bath,Brooklyn,Compass
"6915 16th Avenue, Unit 2",Bensonhurst,1950,2 Beds,1 Bath,Brooklyn,Compass
125 Court Street,Downtown Brooklyn,3015,Studio,1 Bath,Brooklyn,Compass
"9201 Shore Road, Unit A309",Bay Ridge,3025,2 Beds,2 Baths,Brooklyn,Compass
"1556 64th Street, Unit 2",Borough Park,1800,2 Beds,1 Bath,Brooklyn,Compass
"1151 Dean Street, Unit 1D",Crown Heights,3400,3 Beds,1 Bath,Brooklyn,Compass
"413 50th Street, Unit 3",Sunset Park,2250,3 Beds,1 Bath,Brooklyn,Compass
"1519 New York Avenue, Unit 3A",East Flatbush,2200,2 Beds,1 Bath,Brooklyn,Compass
20 Prospect Park Southwest,Windsor Terrace,12250,5 Beds,3 Baths,Brooklyn,Compass
"1610 New York Avenue, Unit 4B",Flatbush,2769,3 Beds,2 Baths,Brooklyn,Compass
"1610 New York Avenue, Unit 3A",Flatbush,2192,2 Beds,1 Bath,Brooklyn,Compass
"9448 Ridge Boulevard, Unit 3",Bay Ridge,2650,2 Beds,1.5 Baths,Brooklyn,Compass
"1 Blue Slip, Unit 5B",Greenpoint,5871,2 Beds,2 Baths,Brooklyn,Compass
438 7th Street,Central Slope,8400,4 Beds,2 Baths,Brooklyn,Compass
585 4th Street,Central Slope,10000,4 Beds,2.5 Baths,Brooklyn,Compass
"634 Wilson Avenue, Unit 3R",Bushwick,3000,3 Beds,1 Bath,Brooklyn,Compass
"45 Hoyt Street, Unit 11C",Downtown Brooklyn,3930,1 Bed,1 Bath,Brooklyn,Compass
"412 Herkimer Street, Unit 4B",Bedford-Stuyvesant,3451,2 Beds,2 Baths,Brooklyn,Compass
"412 Herkimer Street, Unit 3G",Bedford-Stuyvesant,3045,2 Beds,2 Baths,Brooklyn,Compass
"987 Halsey Street, Unit 2",Bushwick,875,Studio,1 Bath,Brooklyn,Compass
"10 Montieth Street, Unit 828",Bushwick,4114,2 Beds,2 Baths,Brooklyn,Compass
"200 Atlantic Avenue, Unit 2A",Cobble Hill,3694,1 Bed,1 Bath,Brooklyn,Compass
"345 Park Place, Unit 2",Prospect Heights,13750,4 Beds,2 Baths,Brooklyn,Compass
"579 74th Street, Unit 2",Bay Ridge,2600,3 Beds,1 Bath,Brooklyn,Compass
"76 74th Street, Unit 2",Bay Ridge,3000,3 Beds,2 Baths,Brooklyn,Compass
"369 80th, Unit 1",Bay Ridge,2300,3 Beds,1 Bath,Brooklyn,Compass
"214 Duffield Street, Unit 31Y",Downtown Brooklyn,4360,1 Bed,1 Bath,Brooklyn,Compass
"2049 East 17th Street, Unit D4",Homecrest,1850,2 Beds,1 Bath,Brooklyn,Compass
"60 Water Street, Unit 504",DUMBO,3896,1 Bed,1 Bath,Brooklyn,Compass
"16 Monroe Place, Unit 10",Brooklyn Heights,4700,2 Beds,1 Bath,Brooklyn,Compass
200 Bedford Avenue,Williamsburg,13029,Studio,1.5 Baths,Brooklyn,Compass
"42 Main Street, Unit 8D",DUMBO,8500,2 Beds,2.5 Baths,Brooklyn,Compass
"125 Court Street, Unit 4NG",Downtown Brooklyn,2980,Studio,1 Bath,Brooklyn,Compass
"6741 Colonial Road, Unit 2",Bay Ridge,3300,4 Beds,1 Bath,Brooklyn,Compass
"1801 Dorchester Road, Unit 2I",Ditmas Park,2575,1 Bed,1 Bath,Brooklyn,Compass
"268 Dean Street, Unit 1",Boerum Hill,3250,1 Bed,1 Bath,Brooklyn,Compass
"1213 Ave Z, Unit E7",Sheepshead Bay,1675,1 Bed,1 Bath,Brooklyn,Compass
"969 Lafayette Avenue, Unit 2L",Bedford-Stuyvesant,2100,1 Bed,1 Bath,Brooklyn,Compass
803 8th Avenue,Central Slope,5500,Studio,1 Bath,Brooklyn,Compass
"156 Conover Street, Unit 2",Red Hook,3250,2 Beds,1 Bath,Brooklyn,Compass
"99 West 9th Street, Unit 2C",Red Hook,2400,Studio,1 Bath,Brooklyn,Compass
"146 Pierrepont Street, Unit 16C",Brooklyn Heights,12923,3 Beds,3 Baths,Brooklyn,Compass
"504 74th Street, Unit 4",Bay Ridge,1950,2 Beds,1 Bath,Brooklyn,Compass
"984 Halsey Street, Unit 2L",Bushwick,2450,3 Beds,1 Bath,Brooklyn,Compass
"1466 Bushwick Avenue, Unit 1F",Bushwick,1999,1 Bed,1 Bath,Brooklyn,Compass
"592 Albany Avenue, Unit D1",East Flatbush,1900,1 Bed,1 Bath,Brooklyn,Compass
"1571 Sterling Place, Unit A3",Crown Heights,1900,1 Bed,1 Bath,Brooklyn,Compass
"823 Carroll Street, Unit 3",North Slope,4300,2 Beds,1 Bath,Brooklyn,Compass
343 Gold Street,Downtown Brooklyn,3871,1 Bed,1 Bath,Brooklyn,Compass
"180 Nassau Street, Unit 2A",Downtown Brooklyn,5000,2 Beds,2 Baths,Brooklyn,Compass
"98 Rockwell Place, Unit 6",Fort Greene,4800,2 Beds,1 Bath,Brooklyn,Compass
"1283 Rogers Avenue, Unit 1",Flatbush,2250,2 Beds,1 Bath,Brooklyn,Compass
"40 Brighton 1 Road, Unit 2FG",Brighton Beach,1900,1 Bed,1 Bath,Brooklyn,Compass
562-73 Unit 1 Brooklyn Ny 11209,Bay Ridge,1800,1 Bed,2 Baths,Brooklyn,Compass
562-73 Unit 3 Brooklyn Ny 11209,Bay Ridge,2800,4 Beds,2 Baths,Brooklyn,Compass
"65 Washington Street, Unit 7F",DUMBO,2837,Studio,1 Bath,Brooklyn,Compass
200 Schermerhorn Street,Downtown Brooklyn,4750,Studio,1.5 Baths,Brooklyn,Compass
"1893 Bergen Street, Unit 3",Crown Heights,1999,2 Beds,1 Bath,Brooklyn,Compass
"768 Herkimer Street, Unit 4",Bedford-Stuyvesant,1750,1 Bed,1 Bath,Brooklyn,Compass
"100 Willoughby Street, Unit 27R",Downtown Brooklyn,3705,1 Bed,1 Bath,Brooklyn,Compass
"138 Broadway, Unit 1E",Williamsburg,6750,1 Bed,2 Baths,Brooklyn,Compass
"64 7th Avenue, Unit 1B",North Slope,2800,1 Bed,1 Bath,Brooklyn,Compass
"442 Sterling Place, Unit 2",Prospect Heights,4500,3 Beds,1 Bath,Brooklyn,Compass
"429 Sterling Place, Unit 4L",Prospect Heights,3600,3 Beds,1 Bath,Brooklyn,Compass
"600 Ocean Avenue, Unit 5C",Prospect Park South,3000,3 Beds,1 Bath,Brooklyn,Compass
"250 Albany Avenue, Unit 1",Crown Heights,2500,Studio,1 Bath,Brooklyn,Compass
"282 20th Street, Unit 1",Greenwood Heights,3200,2 Beds,1 Bath,Brooklyn,Compass
"10104 4th Avenue, Unit 3B",Bay Ridge,2300,2 Beds,1 Bath,Brooklyn,Compass
"1962 74th Street, Unit 2",Bensonhurst,1900,2 Beds,1 Bath,Brooklyn,Compass
"113 Greenpoint Avenue, Unit A4",Greenpoint,4000,2 Beds,1.5 Baths,Brooklyn,Compass
"1571 Sterling Place, Unit A3",Crown Heights,1900,1 Bed,1 Bath,Brooklyn,Compass
"823 Carroll Street, Unit 3",North Slope,4300,2 Beds,1 Bath,Brooklyn,Compass
343 Gold Street,Downtown Brooklyn,3871,1 Bed,1 Bath,Brooklyn,Compass
"180 Nassau Street, Unit 2A",Downtown Brooklyn,5000,2 Beds,2 Baths,Brooklyn,Compass
"98 Rockwell Place, Unit 6",Fort Greene,4800,2 Beds,1 Bath,Brooklyn,Compass
"1283 Rogers Avenue, Unit 1",Flatbush,2250,2 Beds,1 Bath,Brooklyn,Compass
"40 Brighton 1 Road, Unit 2FG",Brighton Beach,1900,1 Bed,1 Bath,Brooklyn,Compass
562-73 Unit 1 Brooklyn Ny 11209,Bay Ridge,1800,1 Bed,2 Baths,Brooklyn,Compass
562-73 Unit 3 Brooklyn Ny 11209,Bay Ridge,2800,4 Beds,2 Baths,Brooklyn,Compass
"65 Washington Street, Unit 7F",DUMBO,2837,Studio,1 Bath,Brooklyn,Compass
200 Schermerhorn Street,Downtown Brooklyn,4750,Studio,1.5 Baths,Brooklyn,Compass
"1893 Bergen Street, Unit 3",Crown Heights,1999,2 Beds,1 Bath,Brooklyn,Compass
"768 Herkimer Street, Unit 4",Bedford-Stuyvesant,1750,1 Bed,1 Bath,Brooklyn,Compass
"100 Willoughby Street, Unit 27R",Downtown Brooklyn,3705,1 Bed,1 Bath,Brooklyn,Compass
"138 Broadway, Unit 1E",Williamsburg,6750,1 Bed,2 Baths,Brooklyn,Compass
"64 7th Avenue, Unit 1B",North Slope,2800,1 Bed,1 Bath,Brooklyn,Compass
"442 Sterling Place, Unit 2",Prospect Heights,4500,3 Beds,1 Bath,Brooklyn,Compass
"429 Sterling Place, Unit 4L",Prospect Heights,3600,3 Beds,1 Bath,Brooklyn,Compass
"600 Ocean Avenue, Unit 5C",Prospect Park South,3000,3 Beds,1 Bath,Brooklyn,Compass
"250 Albany Avenue, Unit 1",Crown Heights,2500,Studio,1 Bath,Brooklyn,Compass
"282 20th Street, Unit 1",Greenwood Heights,3200,2 Beds,1 Bath,Brooklyn,Compass
"10104 4th Avenue, Unit 3B",Bay Ridge,2300,2 Beds,1 Bath,Brooklyn,Compass
"1962 74th Street, Unit 2",Bensonhurst,1900,2 Beds,1 Bath,Brooklyn,Compass
"113 Greenpoint Avenue, Unit A4",Greenpoint,4000,2 Beds,1.5 Baths,Brooklyn,Compass
"607 Flatbush Avenue, Unit 4A",Prospect Lefferts Gardens,3650,3 Beds,1 Bath,Brooklyn,Compass
"348 Marshall Drive South, Unit 1C",Dyker Heights,3600,4 Beds,2.5 Baths,Brooklyn,Compass
"11 Columbus Place, Unit 2",Bedford-Stuyvesant,2700,3 Beds,1 Bath,Brooklyn,Compass
"2730 Atlantic Avenue, Unit 2",East New York,2499,3 Beds,1 Bath,Brooklyn,Compass
343 Gold Street,Downtown Brooklyn,3406,1 Bed,1 Bath,Brooklyn,Compass
"1133 Manhattan Avenue, Unit 532",Greenpoint,3350,1 Bed,1 Bath,Brooklyn,Compass
"791 East 52nd Street, Unit 2",East Flatbush,2100,2 Beds,1 Bath,Brooklyn,Compass
"1020 East 59th Street, Unit 2",Flatlands,2250,3 Beds,1 Bath,Brooklyn,Compass
203-209 North 11th Street,Williamsburg,55000,Studio,1.5 Baths,Brooklyn,Compass
"214 Duffield Street, Unit 37P",Downtown Brooklyn,3405,Studio,1 Bath,Brooklyn,Compass
"173 Classon Avenue, Unit 3L",Clinton Hill,3600,3 Beds,1.5 Baths,Brooklyn,Compass
"173 Classon Avenue, Unit 3R",Clinton Hill,3600,3 Beds,1.5 Baths,Brooklyn,Compass
"173 Classon Avenue, Unit 2L",Clinton Hill,3600,3 Beds,1.5 Baths,Brooklyn,Compass
"333 86th Street, Unit 3E",Bay Ridge,1995,1 Bed,1 Bath,Brooklyn,Compass
"1296 East 37th Street, Unit G",Midwood,1600,1 Bed,1 Bath,Brooklyn,Compass
"1328 Fulton Street, Unit P101",Bedford-Stuyvesant,4280,2 Beds,2 Baths,Brooklyn,Compass
"109 Greenpoint Avenue, Unit 1A",Greenpoint,3600,2 Beds,1.5 Baths,Brooklyn,Compass
"226 Monroe Street, Unit 2",Bedford-Stuyvesant,2800,3 Beds,1 Bath,Brooklyn,Compass
"157 Bay 23rd Street, Unit 3",Bath Beach,1495,1 Bed,1 Bath,Brooklyn,Compass
"1905 West 10th Street, Unit 19",Gravesend,1599,1 Bed,1 Bath,Brooklyn,Compass
"10 Montieth Street, Unit 534",Bushwick,2571,1 Bed,1 Bath,Brooklyn,Compass
"10 Montieth Street, Unit 649",Bushwick,3042,1 Bed,1 Bath,Brooklyn,Compass
"352 Menahan Street, Unit 2",Bushwick,2500,2 Beds,2 Baths,Brooklyn,Compass
203-209 North 11th Street,Williamsburg,25000,Studio,1.5 Baths,Brooklyn,Compass
"352 Menahan Street, Unit 2",Bushwick,2500,2 Beds,2 Baths,Brooklyn,Compass
203-209 North 11th Street,Williamsburg,25000,Studio,1.5 Baths,Brooklyn,Compass
"490 Ocean Parkway, Unit 7D",Kensington,1890,1 Bed,1 Bath,Brooklyn,Compass
"365 Westminster Road, Unit B7",Ditmas Park,2500,2 Beds,1 Bath,Brooklyn,Compass
"1225 Fulton Street, Unit 2",Bedford-Stuyvesant,2700,4 Beds,1 Bath,Brooklyn,Compass
"629 Westminster Road, Unit 3",Ditmas Park,3000,3 Beds,1 Bath,Brooklyn,Compass
"148 29th Street, Unit 1",Greenwood Heights,1900,1 Bed,1 Bath,Brooklyn,Compass
"10 Montieth Street, Unit 452",Bushwick,2914,1 Bed,2 Baths,Brooklyn,Compass
"10 Montieth Street, Unit 316",Bushwick,2532,1 Bed,1 Bath,Brooklyn,Compass
"10 Montieth Street, Unit 572",Bushwick,3301,1 Bed,1 Bath,Brooklyn,Compass
"164 Kent Avenue, Unit 3T",Williamsburg,3500,1 Bed,1 Bath,Brooklyn,Compass
"461 Dean, Unit 20Q",Prospect Heights,2550,Studio,1 Bath,Brooklyn,Compass
"10 Montieth Street, Unit G01",Bushwick,2292,Studio,1 Bath,Brooklyn,Compass
"1381 Herkimer Street, Apt 1",Bedford-Stuyvesant,2975,3 Beds,2 Baths,Brooklyn,Compass
"60 Water Street, Unit 411",DUMBO,3236,Studio,1 Bath,Brooklyn,Compass
"343 Gold Street, Unit 2510",Downtown Brooklyn,3584,1 Bed,1 Bath,Brooklyn,Compass
1522 Bergen Street,Weeksville,2525,Studio,2 Baths,Brooklyn,Compass
"1466 Bushwick Avenue, Unit 4F",Bushwick,1975,1 Bed,1 Bath,Brooklyn,Compass
"3105 Brighton 3, Unit IJ",Brighton Beach,1450,1 Bed,1 Bath,Brooklyn,Compass
"37 Bridge Street, Unit 6A",DUMBO,6250,2 Beds,2 Baths,Brooklyn,Compass
"212 Linden Boulevard, Unit 7B",Flatbush,2600,2 Beds,1 Bath,Brooklyn,Compass
"212 Linden Boulevard, Unit 6A",Flatbush,2714,3 Beds,2 Baths,Brooklyn,Compass
"100 Willoughby Street, Unit 20V",Downtown Brooklyn,4920,2 Beds,2 Baths,Brooklyn,Compass
"603 Newjersey Avenue, Unit 2L",East New York,2299,3 Beds,1 Bath,Brooklyn,Compass
"79 Brighton 11th Street, Unit 2K",Brighton Beach,2100,2 Beds,1 Bath,Brooklyn,Compass
"324 Stonewall Jackson Drive, Unit B",Dyker Heights,4099,4 Beds,2.5 Baths,Brooklyn,Compass
"222 Washington Road, Unit E",Dyker Heights,3499,3 Beds,2 Baths,Brooklyn,Compass
514-77 Unit 1 Brooklyn Ny 11209,Bay Ridge,1800,2 Beds,1 Bath,Brooklyn,Compass
"3344 Shore Parkway, Unit 1",Sheepshead Bay,2400,2 Beds,1 Bath,Brooklyn,Compass
"10 Montieth Street, Unit 555",Bushwick,3642,2 Beds,2 Baths,Brooklyn,Compass
"10 Montieth Street, Unit 333",Bushwick,2614,1 Bed,1 Bath,Brooklyn,Compass
"429 Kent Avenue, Unit 328",Williamsburg,3250,1 Bed,1 Bath,Brooklyn,Compass
"214 Duffield Street, Unit 57N",Downtown Brooklyn,4148,1 Bed,1 Bath,Brooklyn,Compass
"613-a Hancock Street, Unit 3",Bedford-Stuyvesant,2700,2 Beds,1 Bath,Brooklyn,Compass
236 North 12th Street,Williamsburg,32000,Studio,2 Baths,Brooklyn,Compass
"91 Bay Ridge Avenue, Unit 1",Bay Ridge,2400,2 Beds,1 Bath,Brooklyn,Compass
"100 Willoughby Street, Unit 27V",Downtown Brooklyn,5220,2 Beds,2 Baths,Brooklyn,Compass
"446 Kent Avenue, Unit 4C",Williamsburg,3500,1 Bed,1.5 Baths,Brooklyn,Compass
"253 51st Street, Unit 3",Sunset Park,2500,2 Beds,1 Bath,Brooklyn,Compass
"346 Marshal Drive South, Unit 2D",Dyker Heights,3600,3 Beds,2.5 Baths,Brooklyn,Compass
"345 Marshall Drive North, Unit 2C",Dyker Heights,3950,4 Beds,2 Baths,Brooklyn,Compass
"361 Stagg Street, Unit 410",East Williamsburg,4100,Studio,2 Baths,Brooklyn,Compass
"361 Stagg Street, Unit 204",East Williamsburg,3703,Studio,1 Bath,Brooklyn,Compass
"30 Washington Street, Unit 1J",DUMBO,5375,2 Beds,2 Baths,Brooklyn,Compass
"361 Stagg Street, Unit 202",East Williamsburg,5222,Studio,1 Bath,Brooklyn,Compass
"361 Stagg Street, Unit 404",East Williamsburg,3749,Studio,1 Bath,Brooklyn,Compass
"1638 West 12th Street, Unit 1",Gravesend,2300,3 Beds,1 Bath,Brooklyn,Compass
"490 Ocean Parkway, Unit 74",Kensington,1890,1 Bed,1 Bath,Brooklyn,Compass
"3765 18th Avenue, Unit B01",Kensington,1890,2 Beds,1 Bath,Brooklyn,Compass
"339 Adelphi Street, Unit 1",Fort Greene,3000,1 Bed,1 Bath,Brooklyn,Compass
"2010 Ocean Avenue, Unit D01",Manhattan Terrace,2560,3 Beds,2 Baths,Brooklyn,Compass
"324 Marshal Drive, Unit B",Dyker Heights,4099,3 Beds,2.5 Baths,Brooklyn,Compass
"1640 East 48th Street, Unit 1",Flatlands,2750,4 Beds,1 Bath,Brooklyn,Compass
"855 East 7th Street, Unit 7D",Kensington,2050,2 Beds,1 Bath,Brooklyn,Compass
"773 Monroe Street, Unit 3",Bedford-Stuyvesant,2700,4 Beds,1 Bath,Brooklyn,Compass
"1 Blue Slip, Unit 19K",Greenpoint,2854,Studio,1 Bath,Brooklyn,Compass
710 Wyona Street,East New York,1300,Studio,1.5 Baths,Brooklyn,Compass
"115 Stanwix Street, Unit 219",Bushwick,2700,1 Bed,1 Bath,Brooklyn,Compass
"115 Stanwix Street, Unit 514",Bushwick,3117,2 Beds,2 Baths,Brooklyn,Compass
"931 Manhattan Avenue, Unit 4F",Greenpoint,2995,2 Beds,1 Bath,Brooklyn,Compass
"729 Monroe Street, Unit 3L",Bedford-Stuyvesant,1900,2 Beds,1 Bath,Brooklyn,Compass
"112 32nd Street, Unit 3",Greenwood Heights,2900,3 Beds,1 Bath,Brooklyn,Compass
"112 32nd Street, Unit 3",Greenwood Heights,2900,3 Beds,1 Bath,Brooklyn,Compass
"180 Montague Street, Unit 30C",Brooklyn Heights,2720,Studio,1 Bath,Brooklyn,Compass
"1285 Fulton Street, Unit 3L",Bedford-Stuyvesant,2800,4 Beds,1 Bath,Brooklyn,Compass
3057 Brighton 2nd Street,Brighton Beach,1750,1 Bed,2 Baths,Brooklyn,Compass
580 84th Street,Bay Ridge,2400,2 Beds,1 Bath,Brooklyn,Compass
"921 East 96th Street, Unit 3",Canarsie,1990,2 Beds,1 Bath,Brooklyn,Compass
"2202 64th Street, Unit E4",Mapleton,2250,2 Beds,1 Bath,Brooklyn,Compass
"9623 Ave M, Unit 1",Canarsie,1500,1 Bed,1 Bath,Brooklyn,Compass
"365 Bridge Street, Unit 7PRO",Downtown Brooklyn,2400,Studio,1 Bath,Brooklyn,Compass
696 10th Street,South Slope,11000,4 Beds,2 Baths,Brooklyn,Compass
109 Montague Street,Brooklyn Heights,10500,Studio,2 Baths,Brooklyn,Compass
"458 5th Avenue, Unit A3",South Slope,3000,1 Bed,1 Bath,Brooklyn,Compass
"388 Bridge, Unit 37G",Downtown Brooklyn,5200,2 Beds,2 Baths,Brooklyn,Compass
"1881 West 6th Street, Unit 2",Gravesend,2400,4 Beds,1 Bath,Brooklyn,Compass
"1428 Lincoln Place, Unit 2",Crown Heights,2800,3 Beds,2 Baths,Brooklyn,Compass
531 Graham Avenue,Greenpoint,5900,Studio,2 Baths,Brooklyn,Compass
"223 4th Avenue, Unit 2E",North Slope,3850,1 Bed,1 Bath,Brooklyn,Compass
236 North 12th Street,Williamsburg,10000,Studio,2 Baths,Brooklyn,Compass
"47 Thames, Unit 306",East Williamsburg,2935,1 Bed,1 Bath,Brooklyn,Compass
"574 73rd Street, Unit 2",Bay Ridge,2800,4 Beds,2 Baths,Brooklyn,Compass
"414 Hicks Street, Unit 609",Columbia Street Waterfront,2181,Studio,1 Bath,Brooklyn,Compass
"414 Hicks Street, Unit 607",Columbia Street Waterfront,2342,1 Bed,1 Bath,Brooklyn,Compass
"100 Willoughby Street, Unit 28R",Downtown Brooklyn,3168,1 Bed,1 Bath,Brooklyn,Compass
"226 Monroe Street, Unit 1",Bedford-Stuyvesant,2200,2 Beds,1 Bath,Brooklyn,Compass
98 De Graw Street,Columbia Street Waterfront,14000,4 Beds,4 Baths,Brooklyn,Compass
"2529 East 14th Street, Unit 1",Sheepshead Bay,1900,2 Beds,1 Bath,Brooklyn,Compass
