Address,Price,Rental_type,Beds_baths,Sqfeet,Boro
"Gates Avenue - Bedford - Stuyvesant, New York",3800,Multi-Family,3 Beds | 2 Baths,Listing ID: 3799688,Brooklyn
"Halsey Street - Bushwick, New York",3800,Multi-Family,4 Beds | 1 Bath,Listing ID: 3843930,Brooklyn
"Ashland Pl - Fort Greene, New York",3750,Rental,1 Bed | 1 Bath,Listing ID: 3843449,Brooklyn
"198 17th Street, 2 - Park Slope, New York",3750,Rental,3 Beds | 1 Bath,Listing ID: 3869429,Brooklyn
"365 Bond Street, C601 - Gowanus, New York",3735,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3895590,Brooklyn
"173 St Marks Avenue, 3 - Prospect Heights, New York",3700,Rental,2 Beds | 1 Bath,Listing ID: 3892403,Brooklyn
"150 Columbia Hts, 4R - Brooklyn Heights, New York",3700,Rental,1 Bed | 1 Bath,Listing ID: 3866721,Brooklyn
"Berry Street - Williamsburg, New York",3695,"Rental, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 647,Brooklyn
"185 Prospect Park West, 2R - Windsor Terrace, New York",3686,Rental,2 Beds | 1 Bath,Approximate Sq. Feet: 978,Brooklyn
"395 Leonard Street, 309 - Williamsburg, New York",3680,Rental,1 Bed | 1 Bath,Approximate Sq. Feet: 655,Brooklyn
"107 Greenpoint Avenue, A4 - Greenpoint, New York",3666,Rental,1 Bed | 1 Bath | 1 Half Bath,"Approximate Sq. Feet: 1,100",Brooklyn
"363 Bond Street, 712 - Gowanus, New York",3660,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3865110,Brooklyn
"620 6th Street, GARDEN - Park Slope, New York",3650,Rental,2 Beds | 1 Bath,Listing ID: 3878614,Brooklyn
"Caton Pl - Windsor Terrace, New York",3625,"Rental, Doorman",2 Beds | 2 Baths,Approximate Sq. Feet: 871,Brooklyn
"333 Schermerhorn Street, 29Q - Fort Greene, New York",3618,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3805520,Brooklyn
"320 Atlantic Avenue, 3 - Boerum Hill, New York",3600,Rental,2 Beds | 1 Bath,Listing ID: 3886662,Brooklyn
"111 Greenpoint Avenue, 1A - Greenpoint, New York",3600,Rental,2 Beds | 1 Bath | 1 Half Bath,Listing ID: 3712860,Brooklyn
"Berry Street - Williamsburg, New York",3595,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3752494,Brooklyn
"501 Atlantic Avenue, 8 - Boerum Hill, New York",3550,Rental,3 Beds | 1 Bath,Listing ID: 3868483,Brooklyn
"395 Leonard Street, 430 - Williamsburg, New York",3535,Rental,1 Bed | 1 Bath,Approximate Sq. Feet: 596,Brooklyn
"Das Haus, 90 Clermont Avenue, 6 - Fort Greene, New York",3500,Condo,2 Beds | 2 Baths,Approximate Sq. Feet: 910,Brooklyn
"5 Monroe Street, 1 - Clinton Hill, New York",3500,Rental,3 Beds | 2 Baths,Listing ID: 3869940,Brooklyn
"567 Warren Street, 602 - Boerum Hill, New York",3500,Rental,2 Beds | 1 Bath,Listing ID: 3891773,Brooklyn
"567 Warren Street, 404 - Boerum Hill, New York",3500,Rental,2 Beds | 1 Bath,Listing ID: 3891767,Brooklyn
"32 Fifth Avenue, 1A - Park Slope, New York",3500,,1 Bed | 1 Bath,Listing ID: 3847587,Brooklyn
"427 Seventh Avenue, RET1 - Park Slope, New York",3500,Commercial,| 1 Bath,Listing ID: 3799195,Brooklyn
"1255 Bushwick Avenue, 6E - Bushwick, New York",3500,Condo,2 Beds | 2 Baths,Approximate Sq. Feet: 797,Brooklyn
"189 Schermerhorn Street, 4P - Boerum Hill, New York",3500,"Condo, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 618,Brooklyn
"Bridge Street - Vinegar Hill, New York",3500,Commercial,,Approximate Sq. Feet: 915,Brooklyn
"895 Pacific Street, 4B - Prospect Heights, New York",3500,Rental,2 Beds | 1 Bath,Approximate Sq. Feet: 900,Brooklyn
"616 President Street, 3 - Park Slope, New York",3500,Multi-Family,2 Beds | 1 Bath,Approximate Sq. Feet: 800,Brooklyn
"171 Monroe Street, 1 - Bedford - Stuyvesant, New York",3499,Multi-Family,2 Beds | 3 Baths,Listing ID: 3826261,Brooklyn
"340 14th Street, 2 - Park Slope, New York",3483,Condo,1 Bed | 1 Bath,Listing ID: 3886341,Brooklyn
"340 14th Street, 2R - Park Slope, New York",3483,Condo,1 Bed | 1 Bath,Listing ID: 3799565,Brooklyn
"501 Atlantic Avenue, 4 - Boerum Hill, New York",3475,Rental,3 Beds | 1 Bath,"Approximate Sq. Feet: 1,200",Brooklyn
"null, 1153 PRESIDENT Street, 4E - Crown Heights, New York",3450,Condo,3 Beds | 1 Bath,Approximate Sq. Feet: 753,Brooklyn
"363 Bond Street, 702 - Gowanus, New York",3450,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3879769,Brooklyn
"1 Blue Slip, 7P - Greenpoint, New York",3441,Rental,1 Bed | 1 Bath,Listing ID: 3891679,Brooklyn
"Berry Street - Williamsburg, New York",3415,"Rental, Doorman",Studio | 1 Bath,Listing ID: 3644193,Brooklyn
"100 Maspeth Avenue, 3H - Williamsburg, New York",3400,"Condo, Doorman",2 Beds | 2 Baths,Listing ID: 3846233,Brooklyn
"86 Berry Street, 3L - Williamsburg, New York",3400,Rental,2 Beds | 1 Bath,Listing ID: 3886438,Brooklyn
"North 9th Street - Williamsburg, New York",3385,Rental,1 Bed | 1 Bath,Listing ID: 3710772,Brooklyn
"GREEN HILL CONDOMIN, 324 22nd Street, 3B - Greenwood, New York",3350,Condo,2 Beds | 2 Baths,Listing ID: 3883445,Brooklyn
"608 Franklin Avenue, 307 - Crown Heights, New York",3350,Rental,2 Beds | 1 Bath,Listing ID: 3867094,Brooklyn
"214 North 11th Street, 3R - Williamsburg, New York",3350,"Condo, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 710 | Approximate Exterior Sq. Ft: 33,Brooklyn
"774 Grand Street, 4G - Williamsburg, New York",3345,,1 Bed | 1 Bath,Listing ID: 3860418,Brooklyn
"247 North 7th Street, 1503 - Williamsburg, New York",3337,"Rental, Doorman",Studio | 1 Bath,Approximate Sq. Feet: 436,Brooklyn
"124 Amity Street, 4 - Cobble Hill, New York",3300,Rental,2 Beds | 1 Bath,Listing ID: 3850048,Brooklyn
"479 Prospect Pl, 3L - Prospect Heights, New York",3300,Rental,3 Beds | 2 Baths,"Approximate Sq. Feet: 1,100",Brooklyn
"101 Visitation Pl, RETAIL - Red Hook, New York",3300,Commercial,| 1 Bath,Approximate Sq. Feet: 850,Brooklyn
"479 Prospect Pl, 4 - Prospect Heights, New York",3300,Rental,3 Beds | 2 Baths,"Approximate Sq. Feet: 1,000",Brooklyn
"479 Prospect Pl, 3L - Prospect Heights, New York",3300,Rental,3 Beds | 2 Baths,"Approximate Sq. Feet: 1,100",Brooklyn
"479 Prospect Pl, 4L - Prospect Heights, New York",3300,Rental,3 Beds | 1 Bath | 1 Half Bath,"Approximate Sq. Feet: 1,100",Brooklyn
"563 Prospect Avenue, 2 - Windsor Terrace, New York",3300,Multi-Family,3 Beds | 1 Bath,"Approximate Sq. Feet: 1,100",Brooklyn
"365 Bond Street, B504 - Gowanus, New York",3288,"Rental, Doorman",Studio | 1 Bath,Listing ID: 3878476,Brooklyn
"1 Blue Slip, 21N - Greenpoint, New York",3253,Rental,1 Bed | 1 Bath,Listing ID: 3886437,Brooklyn
"213 Maujer Street, 2 - Williamsburg, New York",3250,Rental,1 Bed | 1 Bath,Listing ID: 3825769,Brooklyn
"254 Stuyvesant Avenue, 3 - Bedford - Stuyvesant, New York",3200,Multi-Family,2 Beds | 1 Bath,Approximate Sq. Feet: 840,Brooklyn
"305 13th Street, 2 - Park Slope, New York",3200,Multi-Family,2.5 Beds | 1 Bath,Listing ID: 3867554,Brooklyn
"2365 East 12th Street - Sheepshead Bay, New York",3200,Single Family Townhouse,4 Beds | 2 Baths,"Approximate Sq. Feet: 1,776",Brooklyn
"318 Prospect Avenue, 3R - Prospect Park South, New York",3200,Multi-Family,2 Beds | 1 Bath,Approximate Sq. Feet: 900,Brooklyn
"813 Dean Street, 1 - Prospect Heights, New York",3200,Multi-Family,2 Beds | 1 Bath,Listing ID: 3842803,Brooklyn
"313 Degraw Street, 2 - Carroll Gardens, New York",3200,Multi-Family,1 Bed | 1 Bath,Listing ID: 3869900,Brooklyn
"684 MacDonough Street, 1FL - Bedford - Stuyvesant, New York",3200,Rental,3 Beds | 2 Baths,Listing ID: 3862894,Brooklyn
"306 Gold Street, 20G - Downtown Brooklyn, New York",3200,"Condo, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 709,Brooklyn
"Lafayette Avenue - Clinton Hill, New York",3200,Rental,2 Beds | 1 Bath,Listing ID: 3841601,Brooklyn
"16 MONROE PL, 1 - Brooklyn Heights, New York",3175,Rental,1 Bed | 1 Bath,Listing ID: 3869993,Brooklyn
"115 Bergen Street, 2 - Boerum Hill, New York",3150,Rental,1 Bed | 1 Bath,Listing ID: 3879990,Brooklyn
"363 Bond Street, PH1 - Gowanus, New York",3145,"Rental, Doorman",Studio | 1 Bath,Listing ID: 3879771,Brooklyn
"475 Clermont Avenue, 602A - Fort Greene, New York",3135,Rental,Studio | 1 Bath,Listing ID: 3872899,Brooklyn
"1 Blue Slip, 18R - Greenpoint, New York",3120,Rental,Studio | 1 Bath,Listing ID: 3884763,Brooklyn
