"130 West 30th Street, Apt. 9A",7900,2 Beds / 2 Baths / Condo,Chelsea/Hudson Yards
"22 Renwick Street, Apt. 8A",7200,"2 Beds / 2 Baths / 1,101 Sq. Ft. / Condo",Soho/Nolita
"455 Central Park West, Apt. 23B",6995,"2 Beds / 2 Baths / 1,333 Sq. Ft. / Condo",Upper West Side
"447 West 18th Street, Apt. 3C",8200,2 Beds / 2 Baths / Condo,Chelsea/Hudson Yards
"141 Fifth Avenue, Apt. 4AB",23000,3 Beds / 3 Baths / Condo,Flatiron
"540 West 28th Street, Apt. 7F",4500,1 Bed / 1 Bath / Condo,Chelsea/Hudson Yards
"204 East 7th Street, Apt. 4",2300,1 Bed / 1 Bath / Co-op,East Village
"106 Waverly Place, Apt. 3",10000,"3 Beds / 2 Baths / 1,520 Sq. Ft. / Condo",Greenwich Village
"1 Irving Place, Apt. G9A",6000,1 Bed / 1 Bath / 741 Sq. Ft. / Condo,Gramercy
"50 West 34th Street, Apt. 16B",2950,Studio / 1 Bath / Rental,Midtown West
"20 Pine Street, Apt. 502",4800,"1 Bed / 1 Bath / 1,100 Sq. Ft. / Condo",Financial District
"92 Perry Street, Apt. 16",4500,1 Bed / 1 Bath / 546 Sq. Ft. / Condo,West Village
"130 West 79th Street, Apt. 9C",3595,1 Bed / 1 Bath / Condo,Upper West Side
"135 East 54th Street, Apt. 7L",3200,1 Bed / 1 Bath / 725 Sq. Ft. / Condo,Midtown East
"200 RSB, Apt. 19G",5950,"2 Beds / 2 Baths / 1,200 Sq. Ft. / Condo",Upper West Side
"302 West 76th Street, Apt. 4b",2000,22 Units / 6 Floors / Multi-Family Townhouse,Upper West Side
"2098 Frederick Douglass Blvd, Apt...",4000,2 Beds / 2 Baths / 950 Sq. Ft. / Condo,Harlem
"88 Greenwich Street, Apt. 1602",2995,Studio / 1 Bath / Condo,Financial District
"450 East 83rd Street, Apt. 21A",8500,"2 Beds / 2 Baths / 1,613 Sq. Ft. / Condo",Upper East Side
"40 Mercer Street, Apt. 27",14500,2 Beds / 2 Baths / Condo,Soho/Nolita
"315 Seventh Avenue, Apt. 5B",3700,1 Bed / 1 Bath / 750 Sq. Ft. / Condo,Chelsea/Hudson Yards
"1 Central Park South, Apt. 1907",14000,"2 Beds / 2 Baths / 1,378 Sq. Ft. / Condo",Central Park South
"143 Reade Street, Apt. 9A",24500,"4 Beds / 3 Baths / 2,760 Sq. Ft. / Condo",Tribeca
"41 West 72nd Street, Apt. 10B",3500,1 Bed / 1 Bath / Condo,Upper West Side
"200 East 66th Street, Apt. A1905",6750,1 Bed / 1 Bath / 919 Sq. Ft. / Condo,Upper East Side
"242 East 3rd Street, Apt. 13",3100,2 Beds / 1 Bath / Rental,East Village
"101 Warren Street, Apt. 2930",12000,2 Beds / 2 Baths / Condo,Tribeca
"22 East 66th Street, Apt. 3",4950,1 Bed / 1 Bath / Mixed Use Townhouse,Upper East Side
"21 East 12th Street, Apt. 8D",8495,"1 Bed / 1 Bath / 1,006 Sq. Ft. / Condo",Greenwich Village
"2147 Second Avenue, Apt. 2A",2800,2 Beds / 1 Bath / Rental,East Harlem
"7 West 92nd Street, Apt. 2B",2200,1 Bed / 1 Bath / Co-op,Upper West Side
"40 West 83rd Street, Apt. A",19750,"2 Units / 5 Floors / 4,225 Sq. Ft. / Multi-Family Townhouse",Upper West Side
"17 West 87th Street, Apt. 2",5750,"10 Units / 5 Floors / 1,200 Sq. Ft. / Multi-Family Townhouse",Upper West Side
"330 East 70th Street, Apt. 3K",2300,Studio / 1 Bath / 400 Sq. Ft. / Co-op,Upper East Side
"285 Lafayette Street, Apt. PHA",35000,"4 Beds / 3 Baths / 2,890 Sq. Ft. / Condo",Soho/Nolita
"200 East 61st Street, Apt. 5FG",13000,"3 Beds / 3 Baths / 2,124 Sq. Ft. / Condo",Upper East Side
"1045 Park Avenue, Apt. 7AB",30000,4 Beds / 4 Baths / Co-op,Carnegie Hill
"80 Riverside Boulevard, Apt. 7C",10000,3 Beds / 3 Baths / Condo,Upper West Side
"325 Fifth Avenue, Apt. 21-G",4200,1 Bed / 1 Bath / 816 Sq. Ft. / Condo,Murray Hill
"61 Fifth Avenue, Apt. DUPLEX 2",35000,"3 Beds / 3 Baths / 4,324 Sq. Ft. / Condo",Greenwich Village
"15 Union Square West, Apt. Penthouse",59500,"3 Beds / 3 Baths / 3,164 Sq. Ft. / Condo",Flatiron
"173 Bleecker Street, Apt. 10",2650,1 Bed / 1 Bath / Condo/Co-op,Greenwich Village
"225 East 46th Street, Apt. 2G",2700,Studio / 1 Bath / Condo,Midtown East
"251 East 13th Street, Apt. 5",4000,2 Beds / 1 Bath / Rental,East Village
"186 Riverside Drive, Apt. 13B",8775,3 Beds / 2 Baths / Co-op,Upper West Side
"30 West 63rd Street, Apt. 14F",4250,1 Bed / 1 Bath / Condo,Upper West Side
"17 East 67th Street, Apt. 1A",6667,"1,000 Sq. Ft. / Healthcare Property",Upper East Side
"345 East 86th Street, Apt. 18AB",10000,3 Beds / 3 Baths / Co-op,Upper East Side
"161 East 81st Street, Apt. 4E",3650,3 Beds / 1 Bath / Rental,Upper East Side
"111 Central Park North, Apt. 11c",7700,"2 Beds / 2 Baths / 1,422 Sq. Ft. / Condo",Harlem
"1600 Broadway, Apt. 14G",5900,"2 Beds / 2 Baths / 1,145 Sq. Ft. / Condo",Midtown West
"77 East 12th Street, Apt. 5D",4295,1 Bed / 1 Bath / Co-op,Greenwich Village
