1558 Nostrand Avenue,2999000,"3 Units / 2 Floors / 1,848 Sq. Ft. / Multi-Family Townhouse",Flatbush
402 Van Brunt Street,3750000,"6 Units / 4 Floors / 6,450 Sq. Ft. / House",Red Hook
25 ST MARKS AVENUE,1900000,3 Units / 3 Floors / Multi-Family Townhouse,Park Slope
"1 Clinton Street, Apt. 5G",2531000,"2 Beds / 2 Baths / 1,521 Sq. Ft. / Condo",Brooklyn Heights
2302 Bedford AvenuE,1250000,"3 Units / 3 Floors / 2,991 Sq. Ft. / Multi-Family Townhouse",Flatbush
522 Metropolitan Avenue,7000000,"20 Units / 5 Floors / 14,107 Sq. Ft. / Townhouse",Williamsburg
"721 Flushing Avenue, Apt. 4A",849000,2 Beds / 2 Baths / 955 Sq. Ft. / Condo,Williamsburg
"360 Furman Street, Apt. LOFT922",2499000,"3 Beds / 3 Baths / 2,281 Sq. Ft. / Condo",Brooklyn Heights
"164 State Street, Apt. 2",999000,5 Units / 4 Floors / Multi-Family Townhouse,Brooklyn Heights
432 Van Brunt Street,3395000,"4 Floors / 5,000 Sq. Ft. / Single Family Townhouse",Red Hook
"78 President Street, Apt. 14A1",849000,2 Beds / 1 Bath / Condo,Carroll Gardens
532 Clinton Avenue,7900000,Townhouse,Clinton Hill
97 North 6th Street,8250000,-,Williamsburg
"215 Degraw Street, Apt. 2H",1395000,"2 Beds / 2 Baths / 1,105 Sq. Ft. / Condo",Cobble Hill
96 South 2nd Street,3820000,"3 Units / 4 Floors / 3,120 Sq. Ft. / Multi-Family Townhouse",Williamsburg
"51 Lincoln Place, Apt. 4",2190000,"3 Beds / 2 Baths / 1,360 Sq. Ft. / Condo",Park Slope
"174 Vanderbilt Avenue, Apt. 408",829000,1 Bed / 1 Bath / 751 Sq. Ft. / Condo,Fort Greene
"44 Lexington Avenue, Apt. 3D",1899000,"3 Beds / 2 Baths / 1,612 Sq. Ft. / Condo",Clinton Hill
"963 Kent Avenue, Apt. E2",750000,2 Beds / 1 Bath / 859 Sq. Ft. / Condo,Bedford-Stuyvesant
"211 Schermerhorn Street, Apt. 7D",2065000,"3 Beds / 2 Baths / 1,468 Sq. Ft. / Condo",Downtown Brooklyn
152 Wythe Avenue,2750000,"2 Units / 3 Floors / 2,040 Sq. Ft. / Multi-Family Townhouse",Williamsburg
154 Wythe Avenue,3395000,3 Floors / Single Family Townhouse,Williamsburg
"44 Prospect Park West, Apt. B7",1065000,2 Beds / 1 Bath / Co-op,Park Slope
"265 State Street, Apt. 803",995000,1 Bed / 1 Bath / 763 Sq. Ft. / Condo,Boerum Hill
41 South Elliott Place,2495000,2 Units / 4 Floors / Multi-Family Townhouse,Fort Greene
"11 Hoyt Street, Apt. 21K",910000,1 Bed / 1 Bath / 648 Sq. Ft. / Condo,Downtown Brooklyn
"26 Broadway, Apt. 601-603",2700000,"3 Beds / 3 Baths / 2,068 Sq. Ft. / Condo",Williamsburg
1194 Decatur Street,1495000,"2 Units / 3 Floors / 3,300 Sq. Ft. / Multi-Family Townhouse",Bushwick
340 Metropolitan Avenue,8700000,-,Williamsburg
283 Jefferson Avenue,2995000,"2 Units / 4 Floors / 3,600 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
"195 Garfield Place, Apt. 2N",569000,1 Bed / 1 Bath / Co-op,Park Slope
"1431 Bedford Avenue, Apt. 2A",899000,"3 Beds / 1 Bath / 1,050 Sq. Ft. / Condo",Crown Heights
309 Van Brunt Street,2370000,"2 Units / 3 Floors / 3,699 Sq. Ft. / Multi-Family Townhouse",Red Hook
"631 East 18th Street, Apt. 6B",960000,2 Beds / 2 Baths / Condo,Ditmas Park
"603 NEW JERSEY Avenue, Apt. All",1600000,"6 Units / 3 Floors / 5,625 Sq. Ft. / Townhouse",empty neighborhood
192 Cooper Street,1745000,3 Units / 3 Floors / Multi-Family Townhouse,Bushwick
5212 4th Avenue,1450000,3 Units / 3 Floors / Multi-Family Townhouse,Sunset Park
"42 Lexington Avenue, Apt. 2C",1225000,"2 Beds / 2 Baths / 1,023 Sq. Ft. / Condo",Clinton Hill
"309 Ocean Parkway, Apt. 5R",785000,2 Beds / 2 Baths / Condo,Kensington
525A Quincy Street,1095000,"3 Units / 3 Floors / 2,800 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
"369 6th Avenue, Apt. 3",1525000,3 Beds / 2 Baths / Condo,Park Slope
609 Hegeman Avenue,1350000,"5 Units / 3 Floors / 3,440 Sq. Ft. / Mixed Use Townhouse",empty neighborhood
"147 Hope Street, Apt. 2D",1395000,"2 Beds / 2 Baths / 1,158 Sq. Ft. / Condo",Williamsburg
"26 Broadway, Apt. 603",1035000,1 Bed / 1 Bath / 793 Sq. Ft. / Condo,Williamsburg
"346 11th Street, Apt. 3",1875000,3 Beds / 2 Baths / Condo,Park Slope
"26 Broadway, Apt. 601",1515000,"2 Beds / 2 Baths / 1,275 Sq. Ft. / Condo",Williamsburg
"3220 Avenue H, Apt. 3J",325000,1 Bed / 1 Bath / Co-op,Flatbush
