,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
232,"333 West 57th Street, Unit 305",Hell's Kitchen,5000,2 BD,1 BA,Manhattan,Compass
233,"10 Manhattan Avenue, Unit 2C",Upper West Side,5500,5 BD,2 BA,Manhattan,Compass
234,"350 West 50th Street, Unit 11E",Hell's Kitchen,4995,2 BD,2 BA,Manhattan,Compass
235,"35 West 15th Street, Unit 16A",Flatiron,20000,3 BD,3.5 BA,Manhattan,Compass
236,"134 West 13th Street, Unit TRIPLEX",West Village,21000,4 BD,2.5 BA,Manhattan,Compass
237,"270 West 17th Street, Unit 8E",Chelsea,4000,1 BD,1 BA,Manhattan,Compass
238,"150 West 56th Street, Unit 5403",Theater District,6000,2 BD,2 BA,Manhattan,Compass
239,"225 5th Avenue, Unit 2H",NoMad,6750,1 BD,1 BA,Manhattan,Compass
240,"133 West 22nd Street, Unit 3K",Chelsea,4500,1 BD,1 BA,Manhattan,Compass
241,"456 West 19th Street, Unit PenthouseH",Chelsea,30000,3 BD,3.5 BA,Manhattan,Compass
242,"16 East 18th Street, Unit 3",Flatiron,14500,3 BD,3 BA,Manhattan,Compass
243,"10 Charles Street, Unit 4B",West Village,6500,1 BD,1.5 BA,Manhattan,Compass
244,"293 East 10th Street, Unit 2",East Village,5450,3 BD,1 BA,Manhattan,Compass
245,"2259 Adam Clayton Powell Junior Boulevard, Unit 2E",Harlem,4300,4 BD,2 BA,Manhattan,Compass
246,"273 West 138th Street, Unit 3A",Harlem,2650,2 BD,1 BA,Manhattan,Compass
247,"35 West 33rd Street, Unit 30B",Midtown South,3208,Studio,1 BA,Manhattan,Compass
248,"50 United Nations Plaza, Unit 10C",Midtown East,7995,2 BD,2 BA,Manhattan,Compass
249,"211 West 70th Street, Unit 3B",Upper West Side,2300,Studio,1 BA,Manhattan,Compass
250,"470 West 24th Street, Unit 11A",Chelsea,5000,1 BD,1 BA,Manhattan,Compass
251,"306 West 48th Street, Unit 15A",Hell's Kitchen,4375,1 BD,1 BA,Manhattan,Compass
252,"84 Horatio Street, Unit 1B",West Village,3150,Studio,1 BA,Manhattan,Compass
253,"312 West 101st Street, Unit 10",Upper West Side,2200,Studio,1 BA,Manhattan,Compass
254,"332 Bowery, Unit 2R",NoHo,6500,1 BD,1 BA,Manhattan,Compass
255,"347 West 57th Street, Unit 22A",Hell's Kitchen,5600,2 BD,2 BA,Manhattan,Compass
256,12 Charles Lane,West Village,10995,2 BD,2 BA,Manhattan,Compass
257,"372 Central Park West, Unit 9JF",Upper West Side,3700,1 BD,1 BA,Manhattan,Compass
258,"425 East 13th Street, Unit 1A",East Village,5500,2 BD,2 BA,Manhattan,Compass
259,"176 West 87th Street, Unit 3C",Upper West Side,12750,2 BD,2 BA,Manhattan,Compass
260,"628-539 Lenox Avenue, Unit 4C",Harlem,3300,3 BD,1 BA,Manhattan,Compass
261,12 Ave A,"Manhattan, NY 10009",19500,4 BD,4.5 BA,Manhattan,Compass
262,"1 Irving Place, Unit P14FG",Gramercy,8900,3 BD,2 BA,Manhattan,Compass
263,230 East 62nd Street,Upper East Side,19750,4 BD,5 BA,Manhattan,Compass
