,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
354,"433 West 34th Street, Unit 7N",Hudson Yards,3500,1 BD,1 BA,Manhattan,Compass
355,"252 East 57th Street, Unit 58A",Midtown East,27500,3 BD,3 BA,Manhattan,Compass
356,"810 Broadway, Unit 4",Greenwich Village,10995,2 BD,2.5 BA,Manhattan,Compass
357,"2 Cornelia Street, Unit 502",West Village,9500,2 BD,2 BA,Manhattan,Compass
358,"38 East 1st Street, Unit 3B",East Village,8500,2 BD,2 BA,Manhattan,Compass
359,"221 East 88th Street, Unit 2",Upper East Side,2100,1 BD,1 BA,Manhattan,Compass
360,"151 West 51st Street, Unit 1215",Theater District,3800,1 BD,1 BA,Manhattan,Compass
361,"40 West 116th Street, Unit A917",Harlem,3000,1 BD,1 BA,Manhattan,Compass
362,"150 West 51st Street, Unit 1104",Theater District,3600,1 BD,1 BA,Manhattan,Compass
363,"225 East 34th Street, Unit 14C",Murray Hill,6500,2 BD,2 BA,Manhattan,Compass
364,"133 West 22nd Street, Unit 2J",Chelsea,4850,1 BD,1 BA,Manhattan,Compass
365,"16 East 77th Street, Unit 3",Upper East Side,12775,2 BD,2 BA,Manhattan,Compass
366,"236 West 26th Street, Unit 5SW",Chelsea,6395,2 BD,1 BA,Manhattan,Compass
367,"1399 Park Avenue, Unit 7B",East Harlem,4750,2 BD,2 BA,Manhattan,Compass
368,"15 West 107th Street, Unit 53",Upper West Side,4800,4 BD,1 BA,Manhattan,Compass
370,"225 East 34th Street, Unit 5B",Murray Hill,4699,1 BD,1 BA,Manhattan,Compass
371,"754 East 6th Street, Unit 6E",East Village,8650,4 BD,3.5 BA,Manhattan,Compass
372,"448 East 88th Street, Unit 1A",Upper East Side,1995,Studio,1 BA,Manhattan,Compass
373,"281 Grand Street, Unit 5F",Lower East Side,6600,4 BD,2 BA,Manhattan,Compass
374,"53 Howard Street, Unit 3C",SoHo,7000,1 BD,1 BA,Manhattan,Compass
375,"107 West 25th Street, Unit 5E",Chelsea,5995,2 BD,1 BA,Manhattan,Compass
376,"225 Rector Place, Unit 16E",Battery Park City,4300,1 BD,1 BA,Manhattan,Compass
377,"121 East 22nd Street, Unit N203",Gramercy,4795,1 BD,1 BA,Manhattan,Compass
378,"288 West Street, Unit 4W",TriBeCa,8500,2 BD,2 BA,Manhattan,Compass
379,"234 West 148th Street, Unit 3E",Harlem,2375,1 BD,1 BA,Manhattan,Compass
380,"155 Hester Street, Unit 704A",Chinatown,4200,2 BD,2 BA,Manhattan,Compass
381,"245 West 51st Street, Unit 303",Theater District,5295,3 BD,1 BA,Manhattan,Compass
382,"25 West Houston Street, Unit 6A",SoHo,11000,2 BD,2 BA,Manhattan,Compass
383,"932 Amsterdam Avenue, Unit 5S",Upper West Side,3850,3 BD,1 BA,Manhattan,Compass
384,"245 West 51st Street, Unit 212",Theater District,2795,1 BD,1 BA,Manhattan,Compass
385,"689 Fort Washington Avenue, Unit 2M",Washington Heights,2600,1 BD,1 BA,Manhattan,Compass
386,"35 West 15th Street, Unit 8C",Flatiron,21000,4 BD,4.5 BA,Manhattan,Compass
387,"615 East 6th Street, Unit 2B",Chelsea,4400,2 BD,1 BA,Manhattan,Compass
388,"660 Riverside Drive, Unit 1B",Hamilton Heights,2150,1 BD,1 BA,Manhattan,Compass
389,"111 Mercer Street, Unit 2",SoHo,17500,2 BD,2.5 BA,Manhattan,Compass
390,"116 Pinehurst Avenue, Unit F65",Washington Heights,2850,1 BD,1 BA,Manhattan,Compass
391,1175 York Avenue,Upper East Side,13000,4 BD,3.5 BA,Manhattan,Compass
392,"245 West 51st Street, Unit 306",Theater District,3795,2 BD,1 BA,Manhattan,Compass
393,"35 East 63rd Street, Unit PH",Upper East Side,60000,5 BD,8 BA,Manhattan,Compass
394,"311 East 25th Street, Unit 5B",Kips Bay,2200,Studio,1 BA,Manhattan,Compass
395,"114 West 17th Street, Unit 5F",Chelsea,14900,3 BD,2.5 BA,Manhattan,Compass
396,"23 East 74th Street, Unit 15B",Upper East Side,4200,1 BD,1 BA,Manhattan,Compass
397,"81 2nd Avenue, Unit 2",East Village,4995,3 BD,1 BA,Manhattan,Compass
398,"15 Hudson Yards, Unit 32D",Chelsea,12500,2 BD,2.5 BA,Manhattan,Compass
399,"10 Manhattan Avenue, Unit 6A",Upper West Side,6000,5 BD,3 BA,Manhattan,Compass
400,"21 West 86th Street, Unit 6B",Upper West Side,4875,1 BD,1 BA,Manhattan,Compass
401,"92 Grove Street, Unit 52",West Village,6500,2 BD,1 BA,Manhattan,Compass
402,345 West 13th Street,West Village,28000,2 BD,3 BA,Manhattan,Compass
404,"200 East 61st Street, Unit 32C",Upper East Side,4200,1 BD,1 BA,Manhattan,Compass
405,"330 East 75th Street, Unit 18B",Upper East Side,5500,2 BD,2 BA,Manhattan,Compass
406,"330 East 38th Street, Unit 23H",Murray Hill,2695,Studio,1 BA,Manhattan,Compass
407,"150 Columbus Avenue, Unit 26D",Upper West Side,7950,2 BD,2.5 BA,Manhattan,Compass
408,"215 West 84th Street, Unit 315",Upper West Side,4050,2 BD,1 BA,Manhattan,Compass
409,"535 West 147th Street, Unit 2",Hamilton Heights,5995,3 BD,3 BA,Manhattan,Compass
410,"524 East 72nd Street, Unit 37G",Upper East Side,3000,Studio,1 BA,Manhattan,Compass
411,"7 West 108th Street, Unit 3D",Upper West Side,5000,4 BD,1 BA,Manhattan,Compass
412,"15 West 107th Street, Unit 53",Upper West Side,4800,4 BD,1 BA,Manhattan,Compass
413,"40 Bond Street, Unit 5B",NoHo,14000,2 BD,2.5 BA,Manhattan,Compass
414,"1355 1st Avenue, Unit 10",Upper East Side,25000,4 BD,4 BA,Manhattan,Compass
415,"590 West 204th Street, Unit 1B",Inwood,1900,1 BD,1 BA,Manhattan,Compass
416,"510 Manhattan Avenue, Unit 3B",Harlem,4650,4 BD,2 BA,Manhattan,Compass
417,"57 East 54th Street, Unit 4",Midtown East,5500,2 BD,1.5 BA,Manhattan,Compass
418,"280 Rector Place, Unit 8C",Battery Park City,4995,2 BD,2 BA,Manhattan,Compass
419,"101 West 79th Street, Unit 3A",Upper West Side,4300,1 BD,1 BA,Manhattan,Compass
420,"300 East 74th Street, Unit 17D",Upper East Side,2675,Studio,1 BA,Manhattan,Compass
421,"137 Central Park North, Unit 5D",Harlem,2595,1 BD,1 BA,Manhattan,Compass
422,"73 Greene Street, Unit 4",SoHo,20000,2 BD,3 BA,Manhattan,Compass
423,"145 East 22nd Street, Unit 6F",Gramercy,2800,Studio,1 BA,Manhattan,Compass
424,"220 St Nicholas Avenue, Unit 7A",Harlem,4850,2 BD,2 BA,Manhattan,Compass
425,"459 West 43rd Street, Unit 4B",Hell's Kitchen,3950,3 BD,1 BA,Manhattan,Compass
426,"301 East 45th Street, Unit 4E",Midtown East,4195,2 BD,1 BA,Manhattan,Compass
427,"325 East 10th Street, Unit F1A","Manhattan, NY 10009",3000,1 BD,1 BA,Manhattan,Compass
428,"604 East 9th Street, Unit 7","Manhattan, NY 10009",3300,1 BD,1 BA,Manhattan,Compass
429,"142 West 123rd Street, Unit 3",Harlem,2350,1 BD,1 BA,Manhattan,Compass
430,168 5th Avenue,Flatiron,100,Studio,1 BA,Manhattan,Compass
431,"320 East 54th Street, Unit 12B",Midtown East,3595,1 BD,1 BA,Manhattan,Compass
432,"270 Broadway, Unit 17C",TriBeCa,10500,2 BD,2.5 BA,Manhattan,Compass
433,79 West 127th Street,Harlem,2250,1 BD,1 BA,Manhattan,Compass
434,"280 Park Avenue South, Unit 2G",Flatiron,5000,1 BD,1 BA,Manhattan,Compass
435,"433 West 46th Street, Unit 5FE",Hell's Kitchen,2600,1 BD,1 BA,Manhattan,Compass
436,"40 West 17th Street, Unit 9A",Flatiron,9950,2 BD,2 BA,Manhattan,Compass
437,"256 West 93rd Street, Unit 4",Upper West Side,5800,3 BD,2 BA,Manhattan,Compass
438,"515 East 72nd Street, Unit 11C",Upper East Side,4600,1 BD,1 BA,Manhattan,Compass
439,"1000 Park Avenue, Unit 5B",Upper East Side,20000,4 BD,3.5 BA,Manhattan,Compass
440,"151 Spring Street, Unit 6",SoHo,13000,2 BD,2.5 BA,Manhattan,Compass
442,"424 Amsterdam Avenue, Unit 2S",Upper West Side,3395,2 BD,1.5 BA,Manhattan,Compass
443,"319 East 105th Street, Unit 2F",East Harlem,2850,2 BD,1 BA,Manhattan,Compass
444,"330 Spring Street, Unit 3C",SoHo,12950,2 BD,2 BA,Manhattan,Compass
445,"3 West 128th Street, Unit 1C",Harlem,3399,1 BD,1.5 BA,Manhattan,Compass
446,"101 West 24th Street, Unit 7A",Chelsea,5200,1 BD,1 BA,Manhattan,Compass
447,"4640 Broadway, Unit 33",Washington Heights,2850,3 BD,1 BA,Manhattan,Compass
449,"15 Broad Street, Unit 1728",Financial District,4000,Studio,1 BA,Manhattan,Compass
450,"301 West 57th Street, Unit 22D",Hell's Kitchen,6800,2 BD,2 BA,Manhattan,Compass
451,"16 West 19th Street, Unit 6E",Flatiron,5500,1 BD,1 BA,Manhattan,Compass
452,"10 West End Avenue, Unit 4J",Upper West Side,2950,1 BD,1 BA,Manhattan,Compass
454,"16 East 77th Street, Unit PH1",Upper East Side,21000,4 BD,3 BA,Manhattan,Compass
455,"243 East 120th Street, Unit 3F",East Harlem,2300,2 BD,1 BA,Manhattan,Compass
456,"425 East 75th Street, Unit 1A",Upper East Side,2225,1 BD,1 BA,Manhattan,Compass
457,"244 East 28th Street, Unit 7",Kips Bay,2450,1 BD,1 BA,Manhattan,Compass
458,"233 East 86th Street, Unit 2A",Upper East Side,3200,1 BD,1 BA,Manhattan,Compass
459,"150 Charles Street, Unit M4",West Village,29500,4 BD,4 BA,Manhattan,Compass
460,"300 East 85th Street, Unit 2302/2303",Upper East Side,17995,4 BD,4 BA,Manhattan,Compass
461,"14 Horatio Street, Unit 12F",West Village,3600,1 BD,1 BA,Manhattan,Compass
463,"166 West 129th Street, Unit 43",Harlem,2000,1 BD,1 BA,Manhattan,Compass
465,"238 West 108th Street, Unit 3",Upper West Side,7500,3 BD,2.5 BA,Manhattan,Compass
466,"56 East 11th Street, Unit 7",Greenwich Village,10750,2 BD,1 BA,Manhattan,Compass
467,"330 West 43rd Street, Unit 9",Hell's Kitchen,2295,1 BD,1 BA,Manhattan,Compass
468,"24 5th Avenue, Unit 1512",Greenwich Village,2950,Studio,1 BA,Manhattan,Compass
469,"422 East 117th Street, Unit GARDEN",East Harlem,2500,1 BD,1 BA,Manhattan,Compass
470,"2300 Frederick Douglass Boulevard, Unit 8A",Harlem,3400,1 BD,1 BA,Manhattan,Compass
471,"66 West 38th Street, Unit 29D",Midtown South,4100,1 BD,1 BA,Manhattan,Compass
472,"565 Broome Street, Unit N6I",SoHo,4950,Studio,1 BA,Manhattan,Compass
473,"274 Mott Street, Unit 1E",NoLita,3620,2 BD,1 BA,Manhattan,Compass
474,"932 Amsterdam Avenue, Unit 3D",Upper West Side,3800,3 BD,1 BA,Manhattan,Compass
475,"15 Charles Street, Unit 8H",West Village,4900,1 BD,1 BA,Manhattan,Compass
476,"218 East 25th Street, Unit 2",Kips Bay,5995,1 BD,1.5 BA,Manhattan,Compass
477,"80 Riverside Boulevard, Unit 33B",Upper West Side,11500,3 BD,3 BA,Manhattan,Compass
478,"123 Washington Street, Unit 30D",Financial District,4295,1 BD,1 BA,Manhattan,Compass
479,"310 East 53rd Street, Unit 20A",Midtown East,11500,2 BD,2.5 BA,Manhattan,Compass
480,"310 East 53rd Street, Unit 20A",Midtown East,11500,2 BD,2.5 BA,Manhattan,Compass
481,"45 Tudor City Place, Unit 1009",Midtown East,2395,Studio,1 BA,Manhattan,Compass
482,"16 West 19th Street, Unit 2BB",Flatiron,5950,1 BD,1 BA,Manhattan,Compass
483,"15 West 100th Street, Unit 2E",Upper West Side,2550,2 BD,1 BA,Manhattan,Compass
484,"301 West 57th Street, Unit 17B",Hell's Kitchen,4700,1 BD,1.5 BA,Manhattan,Compass
485,"53 Howard Street, Unit 3A",SoHo,9000,1 BD,1 BA,Manhattan,Compass
488,"10 Charles Street, Unit GRDNTRPLX",West Village,14000,2 BD,2.5 BA,Manhattan,Compass
489,"8 Magaw Place, Unit 42B",Washington Heights,1895,1 BD,1 BA,Manhattan,Compass
490,"343 East 51st Street, Unit 3B",Midtown East,2750,Studio,1 BA,Manhattan,Compass
491,"45 East 25th Street, Unit 8A",Flatiron,5395,1 BD,1 BA,Manhattan,Compass
492,"20 West 64th Street, Unit 29R",Upper West Side,8500,2 BD,2 BA,Manhattan,Compass
493,"242 East 25th Street, Unit 4D",Kips Bay,3000,Studio,1 BA,Manhattan,Compass
494,"191 Chrystie Street, Unit 5R",Lower East Side,16000,4 BD,3 BA,Manhattan,Compass
495,"524 East 72nd Street, Unit 33AG",Upper East Side,10500,3 BD,2.5 BA,Manhattan,Compass
497,"2375 Adam Clayton Powell Junior Boulevard, Unit 13",Harlem,2347,2 BD,1 BA,Manhattan,Compass
498,"2 Tudor City Place, Unit 8KS",Murray Hill,4150,2 BD,1 BA,Manhattan,Compass
499,"225 West 25th Street, Unit 2C",Chelsea,3900,1 BD,1 BA,Manhattan,Compass
500,"128 West 13th Street, Unit 43",West Village,6100,1 BD,1 BA,Manhattan,Compass
501,"218 East 25th Street, Unit 1",Kips Bay,12000,3 BD,2 BA,Manhattan,Compass
502,"454 St Nicholas Avenue, Unit 2S",Harlem,2950,2 BD,1 BA,Manhattan,Compass
503,"61 West 62nd Street, Unit 5L",Upper West Side,3800,1 BD,1 BA,Manhattan,Compass
504,"224 Riverside Drive, Unit 7D",Upper West Side,3250,1 BD,1 BA,Manhattan,Compass
505,"560 West 24th Street, Unit PH1",Chelsea,37500,4 BD,4.5 BA,Manhattan,Compass
506,"250 Mercer Street, Unit D801",Greenwich Village,4475,1 BD,1 BA,Manhattan,Compass
508,"845 United Nations Plaza, Unit 6C",Midtown East,5400,1 BD,1.5 BA,Manhattan,Compass
509,"196 Orchard Street, Unit 10A",Lower East Side,16500,3 BD,3 BA,Manhattan,Compass
510,"70 West 45th Street, Unit 47",Theater District,29995,4 BD,3.5 BA,Manhattan,Compass
511,"320 East 65th Street, New York, NY, USA, Unit 116",Upper East Side,3240,2 BD,1.5 BA,Manhattan,Compass
512,"308 West 105th Street, Unit 4A",Upper West Side,2350,1 BD,1 BA,Manhattan,Compass
513,"296 West 10th Street, Unit 8FL",West Village,22000,3 BD,3 BA,Manhattan,Compass
514,"62 Wooster Street, Unit 5",SoHo,49900,4 BD,4.5 BA,Manhattan,Compass
515,"150 West 51st Street, Unit 1101",Theater District,3000,1 BD,1 BA,Manhattan,Compass
516,"330 East 49th Street, Unit 10D",Midtown East,3300,1 BD,1 BA,Manhattan,Compass
517,"3 West 108th Street, Unit 10",Upper West Side,6500,5 BD,2 BA,Manhattan,Compass
518,218 Thompson Street,Greenwich Village,7995,Studio,1 BA,Manhattan,Compass
519,"13 East 131st Street, Unit 4B",East Harlem,2650,2 BD,1 BA,Manhattan,Compass
520,"372 Central Park West, Unit 9J",Upper West Side,3700,1 BD,1 BA,Manhattan,Compass
521,"254 West 15th Street, Unit B",Chelsea,3200,1 BD,1 BA,Manhattan,Compass
522,"130 West 20th Street, Unit 3B",Chelsea,4800,1 BD,1 BA,Manhattan,Compass
523,"319 West 134th Street, Unit 2E",Harlem,2550,2 BD,2 BA,Manhattan,Compass
524,"2067 Adam Clayton Powell Junior Boulevard, Unit 4B",Harlem,3325,3 BD,1 BA,Manhattan,Compass
525,"166 West 129th Street, Unit 31",Harlem,1700,Studio,1 BA,Manhattan,Compass
526,222 East 58th Street,Midtown East,3995,Studio,0.5 BA,Manhattan,Compass
527,"392 Central Park West, Unit 1K",Upper West Side,4300,2 BD,2 BA,Manhattan,Compass
528,"224 Riverside Drive, Unit 7D",Upper West Side,3250,1 BD,1 BA,Manhattan,Compass
529,"560 West 24th Street, Unit PH1",Chelsea,37500,4 BD,4.5 BA,Manhattan,Compass
530,"250 Mercer Street, Unit D801",Greenwich Village,4475,1 BD,1 BA,Manhattan,Compass
532,"845 United Nations Plaza, Unit 6C",Midtown East,5400,1 BD,1.5 BA,Manhattan,Compass
533,"196 Orchard Street, Unit 10A",Lower East Side,16500,3 BD,3 BA,Manhattan,Compass
534,"70 West 45th Street, Unit 47",Theater District,29995,4 BD,3.5 BA,Manhattan,Compass
535,"320 East 65th Street, New York, NY, USA, Unit 116",Upper East Side,3240,2 BD,1.5 BA,Manhattan,Compass
536,"308 West 105th Street, Unit 4A",Upper West Side,2350,1 BD,1 BA,Manhattan,Compass
537,"296 West 10th Street, Unit 8FL",West Village,22000,3 BD,3 BA,Manhattan,Compass
538,"62 Wooster Street, Unit 5",SoHo,49900,4 BD,4.5 BA,Manhattan,Compass
539,"150 West 51st Street, Unit 1101",Theater District,3000,1 BD,1 BA,Manhattan,Compass
540,"330 East 49th Street, Unit 10D",Midtown East,3300,1 BD,1 BA,Manhattan,Compass
541,"3 West 108th Street, Unit 10",Upper West Side,6500,5 BD,2 BA,Manhattan,Compass
542,218 Thompson Street,Greenwich Village,7995,Studio,1 BA,Manhattan,Compass
543,"13 East 131st Street, Unit 4B",East Harlem,2650,2 BD,1 BA,Manhattan,Compass
544,"372 Central Park West, Unit 9J",Upper West Side,3700,1 BD,1 BA,Manhattan,Compass
545,"254 West 15th Street, Unit B",Chelsea,3200,1 BD,1 BA,Manhattan,Compass
546,"130 West 20th Street, Unit 3B",Chelsea,4800,1 BD,1 BA,Manhattan,Compass
547,"319 West 134th Street, Unit 2E",Harlem,2550,2 BD,2 BA,Manhattan,Compass
548,"2067 Adam Clayton Powell Junior Boulevard, Unit 4B",Harlem,3325,3 BD,1 BA,Manhattan,Compass
549,"166 West 129th Street, Unit 31",Harlem,1700,Studio,1 BA,Manhattan,Compass
550,222 East 58th Street,Midtown East,3995,Studio,0.5 BA,Manhattan,Compass
551,"392 Central Park West, Unit 1K",Upper West Side,4300,2 BD,2 BA,Manhattan,Compass
552,155 East 2nd Street,East Village,4250,Studio,0.5 BA,Manhattan,Compass
553,"50 Riverside Boulevard, Unit 7S",Upper West Side,4800,1 BD,1.5 BA,Manhattan,Compass
554,"300 West 10th Street, Unit 2B",West Village,4034,1 BD,1 BA,Manhattan,Compass
555,"635 West 42nd Street, Unit 8F",Hudson Yards,3700,1 BD,1 BA,Manhattan,Compass
556,"317 East 111th Street, Unit 5C",East Harlem,2150,1 BD,1 BA,Manhattan,Compass
557,"1771 1st Avenue, Unit 1",Upper East Side,5200,3 BD,2 BA,Manhattan,Compass
558,"250 East 30th Street, Unit 14D",Kips Bay,7249,3 BD,2.5 BA,Manhattan,Compass
559,"345 East 80th Street, Unit 28A",Upper East Side,3395,1 BD,1 BA,Manhattan,Compass
560,"126 Elizabeth Street, Unit 12",Little Italy,3070,2 BD,1 BA,Manhattan,Compass
561,"117 East 57th Street, Unit 35E",Midtown East,3750,1 BD,1 BA,Manhattan,Compass
562,"123 Washington Street, Unit 33D",Financial District,4300,1 BD,1 BA,Manhattan,Compass
563,11 East 36th Street,Midtown South,10000,3 BD,2 BA,Manhattan,Compass
565,"719 Greenwich Street, Unit 3S",West Village,20000,3 BD,3 BA,Manhattan,Compass
566,"505 West 47th Street, Unit 2BS",Hell's Kitchen,2800,Studio,1 BA,Manhattan,Compass
567,"330 East 57th Street, Unit 14",Midtown East,10900,2 BD,2.5 BA,Manhattan,Compass
568,"57 Reade Street, Unit 14C",TriBeCa,7000,2 BD,2 BA,Manhattan,Compass
569,"255 East 49th Street, Unit 20C",Midtown East,3600,1 BD,1 BA,Manhattan,Compass
570,"1399 Park Avenue, Unit 9B",East Harlem,4995,2 BD,2 BA,Manhattan,Compass
571,"196 Orchard Street, Unit 7L",Lower East Side,10000,2 BD,2 BA,Manhattan,Compass
572,"164 Waverly Place, Unit 5C",West Village,4263,2 BD,1 BA,Manhattan,Compass
573,"442 Amsterdam Avenue, Unit 3B",Upper West Side,2750,1 BD,1 BA,Manhattan,Compass
574,2245 Adam Clayton Powell Junior Boulevard,Harlem,3450,3 BD,2 BA,Manhattan,Compass
575,"300 Rector Place, Unit 8E",Battery Park City,3300,1 BD,1 BA,Manhattan,Compass
576,"535 West 52nd Street, Unit 6E",Hell's Kitchen,2495,1 BD,1 BA,Manhattan,Compass
577,"123 Washington Street, Unit 27B",Financial District,5750,1 BD,1 BA,Manhattan,Compass
578,"2002 5th Avenue, Unit 5C",Harlem,3600,2 BD,1.5 BA,Manhattan,Compass
579,"99 Battery Place, Unit 18E",Battery Park City,4000,1 BD,1 BA,Manhattan,Compass
580,"2 Bethune Street, Unit 1C",West Village,4250,2 BD,1 BA,Manhattan,Compass
581,"333 East 43rd Street, Unit 508",Midtown East,3350,1 BD,1 BA,Manhattan,Compass
582,"211 West 71st Street, Unit 3C",Upper West Side,4000,1 BD,1 BA,Manhattan,Compass
583,"143 West 4th Street, Unit B2",Greenwich Village,3600,2 BD,1 BA,Manhattan,Compass
584,"450 Broome Street, Unit 3E",SoHo,7950,2 BD,2 BA,Manhattan,Compass
585,"2 5th Avenue, Unit 8Q",Greenwich Village,4250,1 BD,1 BA,Manhattan,Compass
586,"28 West 132nd Street, Unit 3C",Harlem,3300,3 BD,1 BA,Manhattan,Compass
587,"146 East 49th Street, Unit 6CD",Midtown East,6400,3 BD,2 BA,Manhattan,Compass
588,"172 Crosby Street, Unit PH9B",NoHo,19850,3 BD,3 BA,Manhattan,Compass
589,"252 South Street, Unit 24C",Lower East Side,4125,1 BD,1 BA,Manhattan,Compass
590,"122 Norfolk Street, Unit 23",Lower East Side,4079,3 BD,1 BA,Manhattan,Compass
591,"285 Lafayette Street, Unit 6E",NoLita,23950,3 BD,2.5 BA,Manhattan,Compass
592,"280 Park Avenue South, Unit 20E",Flatiron,5500,1 BD,1 BA,Manhattan,Compass
593,"20 Pine Street, Unit 1008",Financial District,5500,1 BD,1.5 BA,Manhattan,Compass
